Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-14-45-39.842,3, 0.0558766,0.021271,15075, Foreign,
11-16-2022-14-45-39.951,3, 0.0604503,0.019973,15075, Foreign,
11-16-2022-14-45-40.052,3, 0.0985302,0.026284,15075, Foreign,
11-16-2022-14-45-40.152,3, 0.1260014,0.036325,15075, Foreign,
11-16-2022-14-45-40.253,3, 0.1011655,0.030946,15075, Foreign,
11-16-2022-14-45-40.354,3, 0.0988033,0.024097,15075, Foreign,
11-16-2022-14-45-40.453,3, 0.0843215,0.027484,15075, Foreign,
11-16-2022-14-45-40.553,3, 0.107148,0.034578,15075, Foreign,
11-16-2022-14-45-40.653,3, 0.0989016,0.034659,15075, Foreign,
11-16-2022-14-45-40.753,3, 0.1388115,0.034651,15075, Foreign,
11-16-2022-14-45-40.954,3, 0.0985894,0.030756,15075, Foreign,
11-16-2022-14-45-41.154,3, 0.1103041,0.035342,15075, Foreign,
11-16-2022-14-45-41.054,3, 0.2318373,0.0434,15075, Foreign,
11-16-2022-14-45-41.262,3, 0.1546588,0.028323,15075, Foreign,
11-16-2022-14-45-41.365,3, 0.109456,0.032483,15075, Foreign,
11-16-2022-14-45-41.467,3, 0.1045288,0.026731,15075, Foreign,
11-16-2022-14-45-41.970,3, 0.1083373,0.034673,15075, Foreign,
11-16-2022-14-45-41.669,3, 0.5264452,0.036861,15075, Foreign,
11-16-2022-14-45-42.177,3, 0.1096965,0.035884,15075, Foreign,
11-16-2022-14-45-42.278,3, 0.1191544,0.036393,15075, Foreign,
11-16-2022-14-45-42.071,3, 0.3846226,0.029264,15075, Foreign,
11-16-2022-14-45-42.485,3, 0.1037945,0.033685,15075, Foreign,
11-16-2022-14-45-42.589,3, 0.0828053,0.028409,15075, Foreign,
11-16-2022-14-45-42.381,3, 0.3785078,0.033257,15075, Foreign,
11-16-2022-14-45-41.569,3, 0.9099464,0.034983,6339, Foreign,
11-16-2022-14-45-41.769,3, 0.8154733,0.04456,6339, Foreign,
11-16-2022-14-45-42.792,3, 0.0986658,0.030174,15075, Foreign,
11-16-2022-14-45-41.869,3, 0.8171812,0.031974,6339, Foreign,
11-16-2022-14-45-42.690,3, 0.3671225,0.031952,15075, Foreign,
11-16-2022-14-45-42.997,3, 0.103279,0.029254,15075, Foreign,
11-16-2022-14-45-40.853,3, 1.9542491,0.03545,6339, Foreign,
11-16-2022-14-45-43.098,3, 0.1122341,0.035617,15075, Foreign,
11-16-2022-14-45-43.299,3, 0.1030778,0.033777,15075, Foreign,
11-16-2022-14-45-43.400,3, 0.1049426,0.033606,15075, Foreign,
11-16-2022-14-45-43.501,3, 0.0898864,0.032889,15075, Foreign,
11-16-2022-14-45-43.601,3, 0.1099784,0.036687,15075, Foreign,
11-16-2022-14-45-43.807,3, 0.1062776,0.035959,15075, Foreign,
11-16-2022-14-45-43.908,3, 0.1408298,0.027581,15075, Foreign,
11-16-2022-14-45-42.894,3, 0.8562408,0.038557,6339, Foreign,
11-16-2022-14-45-44.012,3, 0.1063038,0.034838,15075, Foreign,
11-16-2022-14-45-44.119,3, 0.1235104,0.037123,15075, Foreign,
11-16-2022-14-45-43.198,3, 0.8218318,0.028677,6339, Foreign,
11-16-2022-14-45-44.226,3, 0.1149341,0.03637,15075, Foreign,
11-16-2022-14-45-44.331,3, 0.1986259,0.036848,15075, Foreign,
11-16-2022-14-45-44.546,3, 0.1130042,0.039794,15075, Foreign,
11-16-2022-14-45-44.752,3, 0.1488055,0.035163,15075, Foreign,
11-16-2022-14-45-44.651,3, 0.3792211,0.035054,15075, Foreign,
11-16-2022-14-45-44.952,3, 0.1037685,0.035707,15075, Foreign,
11-16-2022-14-45-45.053,3, 0.1253523,0.040889,15075, Foreign,
11-16-2022-14-45-45.154,3, 0.1063946,0.037855,15075, Foreign,
11-16-2022-14-45-44.852,3, 0.4495556,0.034056,15075, Foreign,
11-16-2022-14-45-45.259,3, 0.1117903,0.036897,15075, Foreign,
11-16-2022-14-45-44.442,3, 1.012156,0.041297,15075, Foreign,
11-16-2022-14-45-45.461,3, 0.1179985,0.037325,15075, Foreign,
11-16-2022-14-45-45.561,3, 0.1044747,0.035831,15075, Foreign,
11-16-2022-14-45-45.359,3, 0.3891021,0.033197,15075, Foreign,
11-16-2022-14-45-45.763,3, 0.1241013,0.037193,15075, Foreign,
11-16-2022-14-45-46.183,3, 0.1083029,0.032573,15075, Foreign,
11-16-2022-14-45-45.977,3, 0.3929822,0.029864,15075, Foreign,
11-16-2022-14-45-43.707,3, 2.3808656,0.030917,6339, Foreign,
11-16-2022-14-45-46.283,3, 0.279393,0.046402,15075, Foreign,
11-16-2022-14-45-45.661,3, 1.0777192,0.036728,15075, Foreign,
11-16-2022-14-45-46.705,3, 0.1074458,0.036062,15075, Foreign,
11-16-2022-14-45-46.498,3, 0.392609,0.035428,15075, Foreign,
11-16-2022-14-45-46.384,3, 0.5343137,0.050059,15075, Foreign,
11-16-2022-14-45-46.805,3, 0.1142103,0.032296,15075, Foreign,
11-16-2022-14-45-46.605,3, 0.3656093,0.037476,15075, Foreign,
11-16-2022-14-45-46.080,3, 0.9960124,0.045534,15075, Foreign,
11-16-2022-14-45-47.118,3, 0.1191583,0.042644,15075, Foreign,
11-16-2022-14-45-47.016,3, 0.4766326,0.038022,15075, Foreign,
11-16-2022-14-45-47.422,3, 0.1118523,0.036395,15075, Foreign,
11-16-2022-14-45-47.524,3, 0.0926328,0.034653,15075, Foreign,
11-16-2022-14-45-47.219,3, 0.4246519,0.036452,15075, Foreign,
11-16-2022-14-45-47.319,3, 0.3241322,0.030669,15075, Foreign,
11-16-2022-14-45-47.624,3, 0.1087274,0.031267,15075, Foreign,
11-16-2022-14-45-45.873,3, 2.0621252,0.046638,15075, Foreign,
11-16-2022-14-45-47.830,3, 0.1064905,0.033025,15075, Foreign,
11-16-2022-14-45-46.912,3, 0.8128124,0.036817,6339, Foreign,
11-16-2022-14-45-47.932,3, 0.1202533,0.037009,15075, Foreign,
11-16-2022-14-45-48.038,3, 0.1121707,0.036358,15075, Foreign,
11-16-2022-14-45-47.730,3, 0.5041745,0.034889,15075, Foreign,
11-16-2022-14-45-48.242,3, 0.1085263,0.035793,15075, Foreign,
11-16-2022-14-45-48.343,3, 0.1165368,0.039354,15075, Foreign,
11-16-2022-14-45-48.443,3, 0.1059891,0.032522,15075, Foreign,
11-16-2022-14-45-48.546,3, 0.2339486,0.054196,15075, Foreign,
11-16-2022-14-45-48.751,3, 0.1193795,0.036697,15075, Foreign,
11-16-2022-14-45-48.851,3, 0.1007126,0.035004,15075, Foreign,
11-16-2022-14-45-48.951,3, 0.1095473,0.03848,15075, Foreign,
11-16-2022-14-45-49.052,3, 0.1162505,0.033864,15075, Foreign,
11-16-2022-14-45-48.648,3, 0.6225976,0.0365,15075, Foreign,
11-16-2022-14-45-49.155,3, 0.1224021,0.038982,15075, Foreign,
11-16-2022-14-45-49.355,3, 0.1011638,0.029778,15075, Foreign,
11-16-2022-14-45-49.456,3, 0.1194686,0.035711,15075, Foreign,
11-16-2022-14-45-49.557,3, 0.1730892,0.040273,15075, Foreign,
11-16-2022-14-45-49.859,3, 0.123821,0.037535,15075, Foreign,
11-16-2022-14-45-49.960,3, 0.1179482,0.036332,15075, Foreign,
11-16-2022-14-45-50.060,3, 0.1046066,0.037479,15075, Foreign,
11-16-2022-14-45-49.757,3, 0.4800139,0.036204,15075, Foreign,
11-16-2022-14-45-50.161,3, 0.1108423,0.033772,15075, Foreign,
11-16-2022-14-45-48.138,3, 1.922148,0.038307,6339, Foreign,
11-16-2022-14-45-49.255,3, 0.8096353,0.036981,6339, Foreign,
11-16-2022-14-45-50.263,3, 0.108262,0.036388,15075, Foreign,
11-16-2022-14-45-50.364,3, 0.1126287,0.036941,15075, Foreign,
11-16-2022-14-45-50.565,3, 0.1159403,0.038237,15075, Foreign,
11-16-2022-14-45-49.656,3, 0.8107915,0.034958,6339, Foreign,
11-16-2022-14-45-50.668,3, 0.1106282,0.036017,15075, Foreign,
11-16-2022-14-45-50.768,3, 0.11369,0.036392,15075, Foreign,
11-16-2022-14-45-50.872,3, 0.1099785,0.037671,15075, Foreign,
11-16-2022-14-45-50.973,3, 0.1109956,0.041061,15075, Foreign,
11-16-2022-14-45-51.073,3, 0.1119564,0.034474,15075, Foreign,
11-16-2022-14-45-51.173,3, 0.127579,0.035929,15075, Foreign,
11-16-2022-14-45-51.274,3, 0.1321102,0.042179,15075, Foreign,
11-16-2022-14-45-51.374,3, 0.1155015,0.039441,15075, Foreign,
11-16-2022-14-45-50.464,3, 0.8131971,0.042051,6339, Foreign,
11-16-2022-14-45-51.474,3, 0.1175021,0.035634,15075, Foreign,
11-16-2022-14-45-51.578,3, 0.1147987,0.038193,15075, Foreign,
11-16-2022-14-45-51.678,3, 0.1156072,0.050844,15075, Foreign,
11-16-2022-14-45-51.778,3, 0.1026829,0.03431,15075, Foreign,
11-16-2022-14-45-51.879,3, 0.1175418,0.034992,15075, Foreign,
11-16-2022-14-45-52.288,3, 0.1078815,0.036693,15075, Foreign,
11-16-2022-14-45-51.983,3, 0.5632046,0.038947,15075, Foreign,
11-16-2022-14-45-52.186,3, 0.387108,0.045774,15075, Foreign,
11-16-2022-14-45-52.595,3, 0.1277625,0.036787,15075, Foreign,
