Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-14-47-06.817,1, 0.0178731,0.016968,109026, SelfUp,
11-16-2022-14-47-06.817,1, 0.0252073,0.014834,16556, SelfDown,
11-16-2022-14-47-06.917,1, 0.0140339,0.017295,325203, SelfUp,
11-16-2022-14-47-06.917,1, 0.0182547,0.016228,21913, SelfDown,
11-16-2022-14-47-07.017,1, 0.0261284,0.021547,570170, SelfUp,
11-16-2022-14-47-07.017,1, 0.0275085,0.020185,37280, SelfDown,
11-16-2022-14-47-07.118,1, 0.0272834,0.026876,43902, SelfDown,
11-16-2022-14-47-07.118,1, 0.0272834,0.029079,681122, SelfUp,
11-16-2022-14-47-07.218,1, 0.0284089,0.030573,49742, SelfDown,
11-16-2022-14-47-07.218,1, 0.0301291,0.031995,823461, SelfUp,
11-16-2022-14-47-07.329,1, 0.0335236,0.034348,930917, SelfUp,
11-16-2022-14-47-07.329,1, 0.0448179,0.034116,56599, SelfDown,
11-16-2022-14-47-07.436,1, 0.018438,0.032998,1036886, SelfUp,
11-16-2022-14-47-07.436,1, 0.0306896,0.022791,61999, SelfDown,
11-16-2022-14-47-07.537,1, 0.01667,0.023272,1190288, SelfUp,
11-16-2022-14-47-07.537,1, 0.0225243,0.02089,66046, SelfDown,
11-16-2022-14-47-07.637,1, 0.0166336,0.023842,1297408, SelfUp,
11-16-2022-14-47-07.637,1, 0.0237546,0.01913,70713, SelfDown,
11-16-2022-14-47-07.739,1, 0.0266026,0.030272,1297408, SelfUp,
11-16-2022-14-47-07.738,1, 0.0266026,0.028631,73082, SelfDown,
11-16-2022-14-47-07.841,1, 0.0481801,0.034278,1297408, SelfUp,
11-16-2022-14-47-07.840,1, 0.0671832,0.037532,77100, SelfDown,
11-16-2022-14-47-07.941,1, 0.0270921,0.028431,1297408, SelfUp,
11-16-2022-14-47-07.941,1, 0.0535724,0.028577,80147, SelfDown,
11-16-2022-14-47-08.041,1, 0.0336736,0.034295,1297408, SelfUp,
11-16-2022-14-47-08.041,1, 0.0675257,0.033537,83565, SelfDown,
11-16-2022-14-47-08.142,1, 0.0437739,0.033419,1297408, SelfUp,
11-16-2022-14-47-08.142,1, 0.0937539,0.033001,87607, SelfDown,
11-16-2022-14-47-08.242,1, 0.0147625,0.017234,89579, SelfDown,
11-16-2022-14-47-08.242,1, 0.0147625,0.025798,1297408, SelfUp,
11-16-2022-14-47-08.344,1, 0.035554,0.032454,1297408, SelfUp,
11-16-2022-14-47-08.344,1, 0.0677252,0.026703,91315, SelfDown,
11-16-2022-14-47-08.444,1, 0.0316375,0.035536,1297408, SelfUp,
11-16-2022-14-47-08.444,1, 0.116048,0.03228,93510, SelfDown,
11-16-2022-14-47-08.549,1, 0.0273937,0.035162,1297408, SelfUp,
11-16-2022-14-47-08.549,1, 0.0282878,0.031545,93644, SelfDown,
11-16-2022-14-47-08.653,1, 0.0600088,0.035717,1297408, SelfUp,
11-16-2022-14-47-08.765,1, 0.0239974,0.032262,1297408, SelfUp,
11-16-2022-14-47-08.653,1, 0.1488211,0.033426,96871, SelfDown,
11-16-2022-14-47-08.765,1, 0.0390189,0.033426,96871, SelfDown,
