Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-16-2022-14-45-40.741,5.1592106016901225e+07, 
11-16-2022-14-45-41.743,6.4853276075800404e+07, 
11-16-2022-14-45-42.746,7.008824763920209e+07, 
11-16-2022-14-45-43.752,6.456323176992819e+07, 
11-16-2022-14-45-44.752,6.926891357630548e+07, 
11-16-2022-14-45-45.760,6.5146472382138416e+07, 
11-16-2022-14-45-46.763,6.615378906463533e+07, 
11-16-2022-14-45-47.764,7.285197555449809e+07, 
11-16-2022-14-45-48.770,6.277145294859301e+07, 
11-16-2022-14-45-49.772,6.977369271344224e+07, 
11-16-2022-14-45-50.772,6.952199194531201e+07, 
11-16-2022-14-45-51.773,6.583387121135864e+07, 
11-16-2022-14-45-52.773,6.6765632578404486e+07, 
