Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-16-2022-14-47-07.727,1.782492126231902e+06, 
11-16-2022-14-47-08.735,2.4704252451658743e+06, 
11-16-2022-14-47-09.735,1.8507286988343375e+06, 
11-16-2022-14-47-10.737,2.9756774635657915e+06, 
11-16-2022-14-47-11.738,4.092289929949508e+06, 
11-16-2022-14-47-12.739,5.700918136271532e+06, 
11-16-2022-14-47-13.744,4.660528607605935e+06, 
11-16-2022-14-47-14.744,6.71533809917496e+06, 
11-16-2022-14-47-15.747,7.322298126168232e+06, 
11-16-2022-14-47-16.748,5.104410688030906e+06, 
11-16-2022-14-47-17.759,8.15178312716812e+06, 
11-16-2022-14-47-18.759,8.586176372521302e+06, 
11-16-2022-14-47-19.760,7.5658248253627075e+06, 
11-16-2022-14-47-20.761,1.0436715941489248e+07, 
11-16-2022-14-47-21.762,9.426411496941296e+06, 
11-16-2022-14-47-22.765,1.3265199636458088e+07, 
11-16-2022-14-47-23.769,7.456866378217849e+06, 
11-16-2022-14-47-24.774,9.062538301506275e+06, 
11-16-2022-14-47-25.782,8.505192745798834e+06, 
11-16-2022-14-47-26.782,1.0578601210334983e+07, 
11-16-2022-14-47-27.783,8.924495569325471e+06, 
11-16-2022-14-47-28.784,8.052435821214143e+06, 
11-16-2022-14-47-29.790,8.354546413301842e+06, 
11-16-2022-14-47-30.791,1.2183053799068747e+07, 
11-16-2022-14-47-31.791,9.188555333025029e+06, 
11-16-2022-14-47-32.791,1.0268784738399977e+07, 
11-16-2022-14-47-33.792,1.403771754401768e+07, 
11-16-2022-14-47-34.797,1.1081749526909584e+07, 
11-16-2022-14-47-35.797,1.1319817792790629e+07, 
11-16-2022-14-47-36.800,9.900861786569986e+06, 
11-16-2022-14-47-37.801,1.2171438841737393e+07, 
11-16-2022-14-47-38.803,1.0327842834903311e+07, 
11-16-2022-14-47-39.805,7.895113784607989e+06, 
11-16-2022-14-47-40.805,1.0593078395360343e+07, 
11-16-2022-14-47-41.806,1.3317063446300924e+07, 
11-16-2022-14-47-42.806,1.164736890887805e+07, 
