Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-13-58-27.417,3, 0.052649,0.015994,15075, Foreign,
11-16-2022-13-58-27.517,3, 0.0853791,0.02347,15075, Foreign,
11-16-2022-13-58-27.823,3, 0.0983165,0.03413,15075, Foreign,
11-16-2022-13-58-27.721,3, 0.2253533,0.025677,15075, Foreign,
11-16-2022-13-58-27.928,3, 0.0813552,0.018279,15075, Foreign,
11-16-2022-13-58-28.029,3, 0.098772,0.034127,15075, Foreign,
11-16-2022-13-58-28.129,3, 0.1090013,0.027295,15075, Foreign,
11-16-2022-13-58-28.230,3, 0.095026,0.027006,15075, Foreign,
11-16-2022-13-58-28.335,3, 0.1519393,0.029788,15075, Foreign,
11-16-2022-13-58-28.439,3, 0.1030103,0.030067,15075, Foreign,
11-16-2022-13-58-28.540,3, 0.1022529,0.02979,15075, Foreign,
11-16-2022-13-58-28.752,3, 0.082993,0.021007,15075, Foreign,
11-16-2022-13-58-28.641,3, 0.3616483,0.033162,15075, Foreign,
11-16-2022-13-58-28.956,3, 0.0942158,0.020859,15075, Foreign,
11-16-2022-13-58-29.056,3, 0.1075778,0.035918,15075, Foreign,
11-16-2022-13-58-29.156,3, 0.1790905,0.029819,15075, Foreign,
11-16-2022-13-58-29.476,3, 0.1112053,0.034182,15075, Foreign,
11-16-2022-13-58-29.788,3, 0.1104466,0.034153,15075, Foreign,
11-16-2022-13-58-29.373,3, 0.5525917,0.037998,15075, Foreign,
11-16-2022-13-58-29.270,3, 0.6725456,0.033141,15075, Foreign,
11-16-2022-13-58-29.890,3, 0.1105565,0.035467,15075, Foreign,
11-16-2022-13-58-28.854,3, 0.8613626,0.034255,6339, Foreign,
11-16-2022-13-58-29.995,3, 0.1971674,0.040388,15075, Foreign,
11-16-2022-13-58-30.103,3, 0.1130701,0.035654,15075, Foreign,
11-16-2022-13-58-30.204,3, 0.0850449,0.023346,15075, Foreign,
11-16-2022-13-58-30.416,3, 0.0953087,0.033954,15075, Foreign,
11-16-2022-13-58-30.518,3, 0.1132191,0.036068,15075, Foreign,
11-16-2022-13-58-30.618,3, 0.093643,0.023468,15075, Foreign,
11-16-2022-13-58-30.308,3, 0.4299597,0.043595,15075, Foreign,
11-16-2022-13-58-30.719,3, 0.1183483,0.04066,15075, Foreign,
11-16-2022-13-58-30.929,3, 0.1236385,0.020759,15075, Foreign,
11-16-2022-13-58-31.030,3, 0.1050634,0.034833,15075, Foreign,
11-16-2022-13-58-29.577,3, 1.3543481,0.027724,6339, Foreign,
11-16-2022-13-58-31.131,3, 0.105885,0.035376,15075, Foreign,
11-16-2022-13-58-30.828,3, 0.4622718,0.045558,15075, Foreign,
11-16-2022-13-58-31.233,3, 0.1820457,0.038251,15075, Foreign,
11-16-2022-13-58-31.333,3, 0.1027361,0.032445,15075, Foreign,
11-16-2022-13-58-31.434,3, 0.1095133,0.036695,15075, Foreign,
11-16-2022-13-58-31.540,3, 0.1109378,0.03555,15075, Foreign,
11-16-2022-13-58-31.641,3, 0.1653664,0.036555,15075, Foreign,
11-16-2022-13-58-29.678,3, 1.9212084,0.032785,6339, Foreign,
11-16-2022-13-58-32.055,3, 0.1035512,0.034101,15075, Foreign,
11-16-2022-13-58-31.850,3, 0.3913963,0.039865,15075, Foreign,
11-16-2022-13-58-31.745,3, 0.6031919,0.033977,15075, Foreign,
11-16-2022-13-58-31.950,3, 0.484094,0.034199,15075, Foreign,
11-16-2022-13-58-32.363,3, 0.1921828,0.032971,15075, Foreign,
11-16-2022-13-58-32.262,3, 0.3769497,0.034471,15075, Foreign,
11-16-2022-13-58-32.156,3, 0.4835877,0.035012,15075, Foreign,
11-16-2022-13-58-27.621,3, 4.8716125,0.034521,6339, Foreign,
11-16-2022-13-58-32.463,3, 0.3972921,0.037017,15075, Foreign,
11-16-2022-13-58-32.766,3, 0.1120255,0.03041,15075, Foreign,
11-16-2022-13-58-32.970,3, 0.1178483,0.039055,15075, Foreign,
11-16-2022-13-58-33.070,3, 0.2148965,0.044542,15075, Foreign,
11-16-2022-13-58-33.375,3, 0.1007381,0.027599,15075, Foreign,
11-16-2022-13-58-33.170,3, 0.3764759,0.035185,15075, Foreign,
11-16-2022-13-58-33.475,3, 0.1125045,0.036526,15075, Foreign,
11-16-2022-13-58-32.666,3, 0.8099337,0.043256,6339, Foreign,
11-16-2022-13-58-33.678,3, 0.1186325,0.032654,15075, Foreign,
11-16-2022-13-58-33.778,3, 0.1137798,0.036814,15075, Foreign,
11-16-2022-13-58-33.880,3, 0.0877635,0.028305,15075, Foreign,
11-16-2022-13-58-32.867,3, 0.8028003,0.022652,6339, Foreign,
11-16-2022-13-58-33.576,3, 0.4817544,0.035637,15075, Foreign,
11-16-2022-13-58-33.980,3, 0.1216142,0.036728,15075, Foreign,
11-16-2022-13-58-34.080,3, 0.1032677,0.031936,15075, Foreign,
11-16-2022-13-58-34.182,3, 0.1106251,0.037727,15075, Foreign,
11-16-2022-13-58-34.386,3, 0.1004518,0.033688,15075, Foreign,
11-16-2022-13-58-34.588,3, 0.1157353,0.038536,15075, Foreign,
11-16-2022-13-58-34.283,3, 0.4262187,0.037165,15075, Foreign,
11-16-2022-13-58-34.689,3, 0.1092539,0.029848,15075, Foreign,
11-16-2022-13-58-34.795,3, 0.1144941,0.034016,15075, Foreign,
11-16-2022-13-58-35.199,3, 0.1044711,0.033496,15075, Foreign,
11-16-2022-13-58-34.895,3, 0.4378135,0.035959,15075, Foreign,
11-16-2022-13-58-35.304,3, 0.0944327,0.029623,15075, Foreign,
11-16-2022-13-58-35.404,3, 0.0998782,0.030313,15075, Foreign,
11-16-2022-13-58-35.504,3, 0.1181878,0.043546,15075, Foreign,
11-16-2022-13-58-34.996,3, 0.6573845,0.035682,15075, Foreign,
11-16-2022-13-58-35.812,3, 0.1045714,0.033745,15075, Foreign,
11-16-2022-13-58-35.913,3, 0.1625594,0.034894,15075, Foreign,
11-16-2022-13-58-35.098,3, 0.8199343,0.036888,6339, Foreign,
