Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-13-58-27.417,1, 0.0364449,0.016232,16696, Self,
11-16-2022-13-58-27.517,1, 0.0193391,0.016452,27163, Self,
11-16-2022-13-58-27.620,1, 0.0724488,0.041143,40683, Self,
11-16-2022-13-58-27.721,1, 0.0310391,0.02926,44369, Self,
11-16-2022-13-58-27.823,1, 0.0739996,0.041277,51256, Self,
11-16-2022-13-58-27.928,1, 0.0161503,0.020403,52289, Self,
11-16-2022-13-58-28.029,1, 0.0362775,0.032039,57401, Self,
11-16-2022-13-58-28.129,1, 0.0320363,0.02646,62076, Self,
11-16-2022-13-58-28.230,1, 0.0252225,0.02488,65091, Self,
11-16-2022-13-58-28.335,1, 0.0274292,0.030996,68371, Self,
11-16-2022-13-58-28.439,1, 0.0262095,0.034054,71876, Self,
11-16-2022-13-58-28.540,1, 0.0300594,0.030035,75215, Self,
11-16-2022-13-58-28.641,1, 0.0365469,0.030921,78593, Self,
11-16-2022-13-58-28.752,1, 0.0135283,0.029301,80662, Self,
11-16-2022-13-58-28.854,1, 0.1062531,0.039269,85371, Self,
11-16-2022-13-58-28.956,1, 0.0155827,0.03631,85374, Self,
11-16-2022-13-58-29.056,1, 0.1014516,0.033127,89063, Self,
11-16-2022-13-58-29.156,1, 0.0450409,0.029781,90652, Self,
11-16-2022-13-58-29.270,1, 0.0623124,0.034021,92207, Self,
11-16-2022-13-58-29.373,1, 0.1174947,0.035304,93907, Self,
11-16-2022-13-58-29.476,1, 0.063873,0.024497,95427, Self,
11-16-2022-13-58-29.577,1, 0.1186647,0.033484,96621, Self,
11-16-2022-13-58-29.678,1, 0.0684644,0.033718,97507, Self,
11-16-2022-13-58-29.788,1, 0.1288465,0.035478,99303, Self,
11-16-2022-13-58-29.890,1, 0.1276696,0.032123,100322, Self,
11-16-2022-13-58-29.995,1, 0.0282537,0.032123,100322, Self,
11-16-2022-13-58-30.103,1, 0.1227008,0.030724,104400, Self,
11-16-2022-13-58-30.203,1, 0.0234567,0.030724,104400, Self,
11-16-2022-13-58-30.308,1, 0.0755856,0.035264,125007, Self,
11-16-2022-13-58-30.416,1, 0.06283,0.03305,125734, Self,
11-16-2022-13-58-30.518,1, 0.1404889,0.030411,127725, Self,
11-16-2022-13-58-30.618,1, 0.0444896,0.030411,127725, Self,
11-16-2022-13-58-30.719,1, 0.1558423,0.036206,130140, Self,
11-16-2022-13-58-30.828,1, 0.1040115,0.035208,130475, Self,
11-16-2022-13-58-30.929,1, 0.015743,0.032812,130477, Self,
11-16-2022-13-58-31.030,1, 0.0720738,0.036624,166121, Self,
11-16-2022-13-58-31.131,1, 0.0992161,0.036576,166942, Self,
11-16-2022-13-58-31.233,1, 0.034933,0.026741,167539, Self,
11-16-2022-13-58-31.333,1, 0.0395232,0.032881,168235, Self,
11-16-2022-13-58-31.434,1, 0.0841357,0.032798,169614, Self,
11-16-2022-13-58-31.540,1, 0.1281056,0.036947,170201, Self,
11-16-2022-13-58-31.641,1, 0.0355727,0.036779,170202, Self,
11-16-2022-13-58-31.745,1, 0.0625278,0.035837,171324, Self,
11-16-2022-13-58-31.850,1, 0.0656348,0.035124,171753, Self,
11-16-2022-13-58-31.950,1, 0.2005823,0.035559,173289, Self,
11-16-2022-13-58-32.055,1, 0.1099722,0.035559,173289, Self,
11-16-2022-13-58-32.156,1, 0.0296565,0.026015,173555, Self,
11-16-2022-13-58-32.262,1, 0.1042263,0.028237,174899, Self,
11-16-2022-13-58-32.363,1, 0.0421759,0.027151,175447, Self,
11-16-2022-13-58-32.463,1, 0.1191407,0.036832,176432, Self,
11-16-2022-13-58-32.566,1, 0.0988886,0.034708,176652, Self,
11-16-2022-13-58-32.666,1, 0.1679609,0.031793,177795, Self,
11-16-2022-13-58-32.766,1, 0.0801229,0.031793,177795, Self,
11-16-2022-13-58-32.867,1, 0.1779962,0.039021,178947, Self,
11-16-2022-13-58-32.970,1, 0.0913992,0.039021,178947, Self,
11-16-2022-13-58-33.070,1, 0.1154826,0.036011,179934, Self,
11-16-2022-13-58-33.170,1, 0.0946133,0.0376,180256, Self,
11-16-2022-13-58-33.270,1, 0.1093949,0.035399,180812, Self,
11-16-2022-13-58-33.375,1, 0.0852504,0.032201,181286, Self,
11-16-2022-13-58-33.475,1, 0.076708,0.036602,182143, Self,
11-16-2022-13-58-33.576,1, 0.1165671,0.034188,182664, Self,
11-16-2022-13-58-33.678,1, 0.0842658,0.037042,183218, Self,
11-16-2022-13-58-33.778,1, 0.1323333,0.028318,190088, Self,
11-16-2022-13-58-33.879,1, 0.0311745,0.028318,190088, Self,
11-16-2022-13-58-33.980,1, 0.1402374,0.034866,220699, Self,
11-16-2022-13-58-34.080,1, 0.0599879,0.034866,220699, Self,
11-16-2022-13-58-34.182,1, 0.0873859,0.036567,221319, Self,
11-16-2022-13-58-34.283,1, 0.1548325,0.034842,222161, Self,
11-16-2022-13-58-34.386,1, 0.1513445,0.034597,222715, Self,
11-16-2022-13-58-34.487,1, 0.0657718,0.033374,222778, Self,
11-16-2022-13-58-34.588,1, 0.1340269,0.029113,223709, Self,
11-16-2022-13-58-34.689,1, 0.0557755,0.029113,223709, Self,
11-16-2022-13-58-34.795,1, 0.1658285,0.036142,224422, Self,
11-16-2022-13-58-34.895,1, 0.1150087,0.028002,226107, Self,
11-16-2022-13-58-34.996,1, 0.1431477,0.035348,226546, Self,
11-16-2022-13-58-35.098,1, 0.1372751,0.036591,227014, Self,
11-16-2022-13-58-35.199,1, 0.1652352,0.033267,227406, Self,
11-16-2022-13-58-35.304,1, 0.112832,0.027603,237011, Self,
11-16-2022-13-58-35.404,1, 0.0374083,0.028622,237012, Self,
11-16-2022-13-58-35.504,1, 0.1016359,0.041455,237710, Self,
11-16-2022-13-58-35.605,1, 0.0981123,0.028025,238154, Self,
11-16-2022-13-58-35.705,1, 0.0779545,0.034997,238577, Self,
11-16-2022-13-58-35.812,1, 0.1339185,0.032165,238852, Self,
