Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-16-2022-13-58-28.325,5.4910723260844864e+07, 
11-16-2022-13-58-29.328,6.436690028809388e+07, 
11-16-2022-13-58-30.328,7.031294992013308e+07, 
11-16-2022-13-58-31.333,6.749337028059562e+07, 
11-16-2022-13-58-32.334,6.607565273812899e+07, 
11-16-2022-13-58-33.337,6.656987712780766e+07, 
11-16-2022-13-58-34.338,6.98385085473202e+07, 
11-16-2022-13-58-35.343,6.62363943414397e+07, 
11-16-2022-13-58-36.343,7.051521315120931e+07, 
11-16-2022-13-58-37.344,6.534171625772803e+07, 
11-16-2022-13-58-38.345,6.4114443074369125e+07, 
11-16-2022-13-58-39.346,6.788990217105061e+07, 
11-16-2022-13-58-40.347,6.281356304707027e+07, 
11-16-2022-13-58-41.348,6.746053748183937e+07, 
11-16-2022-13-58-42.348,6.478189393806847e+07, 
11-16-2022-13-58-43.352,7.016378227968203e+07, 
11-16-2022-13-58-44.353,7.024253274169536e+07, 
11-16-2022-13-58-45.354,6.749559954374151e+07, 
11-16-2022-13-58-46.360,6.52638726245179e+07, 
11-16-2022-13-58-47.360,6.575447289429803e+07, 
11-16-2022-13-58-48.362,6.756600665499301e+07, 
11-16-2022-13-58-49.363,6.973614853019205e+07, 
11-16-2022-13-58-50.363,6.388491401156671e+07, 
11-16-2022-13-58-51.363,7.452983412404025e+07, 
11-16-2022-13-58-52.363,6.411138467482772e+07, 
11-16-2022-13-58-53.363,6.839467123596144e+07, 
11-16-2022-13-58-54.363,7.169538244178535e+07, 
11-16-2022-13-58-55.363,6.399686136589572e+07, 
11-16-2022-13-58-56.364,6.855998577873278e+07, 
11-16-2022-13-58-57.366,6.837062840770875e+07, 
11-16-2022-13-58-58.366,7.239367102338248e+07, 
11-16-2022-13-58-59.367,6.808672442339286e+07, 
11-16-2022-13-59-00.367,6.945737928207794e+07, 
11-16-2022-13-59-01.367,6.532175333270947e+07, 
11-16-2022-13-59-02.367,6.868219248739004e+07, 
11-16-2022-13-59-03.369,6.561871140315253e+07, 
11-16-2022-13-59-04.369,6.985939820741485e+07, 
11-16-2022-13-59-05.370,5.6626390735249504e+07, 
11-16-2022-13-59-06.370,6.755973317986524e+07, 
11-16-2022-13-59-07.372,6.931384659279662e+07, 
11-16-2022-13-59-08.372,6.946106797883e+07, 
11-16-2022-13-59-09.373,6.960321640615855e+07, 
11-16-2022-13-59-10.373,6.298148821553334e+07, 
11-16-2022-13-59-11.373,7.104827151691525e+07, 
11-16-2022-13-59-12.373,6.2714860343550995e+07, 
11-16-2022-13-59-13.375,7.23482689403231e+07, 
11-16-2022-13-59-14.375,5.632683491169287e+07, 
11-16-2022-13-59-15.376,7.133250991247562e+07, 
11-16-2022-13-59-16.377,6.905620305439109e+07, 
11-16-2022-13-59-17.378,6.5686136096246526e+07, 
11-16-2022-13-59-18.378,7.32789151917573e+07, 
11-16-2022-13-59-19.378,6.26651264778136e+07, 
11-16-2022-13-59-20.379,6.828562682779413e+07, 
11-16-2022-13-59-21.379,6.927159980026634e+07, 
11-16-2022-13-59-22.380,6.747343130144714e+07, 
11-16-2022-13-59-23.380,7.099970161265162e+07, 
11-16-2022-13-59-24.381,6.320254466226412e+07, 
11-16-2022-13-59-25.381,6.044615198636233e+07, 
11-16-2022-13-59-26.381,7.2326758574973e+07, 
11-16-2022-13-59-27.382,6.798984333820732e+07, 
11-16-2022-13-59-28.383,6.719252227537642e+07, 
11-16-2022-13-59-29.383,6.93438231783654e+07, 
11-16-2022-13-59-30.384,6.142006768778737e+07, 
11-16-2022-13-59-31.384,6.797281747706161e+07, 
11-16-2022-13-59-32.385,6.70195510440315e+07, 
11-16-2022-13-59-33.386,6.815358880970061e+07, 
11-16-2022-13-59-34.386,7.064836359437951e+07, 
11-16-2022-13-59-35.387,7.019378769583952e+07, 
11-16-2022-13-59-36.388,6.438686397415342e+07, 
11-16-2022-13-59-37.388,6.876146127113532e+07, 
11-16-2022-13-59-38.388,7.291818066457878e+07, 
11-16-2022-13-59-39.388,6.39585908541406e+07, 
11-16-2022-13-59-40.388,6.3070639835428104e+07, 
11-16-2022-13-59-41.389,7.187485318551695e+07, 
11-16-2022-13-59-42.389,6.524949270918785e+07, 
11-16-2022-13-59-43.389,6.969330119125123e+07, 
11-16-2022-13-59-44.391,6.782224690227914e+07, 
11-16-2022-13-59-45.392,6.719014538606237e+07, 
11-16-2022-13-59-46.392,6.947199405323915e+07, 
11-16-2022-13-59-47.392,6.942713290869698e+07, 
11-16-2022-13-59-48.392,6.683607917904336e+07, 
11-16-2022-13-59-49.393,6.6346955941572666e+07, 
11-16-2022-13-59-50.393,5.741167329265608e+07, 
11-16-2022-13-59-51.394,6.824837624979478e+07, 
11-16-2022-13-59-52.395,6.624988749183973e+07, 
11-16-2022-13-59-53.395,6.99130301928614e+07, 
11-16-2022-13-59-54.395,6.6508896992153116e+07, 
11-16-2022-13-59-55.396,6.694565293446166e+07, 
11-16-2022-13-59-56.396,6.978096564290652e+07, 
11-16-2022-13-59-57.396,6.472254052189874e+07, 
