Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-16-2022-13-58-28.325,1.6891729661107848e+06, 
11-16-2022-13-58-29.328,2.61340169905405e+06, 
11-16-2022-13-58-30.328,2.899856065555869e+06, 
11-16-2022-13-58-31.333,1.841453674518623e+06, 
11-16-2022-13-58-32.334,4.109523360788555e+06, 
11-16-2022-13-58-33.337,4.296689717999424e+06, 
11-16-2022-13-58-34.338,6.4327558526490135e+06, 
11-16-2022-13-58-35.343,5.624941971589688e+06, 
11-16-2022-13-58-36.343,8.169968247656337e+06, 
11-16-2022-13-58-37.344,8.598171908859937e+06, 
11-16-2022-13-58-38.344,1.0382360337546334e+07, 
11-16-2022-13-58-39.346,1.1516191424598034e+07, 
11-16-2022-13-58-40.347,1.1719060872275515e+07, 
11-16-2022-13-58-41.348,9.75245010625974e+06, 
11-16-2022-13-58-42.348,1.0221392847055765e+07, 
11-16-2022-13-58-43.352,1.1311380996011367e+07, 
11-16-2022-13-58-44.353,1.1047288813201606e+07, 
11-16-2022-13-58-45.354,1.1870004866743417e+07, 
11-16-2022-13-58-46.360,1.1323390521980448e+07, 
11-16-2022-13-58-47.360,1.049573635295652e+07, 
11-16-2022-13-58-48.363,1.2953997175597515e+07, 
11-16-2022-13-58-49.364,1.3444260884505259e+07, 
11-16-2022-13-58-50.364,1.3433125633792225e+07, 
11-16-2022-13-58-51.364,1.4052798039372107e+07, 
11-16-2022-13-58-52.365,1.1035532548517976e+07, 
11-16-2022-13-58-53.365,1.1794410081030777e+07, 
11-16-2022-13-58-54.368,1.3406036056157341e+07, 
11-16-2022-13-58-55.369,1.2479308037876315e+07, 
11-16-2022-13-58-56.370,1.144119843593895e+07, 
11-16-2022-13-58-57.369,1.3653498985149903e+07, 
11-16-2022-13-58-58.370,1.3079525753369693e+07, 
11-16-2022-13-58-59.371,1.2377635941550134e+07, 
11-16-2022-13-59-00.371,1.240004926951545e+07, 
11-16-2022-13-59-01.371,1.3136950442483358e+07, 
11-16-2022-13-59-02.371,1.2810554731944768e+07, 
11-16-2022-13-59-03.372,1.3656262989272382e+07, 
11-16-2022-13-59-04.373,1.2933824711678758e+07, 
11-16-2022-13-59-05.373,9.859640220729023e+06, 
11-16-2022-13-59-06.374,8.301164405204777e+06, 
11-16-2022-13-59-07.375,9.37406422952855e+06, 
11-16-2022-13-59-08.378,1.3074190915409483e+07, 
11-16-2022-13-59-09.378,1.156531715849901e+07, 
11-16-2022-13-59-10.378,1.131843289905836e+07, 
11-16-2022-13-59-11.379,1.4188642276395159e+07, 
11-16-2022-13-59-12.380,1.1613599969686933e+07, 
11-16-2022-13-59-13.380,1.3476762634235092e+07, 
11-16-2022-13-59-14.381,1.2763353935904786e+07, 
11-16-2022-13-59-15.382,1.158091356291497e+07, 
11-16-2022-13-59-16.382,1.323641096061894e+07, 
11-16-2022-13-59-17.382,1.1415245139949521e+07, 
11-16-2022-13-59-18.383,1.3166005537968988e+07, 
11-16-2022-13-59-19.383,1.0682340225915413e+07, 
11-16-2022-13-59-20.383,1.2892312830013989e+07, 
11-16-2022-13-59-21.383,1.3515582246039627e+07, 
11-16-2022-13-59-22.383,1.1533411806940796e+07, 
11-16-2022-13-59-23.383,1.2036636505394638e+07, 
11-16-2022-13-59-24.383,1.155055829218391e+07, 
11-16-2022-13-59-25.384,1.0746531667906009e+07, 
11-16-2022-13-59-26.385,1.3084849768111087e+07, 
11-16-2022-13-59-27.387,1.376832968232593e+07, 
11-16-2022-13-59-28.388,1.3151670005478047e+07, 
11-16-2022-13-59-29.388,1.3303154815098586e+07, 
11-16-2022-13-59-30.389,1.2473107794613367e+07, 
11-16-2022-13-59-31.389,1.2956241927806908e+07, 
11-16-2022-13-59-32.389,1.1383009776675928e+07, 
11-16-2022-13-59-33.390,1.291992430531416e+07, 
11-16-2022-13-59-34.391,1.2244711344013225e+07, 
11-16-2022-13-59-35.392,1.3722274764228541e+07, 
11-16-2022-13-59-36.391,1.3496327389944965e+07, 
11-16-2022-13-59-37.393,1.3789574217551142e+07, 
11-16-2022-13-59-38.393,1.3761445322928842e+07, 
11-16-2022-13-59-39.393,1.3022378614044787e+07, 
11-16-2022-13-59-40.394,1.3396206951975567e+07, 
11-16-2022-13-59-41.394,1.292534094437054e+07, 
11-16-2022-13-59-42.394,1.359682460265039e+07, 
11-16-2022-13-59-43.394,1.4022129537017005e+07, 
11-16-2022-13-59-44.395,1.2954209961504448e+07, 
11-16-2022-13-59-45.395,1.3313175956271041e+07, 
11-16-2022-13-59-46.395,1.4121134125501545e+07, 
11-16-2022-13-59-47.396,1.1957912872138837e+07, 
11-16-2022-13-59-48.396,1.3646106193858514e+07, 
11-16-2022-13-59-49.397,1.0655856673817202e+07, 
11-16-2022-13-59-50.397,1.2230074144808508e+07, 
11-16-2022-13-59-51.399,1.3591290699565286e+07, 
11-16-2022-13-59-52.400,1.3105051475115612e+07, 
11-16-2022-13-59-53.399,1.313990153858885e+07, 
11-16-2022-13-59-54.400,1.3807375103479998e+07, 
11-16-2022-13-59-55.401,1.3484085424142832e+07, 
11-16-2022-13-59-56.401,1.3614794944154764e+07, 
11-16-2022-13-59-57.401,1.1384311699280644e+07, 
