Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-16-56-30.124,3, 0.0635776,0.021672,15075, Foreign,
11-16-2022-16-56-30.224,3, 0.049088,0.014762,15075, Foreign,
11-16-2022-16-56-30.331,3, 0.0471074,0.015812,15075, Foreign,
11-16-2022-16-56-30.431,3, 0.0489251,0.015532,15075, Foreign,
11-16-2022-16-56-30.531,3, 0.0509406,0.015695,15075, Foreign,
11-16-2022-16-56-30.639,3, 0.0703816,0.0154,15075, Foreign,
11-16-2022-16-56-30.740,3, 0.1124517,0.019264,15075, Foreign,
11-16-2022-16-56-30.844,3, 0.0505554,0.015079,15075, Foreign,
11-16-2022-16-56-30.946,3, 0.0564794,0.017939,15075, Foreign,
11-16-2022-16-56-31.049,3, 0.0554815,0.01631,15075, Foreign,
11-16-2022-16-56-31.149,3, 0.062879,0.024619,15075, Foreign,
11-16-2022-16-56-31.250,3, 0.0550815,0.020013,15075, Foreign,
11-16-2022-16-56-31.351,3, 0.0550371,0.017741,15075, Foreign,
11-16-2022-16-56-31.451,3, 0.0821375,0.028768,15075, Foreign,
11-16-2022-16-56-31.551,3, 0.100087,0.0298,15075, Foreign,
11-16-2022-16-56-31.651,3, 0.0861717,0.020143,15075, Foreign,
11-16-2022-16-56-31.752,3, 0.0692784,0.019437,15075, Foreign,
11-16-2022-16-56-31.952,3, 0.1704617,0.028653,15075, Foreign,
11-16-2022-16-56-32.061,3, 0.0935216,0.029246,15075, Foreign,
11-16-2022-16-56-31.852,3, 0.3890563,0.037654,15075, Foreign,
11-16-2022-16-56-32.162,3, 0.1055289,0.032952,15075, Foreign,
11-16-2022-16-56-32.365,3, 0.0877034,0.033471,15075, Foreign,
11-16-2022-16-56-32.466,3, 0.1030661,0.032989,15075, Foreign,
11-16-2022-16-56-32.669,3, 0.0884407,0.030371,15075, Foreign,
11-16-2022-16-56-33.078,3, 0.1041517,0.032643,15075, Foreign,
11-16-2022-16-56-32.976,3, 0.4966627,0.044911,15075, Foreign,
11-16-2022-16-56-33.494,3, 0.0888976,0.030529,15075, Foreign,
11-16-2022-16-56-33.281,3, 0.3667179,0.03534,15075, Foreign,
11-16-2022-16-56-33.179,3, 0.4749927,0.035268,15075, Foreign,
11-16-2022-16-56-33.594,3, 0.0983963,0.027911,15075, Foreign,
11-16-2022-16-56-32.869,3, 0.9596582,0.041883,15075, Foreign,
11-16-2022-16-56-32.769,3, 0.7956081,0.022005,6339, Foreign,
11-16-2022-16-56-33.384,3, 0.6245098,0.0362,15075, Foreign,
