Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-16-56-30.124,1, 0.0213486,0.019513,154972, SelfUp,
11-16-2022-16-56-30.124,1, 0.0433831,0.015163,16276, SelfDown,
11-16-2022-16-56-30.224,1, 0.0141925,0.01747,337115, SelfUp,
11-16-2022-16-56-30.224,1, 0.0177244,0.016572,19673, SelfDown,
11-16-2022-16-56-30.331,1, 0.0147308,0.017137,612468, SelfUp,
11-16-2022-16-56-30.331,1, 0.0496178,0.019117,25730, SelfDown,
11-16-2022-16-56-30.431,1, 0.0151777,0.018735,813275, SelfUp,
11-16-2022-16-56-30.431,1, 0.0523066,0.016377,32347, SelfDown,
11-16-2022-16-56-30.531,1, 0.0180331,0.02028,1030299, SelfUp,
11-16-2022-16-56-30.531,1, 0.0360342,0.015195,37704, SelfDown,
11-16-2022-16-56-30.639,1, 0.0192385,0.019026,1170432, SelfUp,
11-16-2022-16-56-30.639,1, 0.0442538,0.018379,42221, SelfDown,
11-16-2022-16-56-30.740,1, 0.0144582,0.017783,1170432, SelfUp,
11-16-2022-16-56-30.740,1, 0.0696983,0.017919,49118, SelfDown,
11-16-2022-16-56-30.844,1, 0.0131023,0.017971,1170432, SelfUp,
11-16-2022-16-56-30.844,1, 0.083505,0.018621,53215, SelfDown,
11-16-2022-16-56-30.946,1, 0.0200705,0.018486,1170432, SelfUp,
11-16-2022-16-56-30.946,1, 0.0451984,0.018332,56332, SelfDown,
11-16-2022-16-56-31.049,1, 0.0153955,0.017472,1170432, SelfUp,
11-16-2022-16-56-31.049,1, 0.0485019,0.018195,65520, SelfDown,
11-16-2022-16-56-31.149,1, 0.0173054,0.018751,1170432, SelfUp,
11-16-2022-16-56-31.149,1, 0.0290857,0.01883,65520, SelfDown,
11-16-2022-16-56-31.250,1, 0.0208828,0.018756,1170432, SelfUp,
11-16-2022-16-56-31.250,1, 0.0297124,0.016061,65520, SelfDown,
11-16-2022-16-56-31.351,1, 0.0176162,0.018049,1170432, SelfUp,
11-16-2022-16-56-31.351,1, 0.0312886,0.017134,66304, SelfDown,
11-16-2022-16-56-31.451,1, 0.0258809,0.021932,1170432, SelfUp,
11-16-2022-16-56-31.451,1, 0.0298459,0.020994,69632, SelfDown,
11-16-2022-16-56-31.551,1, 0.0400423,0.027723,1170432, SelfUp,
11-16-2022-16-56-31.551,1, 0.0664067,0.029671,72507, SelfDown,
11-16-2022-16-56-31.651,1, 0.0239434,0.029069,1170432, SelfUp,
11-16-2022-16-56-31.651,1, 0.0244966,0.02119,76258, SelfDown,
11-16-2022-16-56-31.752,1, 0.0324082,0.020972,1170432, SelfUp,
11-16-2022-16-56-31.752,1, 0.0623525,0.024357,81293, SelfDown,
11-16-2022-16-56-31.852,1, 0.0358875,0.027002,1170432, SelfUp,
11-16-2022-16-56-31.852,1, 0.1143562,0.03544,86784, SelfDown,
11-16-2022-16-56-31.952,1, 0.0306978,0.036423,1170432, SelfUp,
11-16-2022-16-56-31.952,1, 0.0422836,0.022036,89191, SelfDown,
11-16-2022-16-56-32.061,1, 0.0318881,0.036407,1170432, SelfUp,
11-16-2022-16-56-32.061,1, 0.0882339,0.033813,92063, SelfDown,
11-16-2022-16-56-32.162,1, 0.031815,0.03127,1170432, SelfUp,
11-16-2022-16-56-32.162,1, 0.0450872,0.032175,95382, SelfDown,
11-16-2022-16-56-32.265,1, 0.0345866,0.036387,1170432, SelfUp,
11-16-2022-16-56-32.265,1, 0.0647111,0.031877,96876, SelfDown,
11-16-2022-16-56-32.365,1, 0.0684406,0.033525,100169, SelfDown,
11-16-2022-16-56-32.365,1, 0.103582,0.035835,1170432, SelfUp,
11-16-2022-16-56-32.466,1, 0.035495,0.035034,1170432, SelfUp,
11-16-2022-16-56-32.466,1, 0.1005793,0.031946,101865, SelfDown,
11-16-2022-16-56-32.566,1, 0.037654,0.034473,1170432, SelfUp,
11-16-2022-16-56-32.566,1, 0.1063088,0.035532,104114, SelfDown,
11-16-2022-16-56-32.669,1, 0.0360673,0.036469,1170432, SelfUp,
11-16-2022-16-56-32.669,1, 0.0613414,0.036103,104631, SelfDown,
11-16-2022-16-56-32.769,1, 0.0808236,0.033482,1170432, SelfUp,
11-16-2022-16-56-32.769,1, 0.1204693,0.034971,109172, SelfDown,
11-16-2022-16-56-32.869,1, 0.0363758,0.037318,1170432, SelfUp,
11-16-2022-16-56-32.869,1, 0.1192629,0.035023,111269, SelfDown,
11-16-2022-16-56-32.976,1, 0.0365996,0.039548,1170432, SelfUp,
11-16-2022-16-56-32.976,1, 0.0569863,0.030763,112948, SelfDown,
11-16-2022-16-56-33.078,1, 0.0686422,0.043328,1170432, SelfUp,
11-16-2022-16-56-33.078,1, 0.0835199,0.037767,115276, SelfDown,
11-16-2022-16-56-33.179,1, 0.0343884,0.035883,1170432, SelfUp,
11-16-2022-16-56-33.179,1, 0.0362816,0.026959,118475, SelfDown,
11-16-2022-16-56-33.281,1, 0.0382701,0.038311,1170432, SelfUp,
11-16-2022-16-56-33.281,1, 0.1079654,0.03531,120375, SelfDown,
11-16-2022-16-56-33.384,1, 0.0382514,0.036017,1170432, SelfUp,
11-16-2022-16-56-33.384,1, 0.0743145,0.041525,122167, SelfDown,
11-16-2022-16-56-33.494,1, 0.0622676,0.036573,1170432, SelfUp,
11-16-2022-16-56-33.494,1, 0.0782358,0.03537,123702, SelfDown,
11-16-2022-16-56-33.594,1, 0.0211445,0.027766,1170432, SelfUp,
11-16-2022-16-56-33.594,1, 0.0751698,0.031837,126753, SelfDown,
11-16-2022-16-56-33.707,1, 0.0507703,0.038324,1170432, SelfUp,
11-16-2022-16-56-33.707,1, 0.0644314,0.034353,127699, SelfDown,
11-16-2022-16-56-33.814,1, 0.0165006,0.031359,1170432, SelfUp,
11-16-2022-16-56-33.814,1, 0.0516673,0.02263,132708, SelfDown,
11-16-2022-16-56-33.922,1, 0.036588,0.034489,1170432, SelfUp,
11-16-2022-16-56-34.024,1, 0.0412597,0.038528,1170432, SelfUp,
11-16-2022-16-56-33.922,1, 0.1458605,0.037582,136051, SelfDown,
11-16-2022-16-56-34.024,1, 0.1076519,0.031544,136370, SelfDown,
11-16-2022-16-56-34.131,1, 0.0373016,0.038685,1170432, SelfUp,
11-16-2022-16-56-34.131,1, 0.0569306,0.032391,138953, SelfDown,
11-16-2022-16-56-34.234,1, 0.1046014,0.03602,141102, SelfDown,
11-16-2022-16-56-34.334,1, 0.0236838,0.024185,141764, SelfDown,
11-16-2022-16-56-34.234,1, 0.1580781,0.036228,1170432, SelfUp,
11-16-2022-16-56-34.334,1, 0.0577078,0.036228,1170432, SelfUp,
11-16-2022-16-56-34.436,1, 0.035443,0.036292,1170432, SelfUp,
11-16-2022-16-56-34.436,1, 0.1375834,0.033746,144051, SelfDown,
11-16-2022-16-56-34.542,1, 0.0318663,0.032883,144067, SelfDown,
11-16-2022-16-56-34.644,1, 0.1224747,0.035808,147799, SelfDown,
11-16-2022-16-56-34.745,1, 0.0363271,0.034709,147803, SelfDown,
11-16-2022-16-56-34.849,1, 0.0765428,0.034736,168503, SelfDown,
11-16-2022-16-56-34.949,1, 0.1092264,0.035735,170785, SelfDown,
11-16-2022-16-56-35.052,1, 0.1256275,0.030969,171689, SelfDown,
11-16-2022-16-56-35.153,1, 0.0387045,0.026333,171857, SelfDown,
11-16-2022-16-56-35.254,1, 0.1018189,0.037318,174363, SelfDown,
11-16-2022-16-56-35.354,1, 0.0620319,0.020325,194648, SelfDown,
11-16-2022-16-56-35.454,1, 0.0374911,0.028807,195545, SelfDown,
11-16-2022-16-56-35.561,1, 0.1535844,0.03548,197664, SelfDown,
11-16-2022-16-56-35.667,1, 0.1024095,0.037107,198527, SelfDown,
11-16-2022-16-56-35.768,1, 0.0804317,0.039243,199534, SelfDown,
11-16-2022-16-56-35.869,1, 0.0943539,0.031814,200650, SelfDown,
11-16-2022-16-56-35.971,1, 0.1617787,0.035487,202391, SelfDown,
11-16-2022-16-56-36.071,1, 0.0849033,0.035487,202391, SelfDown,
11-16-2022-16-56-34.542,1, 1.7427551000000001,0.034965,1170432, SelfUp,
11-16-2022-16-56-34.745,1, 1.5654351,0.03496,1170432, SelfUp,
11-16-2022-16-56-34.644,1, 1.6664295,0.03496,1170432, SelfUp,
11-16-2022-16-56-34.849,1, 1.4615876,0.03496,1170432, SelfUp,
11-16-2022-16-56-35.052,1, 1.2585832,0.03496,1170432, SelfUp,
11-16-2022-16-56-34.949,1, 1.3616358,0.03496,1170432, SelfUp,
11-16-2022-16-56-35.254,1, 1.0574919,0.03496,1170432, SelfUp,
11-16-2022-16-56-35.153,1, 1.157589,0.03496,1170432, SelfUp,
11-16-2022-16-56-35.454,1, 0.8570127,0.03496,1170432, SelfUp,
11-16-2022-16-56-35.354,1, 0.9573464,0.03496,1170432, SelfUp,
11-16-2022-16-56-35.561,1, 0.7502824,0.03496,1170432, SelfUp,
11-16-2022-16-56-35.667,1, 0.6437368,0.03496,1170432, SelfUp,
11-16-2022-16-56-35.869,1, 0.4416877,0.03496,1170432, SelfUp,
11-16-2022-16-56-35.768,1, 0.5434186,0.03496,1170432, SelfUp,
11-16-2022-16-56-35.971,1, 0.3405402,0.03496,1170432, SelfUp,
11-16-2022-16-56-36.071,1, 0.2402353,0.03496,1170432, SelfUp,
11-16-2022-16-56-36.173,1, 0.1384203,0.03496,1170432, SelfUp,
11-16-2022-16-56-36.275,1, 0.0360714,0.03496,1170432, SelfUp,
11-16-2022-16-56-36.173,1, 0.1597852,0.033454,204251, SelfDown,
11-16-2022-16-56-36.275,1, 0.0769462,0.033454,204251, SelfDown,
11-16-2022-16-56-36.385,1, 0.0864465,0.0379,1170432, SelfUp,
11-16-2022-16-56-36.385,1, 0.088848,0.03738,206003, SelfDown,
11-16-2022-16-56-36.490,1, 0.1318865,0.035107,206766, SelfDown,
11-16-2022-16-56-36.593,1, 0.0366194,0.035107,206766, SelfDown,
11-16-2022-16-56-36.491,1, 0.3102227,0.040211,1170432, SelfUp,
11-16-2022-16-56-36.700,1, 0.1343867,0.035882,209116, SelfDown,
11-16-2022-16-56-36.593,1, 0.2415311,0.040211,1170432, SelfUp,
11-16-2022-16-56-36.700,1, 0.1343867,0.040211,1170432, SelfUp,
11-16-2022-16-56-36.801,1, 0.0366151,0.037734,1170432, SelfUp,
11-16-2022-16-56-36.801,1, 0.1041765,0.036723,209680, SelfDown,
11-16-2022-16-56-36.901,1, 0.0660159,0.037174,1170432, SelfUp,
11-16-2022-16-56-36.901,1, 0.135039,0.03354,210656, SelfDown,
11-16-2022-16-56-37.002,1, 0.0381124,0.039748,1170432, SelfUp,
11-16-2022-16-56-37.002,1, 0.0940698,0.033288,212099, SelfDown,
11-16-2022-16-56-37.110,1, 0.0321997,0.036486,1170432, SelfUp,
11-16-2022-16-56-37.110,1, 0.1117603,0.03459,212585, SelfDown,
11-16-2022-16-56-37.211,1, 0.0636518,0.03536,1170432, SelfUp,
11-16-2022-16-56-37.211,1, 0.0874758,0.034073,213409, SelfDown,
11-16-2022-16-56-37.312,1, 0.0801032,0.03542,214132, SelfDown,
11-16-2022-16-56-37.413,1, 0.0330377,0.028518,215146, SelfDown,
11-16-2022-16-56-37.413,1, 0.0521899,0.034578,1170432, SelfUp,
11-16-2022-16-56-37.312,1, 0.1529153,0.034578,1170432, SelfUp,
11-16-2022-16-56-37.515,1, 0.0311723,0.034207,1170432, SelfUp,
11-16-2022-16-56-37.515,1, 0.0373582,0.031008,216082, SelfDown,
11-16-2022-16-56-37.615,1, 0.0396711,0.03578,1170432, SelfUp,
11-16-2022-16-56-37.615,1, 0.0754287,0.034746,216716, SelfDown,
11-16-2022-16-56-37.716,1, 0.0313572,0.035159,1170432, SelfUp,
11-16-2022-16-56-37.716,1, 0.1230945,0.03477,217264, SelfDown,
11-16-2022-16-56-37.818,1, 0.0751279,0.034619,1170432, SelfUp,
11-16-2022-16-56-37.818,1, 0.1384591,0.038317,217533, SelfDown,
11-16-2022-16-56-37.921,1, 0.0406716,0.034603,1170432, SelfUp,
11-16-2022-16-56-38.022,1, 0.0435259,0.037062,1170432, SelfUp,
11-16-2022-16-56-37.921,1, 0.1527698,0.038072,218227, SelfDown,
11-16-2022-16-56-38.123,1, 0.0678272,0.040986,1170432, SelfUp,
11-16-2022-16-56-38.022,1, 0.1764134,0.036405,218634, SelfDown,
11-16-2022-16-56-38.224,1, 0.0363026,0.036736,1170432, SelfUp,
11-16-2022-16-56-38.123,1, 0.1457864,0.038761,219214, SelfDown,
11-16-2022-16-56-38.224,1, 0.1122615,0.038829,219663, SelfDown,
11-16-2022-16-56-38.325,1, 0.0634782,0.036729,1170432, SelfUp,
11-16-2022-16-56-38.325,1, 0.0921908,0.033948,220069, SelfDown,
11-16-2022-16-56-38.426,1, 0.0467401,0.040945,1170432, SelfUp,
11-16-2022-16-56-38.426,1, 0.0872781,0.038292,221159, SelfDown,
11-16-2022-16-56-38.526,1, 0.0739333,0.039858,1170432, SelfUp,
11-16-2022-16-56-38.626,1, 0.0748736,0.036496,1170432, SelfUp,
11-16-2022-16-56-38.526,1, 0.2198517,0.03337,221878, SelfDown,
11-16-2022-16-56-38.626,1, 0.1206444,0.03337,221878, SelfDown,
11-16-2022-16-56-38.727,1, 0.0333433,0.03334,221880, SelfDown,
11-16-2022-16-56-38.727,1, 0.0334096,0.034763,1170432, SelfUp,
11-16-2022-16-56-38.828,1, 0.1057658,0.036721,223592, SelfDown,
11-16-2022-16-56-38.930,1, 0.0563796,0.034906,223744, SelfDown,
11-16-2022-16-56-39.030,1, 0.2336641,0.02929,245978, SelfDown,
11-16-2022-16-56-39.131,1, 0.2013387,0.041054,246421, SelfDown,
11-16-2022-16-56-39.236,1, 0.1020131,0.041054,246421, SelfDown,
11-16-2022-16-56-39.337,1, 0.2209689,0.039239,246903, SelfDown,
11-16-2022-16-56-38.828,1, 0.8115719,0.043369,1170432, SelfUp,
11-16-2022-16-56-39.438,1, 0.2136406,0.039152,246987, SelfDown,
11-16-2022-16-56-39.030,1, 0.6834081,0.042725,1170432, SelfUp,
11-16-2022-16-56-38.930,1, 0.7836767,0.042725,1170432, SelfUp,
11-16-2022-16-56-39.438,1, 0.2751091,0.042725,1170432, SelfUp,
11-16-2022-16-56-39.639,1, 0.0742587,0.042725,1170432, SelfUp,
11-16-2022-16-56-39.131,1, 0.5821459,0.042725,1170432, SelfUp,
11-16-2022-16-56-39.236,1, 0.4775832,0.042725,1170432, SelfUp,
11-16-2022-16-56-39.337,1, 0.3760737,0.042725,1170432, SelfUp,
11-16-2022-16-56-39.539,1, 0.1745478,0.042725,1170432, SelfUp,
11-16-2022-16-56-39.539,1, 0.186981,0.038823,247085, SelfDown,
11-16-2022-16-56-39.639,1, 0.1114692,0.037583,247211, SelfDown,
11-16-2022-16-56-39.744,1, 0.0393376,0.040055,1170432, SelfUp,
11-16-2022-16-56-39.744,1, 0.053263,0.043725,247836, SelfDown,
11-16-2022-16-56-39.844,1, 0.0383843,0.039332,1170432, SelfUp,
11-16-2022-16-56-39.844,1, 0.1485265,0.041501,249101, SelfDown,
11-16-2022-16-56-39.945,1, 0.0533374,0.039353,1170432, SelfUp,
11-16-2022-16-56-39.945,1, 0.0887158,0.041501,249101, SelfDown,
11-16-2022-16-56-40.049,1, 0.0588086,0.039377,250103, SelfDown,
11-16-2022-16-56-40.049,1, 0.0830683,0.043734,1170432, SelfUp,
11-16-2022-16-56-40.150,1, 0.1006433,0.037985,1170432, SelfUp,
11-16-2022-16-56-40.250,1, 0.0749757,0.037901,1170432, SelfUp,
11-16-2022-16-56-40.150,1, 0.218608,0.038352,251225, SelfDown,
11-16-2022-16-56-40.250,1, 0.1591904,0.037636,251227, SelfDown,
11-16-2022-16-56-40.350,1, 0.0707876,0.037753,1170432, SelfUp,
11-16-2022-16-56-40.350,1, 0.1313547,0.034871,252055, SelfDown,
11-16-2022-16-56-40.456,1, 0.0356696,0.036014,1170432, SelfUp,
11-16-2022-16-56-40.557,1, 0.0360202,0.038288,1170432, SelfUp,
11-16-2022-16-56-40.456,1, 0.2157488,0.035131,252866, SelfDown,
11-16-2022-16-56-40.557,1, 0.1162928,0.035131,252866, SelfDown,
11-16-2022-16-56-40.657,1, 0.0335242,0.034971,252868, SelfDown,
11-16-2022-16-56-40.657,1, 0.0351064,0.037757,1170432, SelfUp,
11-16-2022-16-56-40.758,1, 0.0387821,0.038943,1170432, SelfUp,
11-16-2022-16-56-40.859,1, 0.0367431,0.035202,1170432, SelfUp,
11-16-2022-16-56-40.959,1, 0.0390426,0.03517,1170432, SelfUp,
11-16-2022-16-56-41.060,1, 0.0346584,0.03269,1170432, SelfUp,
11-16-2022-16-56-40.758,1, 0.5428803,0.040496,179110, SelfDown,
11-16-2022-16-56-41.166,1, 0.1346621,0.040496,179110, SelfDown,
11-16-2022-16-56-41.060,1, 0.240452,0.040496,179110, SelfDown,
11-16-2022-16-56-40.959,1, 0.3414162,0.040496,179110, SelfDown,
11-16-2022-16-56-40.859,1, 0.441666,0.040496,179110, SelfDown,
11-16-2022-16-56-41.266,1, 0.1058861,0.038428,180004, SelfDown,
11-16-2022-16-56-41.166,1, 0.3105597,0.038598,1170432, SelfUp,
11-16-2022-16-56-41.367,1, 0.1201175,0.03806,181149, SelfDown,
11-16-2022-16-56-41.367,1, 0.1435563,0.038482,1170432, SelfUp,
11-16-2022-16-56-41.266,1, 0.2444801,0.038482,1170432, SelfUp,
11-16-2022-16-56-41.473,1, 0.0401754,0.037686,1170432, SelfUp,
11-16-2022-16-56-41.473,1, 0.1376038,0.036353,183317, SelfDown,
