Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-16-2022-18-52-26.810,4.3210875347261555e+07, 
11-16-2022-18-52-27.812,6.285638803969084e+07, 
11-16-2022-18-52-28.812,6.4916684155576885e+07, 
11-16-2022-18-52-29.812,7.08897973974021e+07, 
11-16-2022-18-52-30.816,6.178872203549296e+07, 
11-16-2022-18-52-31.816,7.068722807491526e+07, 
11-16-2022-18-52-32.817,6.537246544197927e+07, 
11-16-2022-18-52-33.818,6.505263882892842e+07, 
11-16-2022-18-52-34.828,7.001997356794867e+07, 
11-16-2022-18-52-35.839,6.70388807261263e+07, 
11-16-2022-18-52-36.841,7.022577656332172e+07, 
11-16-2022-18-52-37.842,5.8871289589053616e+07, 
11-16-2022-18-52-38.843,6.572508261132461e+07, 
11-16-2022-18-52-39.845,7.214485117022082e+07, 
11-16-2022-18-52-40.847,6.1391340248441316e+07, 
11-16-2022-18-52-41.847,7.417808564211597e+07, 
11-16-2022-18-52-42.850,6.423061805455154e+07, 
11-16-2022-18-52-43.851,6.644835344042031e+07, 
11-16-2022-18-52-44.852,6.185544732507416e+07, 
11-16-2022-18-52-45.853,7.027963118792586e+07, 
11-16-2022-18-52-46.854,7.182429730116488e+07, 
11-16-2022-18-52-47.854,6.085942660367019e+07, 
11-16-2022-18-52-48.855,7.039889040566944e+07, 
11-16-2022-18-52-49.857,6.3610500846383505e+07, 
11-16-2022-18-52-50.857,6.672269663442405e+07, 
11-16-2022-18-52-51.858,7.013637123746656e+07, 
11-16-2022-18-52-52.860,6.347190244402643e+07, 
11-16-2022-18-52-53.860,7.681020673697269e+07, 
11-16-2022-18-52-54.861,6.324706627396728e+07, 
11-16-2022-18-52-55.861,6.865777503723674e+07, 
11-16-2022-18-52-56.861,6.894066796825323e+07, 
11-16-2022-18-52-57.862,6.668020107818673e+07, 
11-16-2022-18-52-58.862,7.266700513805011e+07, 
11-16-2022-18-52-59.862,6.1529953224112935e+07, 
11-16-2022-18-53-00.864,6.767775855578952e+07, 
11-16-2022-18-53-01.866,6.855362401792856e+07, 
11-16-2022-18-53-02.866,5.955319666181023e+07, 
11-16-2022-18-53-03.866,6.158103841841761e+07, 
11-16-2022-18-53-04.867,6.3313478160825595e+07, 
11-16-2022-18-53-05.867,6.816441338971075e+07, 
11-16-2022-18-53-06.867,6.480045552688793e+07, 
11-16-2022-18-53-07.868,6.75810501463306e+07, 
11-16-2022-18-53-08.868,7.036841568578838e+07, 
