Time of the generation of the data point., Instantaneous throughput (b/s)., ID of connection (position relative to creation)., Direction of throughput., 
11-16-2022-18-52-26.810,4.3210875347261555e+07, 0, Download, 
11-16-2022-18-52-26.811,1.937804854292122e+06, 0, Upload, 
11-16-2022-18-52-27.812,3.9855821781320654e+07, 0, Download, 
11-16-2022-18-52-27.812,2.3000566258370183e+07, 1, Download, 
11-16-2022-18-52-27.812,1.7501519450969053e+06, 0, Upload, 
11-16-2022-18-52-27.812,637905.8491474702, 1, Upload, 
11-16-2022-18-52-28.812,2.7498412781585645e+07, 0, Download, 
11-16-2022-18-52-28.812,3.3403647267419375e+07, 1, Download, 
11-16-2022-18-52-28.812,4.0146241065718667e+06, 2, Download, 
11-16-2022-18-52-28.813,1.0481659574774349e+06, 0, Upload, 
11-16-2022-18-52-28.813,851634.8404504159, 1, Upload, 
11-16-2022-18-52-28.813,917145.2127927556, 2, Upload, 
11-16-2022-18-52-29.812,3.049365728871103e+07, 0, Download, 
11-16-2022-18-52-29.812,3.1976187997868616e+07, 1, Download, 
11-16-2022-18-52-29.812,6.486906768488414e+06, 2, Download, 
11-16-2022-18-52-29.812,1.9330453423340272e+06, 3, Download, 
11-16-2022-18-52-29.813,999382.5256251865, 0, Upload, 
11-16-2022-18-52-29.813,1.1468324064551322e+06, 1, Upload, 
11-16-2022-18-52-29.813,1.2287490069162128e+06, 2, Upload, 
11-16-2022-18-52-29.813,606182.8434119984, 3, Upload, 
11-16-2022-18-52-30.816,784033.7192561673, 0, Upload, 
11-16-2022-18-52-30.816,816701.7908918408, 1, Upload, 
11-16-2022-18-52-30.816,1.159716543066414e+06, 2, Upload, 
11-16-2022-18-52-30.816,1.0290442565237195e+06, 3, Upload, 
11-16-2022-18-52-30.816,1.274077276187658e+06, 4, Upload, 
11-16-2022-18-52-30.816,2.3621556927756254e+07, 0, Download, 
11-16-2022-18-52-30.816,2.9482390878971837e+07, 1, Download, 
11-16-2022-18-52-30.816,5.501378439584668e+06, 2, Download, 
11-16-2022-18-52-30.816,1.730395811002466e+06, 3, Download, 
11-16-2022-18-52-30.816,1.4529999781777374e+06, 4, Download, 
11-16-2022-18-52-31.816,2.6387904913703796e+07, 0, Download, 
11-16-2022-18-52-31.816,2.8697239517189957e+07, 1, Download, 
11-16-2022-18-52-31.816,6.535656161311009e+06, 2, Download, 
11-16-2022-18-52-31.816,2.1295055982105886e+06, 3, Download, 
11-16-2022-18-52-31.816,6.011254209930748e+06, 4, Download, 
11-16-2022-18-52-31.816,925667.6745691581, 5, Download, 
11-16-2022-18-52-31.816,753517.3655206697, 0, Upload, 
11-16-2022-18-52-31.816,1.0811336113992217e+06, 1, Upload, 
11-16-2022-18-52-31.816,720755.7409328145, 2, Upload, 
11-16-2022-18-52-31.816,1.0156103622235113e+06, 3, Upload, 
11-16-2022-18-52-31.816,950087.113047801, 4, Upload, 
11-16-2022-18-52-31.816,966467.9253417286, 5, Upload, 
11-16-2022-18-52-32.817,933375.3902356825, 0, Upload, 
11-16-2022-18-52-32.817,1.113500465544323e+06, 1, Upload, 
11-16-2022-18-52-32.817,1.0480004381593629e+06, 2, Upload, 
11-16-2022-18-52-32.817,1.457375609315364e+06, 3, Upload, 
11-16-2022-18-52-32.817,1.064375445005603e+06, 4, Upload, 
11-16-2022-18-52-32.817,1.113500465544323e+06, 5, Upload, 
11-16-2022-18-52-32.817,671375.2806958419, 6, Upload, 
11-16-2022-18-52-32.817,3.1896066680179246e+07, 0, Download, 
11-16-2022-18-52-32.817,1.7290783901481304e+07, 1, Download, 
11-16-2022-18-52-32.817,7.220730374878117e+06, 2, Download, 
