Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-16-2022-16-56-31.032,2.402606210726433e+06, 
11-16-2022-16-56-32.036,4.017952097169414e+06, 
11-16-2022-16-56-33.036,3.275390497843151e+06, 
11-16-2022-16-56-34.040,3.623382763517125e+06, 
11-16-2022-16-56-35.041,3.1109823485210454e+06, 
11-16-2022-16-56-36.042,5.023568598431476e+06, 
11-16-2022-16-56-37.042,4.405250642126861e+06, 
11-16-2022-16-56-38.043,6.421262369187033e+06, 
11-16-2022-16-56-39.050,7.107882676591294e+06, 
11-16-2022-16-56-40.054,8.420198050469277e+06, 
11-16-2022-16-56-41.054,8.126147892846967e+06, 
11-16-2022-16-56-42.054,6.45210736853847e+06, 
11-16-2022-16-56-43.064,6.35943099752872e+06, 
11-16-2022-16-56-44.066,6.396223457417543e+06, 
11-16-2022-16-56-45.066,8.61621767537655e+06, 
11-16-2022-16-56-46.067,9.266577545076584e+06, 
11-16-2022-16-56-47.071,1.0520640113922628e+07, 
11-16-2022-16-56-48.071,1.1009056084046828e+07, 
11-16-2022-16-56-49.072,1.2378391732004905e+07, 
11-16-2022-16-56-50.073,8.643170211090833e+06, 
11-16-2022-16-56-51.074,1.1113072830064846e+07, 
11-16-2022-16-56-52.075,1.1967891991070136e+07, 
11-16-2022-16-56-53.075,1.4462463661865955e+07, 
11-16-2022-16-56-54.075,1.2483724152330011e+07, 
11-16-2022-16-56-55.077,1.2404369083439443e+07, 
11-16-2022-16-56-56.077,1.367722252742852e+07, 
11-16-2022-16-56-57.077,1.275949444028674e+07, 
11-16-2022-16-56-58.077,1.2301150027657729e+07, 
11-16-2022-16-56-59.077,1.3810669294468272e+07, 
11-16-2022-16-57-00.078,1.2751115409212885e+07, 
11-16-2022-16-57-01.079,1.33729776354638e+07, 
11-16-2022-16-57-02.079,1.0286796917981548e+07, 
11-16-2022-16-57-03.079,1.1075174977167746e+07, 
11-16-2022-16-57-04.079,1.0779668196716573e+07, 
11-16-2022-16-57-05.081,1.4435630491884919e+07, 
11-16-2022-16-57-06.083,1.043065611356733e+07, 
11-16-2022-16-57-07.083,1.0758867682461577e+07, 
11-16-2022-16-57-08.085,9.799377285117328e+06, 
11-16-2022-16-57-09.085,1.374857061167192e+07, 
11-16-2022-16-57-10.085,1.0724087135206588e+07, 
11-16-2022-16-57-11.086,1.254565892693362e+07, 
11-16-2022-16-57-12.086,1.3892092756122619e+07, 
11-16-2022-16-57-13.087,1.0460854587852737e+07, 
11-16-2022-16-57-14.087,1.3520686829163807e+07, 
11-16-2022-16-57-15.088,1.1463251786135511e+07, 
11-16-2022-16-57-16.088,1.2320201270741548e+07, 
11-16-2022-16-57-17.088,1.3526864249022858e+07, 
11-16-2022-16-57-18.088,7.831002263641095e+06, 
11-16-2022-16-57-19.089,1.1055326213694721e+07, 
11-16-2022-16-57-20.089,1.2255110674404323e+07, 
11-16-2022-16-57-21.103,1.2297575464311931e+07, 
11-16-2022-16-57-22.103,1.0729248618067559e+07, 
11-16-2022-16-57-23.103,1.235335687632529e+07, 
11-16-2022-16-57-24.103,9.533300107625298e+06, 
11-16-2022-16-57-25.105,1.433216697903702e+07, 
11-16-2022-16-57-26.104,1.1392083500963539e+07, 
11-16-2022-16-57-27.104,1.3123395023111662e+07, 
11-16-2022-16-57-28.105,8.5937839534943e+06, 
11-16-2022-16-57-29.106,1.1806627739228135e+07, 
11-16-2022-16-57-30.106,1.1695654416907717e+07, 
