Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-18-53-28.798,3, 0.056615,0.019443,15075, Foreign,
11-16-2022-18-53-28.898,3, 0.0562288,0.016939,15075, Foreign,
11-16-2022-18-53-29.000,3, 0.0646231,0.016949,15075, Foreign,
11-16-2022-18-53-29.109,3, 0.0521621,0.016054,15075, Foreign,
11-16-2022-18-53-29.212,3, 0.0752039,0.015704,15075, Foreign,
11-16-2022-18-53-29.312,3, 0.0532249,0.016325,15075, Foreign,
11-16-2022-18-53-29.415,3, 0.0693448,0.025058,15075, Foreign,
11-16-2022-18-53-29.516,3, 0.0944023,0.03269,15075, Foreign,
11-16-2022-18-53-29.616,3, 0.0534843,0.016708,15075, Foreign,
11-16-2022-18-53-29.716,3, 0.1110329,0.031868,15075, Foreign,
11-16-2022-18-53-29.817,3, 0.0952054,0.035282,15075, Foreign,
11-16-2022-18-53-29.918,3, 0.0887672,0.027889,15075, Foreign,
11-16-2022-18-53-30.018,3, 0.0749752,0.022023,15075, Foreign,
11-16-2022-18-53-30.131,3, 0.1368958,0.032271,15075, Foreign,
11-16-2022-18-53-30.237,3, 0.10679,0.035102,15075, Foreign,
11-16-2022-18-53-30.337,3, 0.1043257,0.033877,15075, Foreign,
11-16-2022-18-53-30.442,3, 0.1116555,0.034823,15075, Foreign,
11-16-2022-18-53-30.643,3, 0.2209645,0.039518,15075, Foreign,
11-16-2022-18-53-31.170,3, 0.1128112,0.03978,15075, Foreign,
11-16-2022-18-53-31.064,3, 0.2555422,0.043462,15075, Foreign,
11-16-2022-18-53-31.271,3, 0.0987531,0.033029,15075, Foreign,
11-16-2022-18-53-30.963,3, 0.4065206,0.036739,15075, Foreign,
11-16-2022-18-53-31.379,3, 0.1220587,0.031103,15075, Foreign,
11-16-2022-18-53-30.542,3, 0.9702149,0.036935,15075, Foreign,
11-16-2022-18-53-31.484,3, 0.1100453,0.032355,15075, Foreign,
11-16-2022-18-53-31.687,3, 0.1590668,0.03564,15075, Foreign,
11-16-2022-18-53-31.789,3, 0.098793,0.034165,15075, Foreign,
11-16-2022-18-53-32.200,3, 0.1610503,0.049263,15075, Foreign,
11-16-2022-18-53-31.990,3, 0.3926586,0.0367,15075, Foreign,
11-16-2022-18-53-30.861,3, 1.3208514,0.036761,6339, Foreign,
11-16-2022-18-53-31.585,3, 0.9237401,0.046183,15075, Foreign,
11-16-2022-18-53-32.308,3, 0.2484679,0.031398,15075, Foreign,
11-16-2022-18-53-32.734,3, 0.1113634,0.036116,15075, Foreign,
11-16-2022-18-53-32.521,3, 0.3788823,0.030457,15075, Foreign,
11-16-2022-18-53-30.754,3, 1.8745941,0.03008,6339, Foreign,
11-16-2022-18-53-31.889,3, 0.7864601,0.018056,6339, Foreign,
11-16-2022-18-53-32.624,3, 0.3766392,0.032233,15075, Foreign,
11-16-2022-18-53-32.939,3, 0.1835242,0.036586,15075, Foreign,
