Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-18-53-28.798,1, 0.0208764,0.018975,151026, SelfUp,
11-16-2022-18-53-28.798,1, 0.0382732,0.019867,16206, SelfDown,
11-16-2022-18-53-28.898,1, 0.0174165,0.018374,376813, SelfUp,
11-16-2022-18-53-28.898,1, 0.0179443,0.01587,21143, SelfDown,
11-16-2022-18-53-29.000,1, 0.0163727,0.01851,596620, SelfUp,
11-16-2022-18-53-29.000,1, 0.0177162,0.017317,25940, SelfDown,
11-16-2022-18-53-29.109,1, 0.0156181,0.023911,792668, SelfUp,
11-16-2022-18-53-29.109,1, 0.0199432,0.025138,43030, SelfDown,
11-16-2022-18-53-29.212,1, 0.0150131,0.018449,982246, SelfUp,
11-16-2022-18-53-29.212,1, 0.040949,0.021803,47276, SelfDown,
11-16-2022-18-53-29.312,1, 0.0152452,0.020834,1193211, SelfUp,
11-16-2022-18-53-29.312,1, 0.0434636,0.01696,52194, SelfDown,
11-16-2022-18-53-29.415,1, 0.0212996,0.024691,1297408, SelfUp,
11-16-2022-18-53-29.415,1, 0.0308271,0.022093,55136, SelfDown,
11-16-2022-18-53-29.516,1, 0.0363249,0.029646,1297408, SelfUp,
11-16-2022-18-53-29.516,1, 0.0650384,0.033748,60640, SelfDown,
11-16-2022-18-53-29.616,1, 0.0168357,0.021359,1297408, SelfUp,
11-16-2022-18-53-29.616,1, 0.0540009,0.018505,65504, SelfDown,
11-16-2022-18-53-29.716,1, 0.0289763,0.024563,1297408, SelfUp,
11-16-2022-18-53-29.716,1, 0.0660327,0.031234,69330, SelfDown,
11-16-2022-18-53-29.819,1, 0.0323118,0.036398,1297408, SelfUp,
11-16-2022-18-53-29.817,1, 0.0758392,0.030076,72426, SelfDown,
11-16-2022-18-53-29.918,1, 0.0294084,0.027966,1297408, SelfUp,
11-16-2022-18-53-29.918,1, 0.0652255,0.035986,76660, SelfDown,
11-16-2022-18-53-30.018,1, 0.0210223,0.023875,1297408, SelfUp,
11-16-2022-18-53-30.018,1, 0.0374772,0.017216,79162, SelfDown,
11-16-2022-18-53-30.131,1, 0.0261688,0.029984,1297408, SelfUp,
11-16-2022-18-53-30.131,1, 0.0387593,0.031166,80616, SelfDown,
11-16-2022-18-53-30.237,1, 0.0350853,0.034083,1297408, SelfUp,
11-16-2022-18-53-30.237,1, 0.0834943,0.035457,83872, SelfDown,
11-16-2022-18-53-30.337,1, 0.0316612,0.034142,1297408, SelfUp,
11-16-2022-18-53-30.442,1, 0.0674527,0.034515,1297408, SelfUp,
11-16-2022-18-53-30.337,1, 0.1765634,0.03477,86760, SelfDown,
11-16-2022-18-53-30.442,1, 0.1692015,0.034018,87905, SelfDown,
11-16-2022-18-53-30.542,1, 0.072585,0.035375,1297408, SelfUp,
11-16-2022-18-53-30.542,1, 0.0992106,0.024503,89196, SelfDown,
11-16-2022-18-53-30.643,1, 0.0408459,0.031959,1297408, SelfUp,
11-16-2022-18-53-30.754,1, 0.0947082,0.033372,1297408, SelfUp,
11-16-2022-18-53-30.643,1, 0.2285192,0.044447,91495, SelfDown,
11-16-2022-18-53-30.754,1, 0.1246209,0.044447,91495, SelfDown,
11-16-2022-18-53-30.861,1, 0.0866366,0.033863,1297408, SelfUp,
11-16-2022-18-53-30.861,1, 0.1132859,0.038995,93294, SelfDown,
11-16-2022-18-53-30.963,1, 0.0380637,0.035047,1297408, SelfUp,
11-16-2022-18-53-30.963,1, 0.1331389,0.034794,94318, SelfDown,
11-16-2022-18-53-31.064,1, 0.0713271,0.035568,1297408, SelfUp,
11-16-2022-18-53-31.064,1, 0.0735239,0.031693,109610, SelfDown,
11-16-2022-18-53-31.170,1, 0.0769361,0.03725,110708, SelfDown,
11-16-2022-18-53-31.170,1, 0.1112705,0.036864,1297408, SelfUp,
11-16-2022-18-53-31.271,1, 0.0440907,0.036279,1297408, SelfUp,
11-16-2022-18-53-31.271,1, 0.0457638,0.031205,111458, SelfDown,
11-16-2022-18-53-31.379,1, 0.0311054,0.036141,1297408, SelfUp,
11-16-2022-18-53-31.484,1, 0.0351739,0.035128,1297408, SelfUp,
11-16-2022-18-53-31.379,1, 0.1531917,0.029255,114693, SelfDown,
11-16-2022-18-53-31.484,1, 0.0492267,0.029255,114693, SelfDown,
11-16-2022-18-53-31.585,1, 0.2890569,0.035312,117542, SelfDown,
11-16-2022-18-53-31.687,1, 0.1882924,0.035312,117542, SelfDown,
11-16-2022-18-53-31.789,1, 0.1033162,0.035312,117542, SelfDown,
11-16-2022-18-53-31.585,1, 0.3312941,0.038878,1297408, SelfUp,
11-16-2022-18-53-31.687,1, 0.2704974,0.042555,1297408, SelfUp,
11-16-2022-18-53-31.889,1, 0.068028,0.042555,1297408, SelfUp,
11-16-2022-18-53-31.789,1, 0.1683298,0.042555,1297408, SelfUp,
11-16-2022-18-53-31.990,1, 0.0403482,0.040965,1297408, SelfUp,
11-16-2022-18-53-31.889,1, 0.1878838,0.042092,119383, SelfDown,
11-16-2022-18-53-31.990,1, 0.1593814,0.037118,119805, SelfDown,
11-16-2022-18-53-32.094,1, 0.0929092,0.034307,1297408, SelfUp,
11-16-2022-18-53-32.094,1, 0.1958924,0.03924,120516, SelfDown,
11-16-2022-18-53-32.200,1, 0.2273088,0.03786,121424, SelfDown,
11-16-2022-18-53-32.308,1, 0.1510259,0.034862,121748, SelfDown,
11-16-2022-18-53-32.411,1, 0.1979506,0.034466,122911, SelfDown,
11-16-2022-18-53-32.521,1, 0.1046343,0.034466,122911, SelfDown,
11-16-2022-18-53-32.624,1, 0.1692535,0.036228,124780, SelfDown,
11-16-2022-18-53-32.734,1, 0.1966869,0.036494,125153, SelfDown,
11-16-2022-18-53-32.839,1, 0.1293415,0.032364,126207, SelfDown,
11-16-2022-18-53-32.939,1, 0.0515418,0.030925,126475, SelfDown,
11-16-2022-18-53-32.200,1, 0.7987665,0.039131,1297408, SelfUp,
11-16-2022-18-53-33.054,1, 0.0855175,0.029953,132998, SelfDown,
11-16-2022-18-53-33.154,1, 0.1080275,0.033429,134720, SelfDown,
11-16-2022-18-53-33.259,1, 0.0185123,0.02571,148168, SelfDown,
11-16-2022-18-53-33.360,1, 0.0333247,0.026165,173447, SelfDown,
11-16-2022-18-53-33.460,1, 0.0334049,0.03359,174304, SelfDown,
11-16-2022-18-53-33.561,1, 0.0665369,0.0343,175648, SelfDown,
11-16-2022-18-53-33.661,1, 0.1474649,0.03195,177185, SelfDown,
11-16-2022-18-53-33.770,1, 0.1320284,0.037708,178026, SelfDown,
11-16-2022-18-53-33.871,1, 0.1070214,0.030851,179052, SelfDown,
11-16-2022-18-53-33.976,1, 0.1620837,0.037776,180002, SelfDown,
11-16-2022-18-53-34.076,1, 0.3833006,0.036402,180809, SelfDown,
11-16-2022-18-53-34.183,1, 0.276957,0.036402,180809, SelfDown,
11-16-2022-18-53-34.390,1, 0.0720557,0.036402,180809, SelfDown,
11-16-2022-18-53-34.286,1, 0.1754129,0.036402,180809, SelfDown,
11-16-2022-18-53-34.490,1, 0.213206,0.036334,182002, SelfDown,
11-16-2022-18-53-34.592,1, 0.1837144,0.036192,182556, SelfDown,
11-16-2022-18-53-34.699,1, 0.0991063,0.036192,182556, SelfDown,
11-16-2022-18-53-34.800,1, 0.1676299,0.034347,183673, SelfDown,
11-16-2022-18-53-34.904,1, 0.1481313,0.035062,184225, SelfDown,
11-16-2022-18-53-35.007,1, 0.2207665,0.030803,184992, SelfDown,
11-16-2022-18-53-35.110,1, 0.1228881,0.030803,184992, SelfDown,
11-16-2022-18-53-35.210,1, 0.0896003,0.038255,185986, SelfDown,
11-16-2022-18-53-35.310,1, 0.1586568,0.03479,186371, SelfDown,
11-16-2022-18-53-35.418,1, 0.0633838,0.03479,186371, SelfDown,
11-16-2022-18-53-35.518,1, 0.2405167,0.037308,188262, SelfDown,
11-16-2022-18-53-35.632,1, 0.3175207,0.033604,188448, SelfDown,
11-16-2022-18-53-35.732,1, 0.30815,0.026148,251445, SelfDown,
11-16-2022-18-53-32.308,1, 3.7867281999999998,0.038641,1297408, SelfUp,
11-16-2022-18-53-32.521,1, 3.5739682,0.038641,1297408, SelfUp,
11-16-2022-18-53-32.625,1, 3.4704324,0.038641,1297408, SelfUp,
11-16-2022-18-53-32.734,1, 3.3606103,0.038641,1297408, SelfUp,
11-16-2022-18-53-32.839,1, 3.2562018999999998,0.038641,1297408, SelfUp,
11-16-2022-18-53-32.939,1, 3.1560267,0.038641,1297408, SelfUp,
11-16-2022-18-53-32.411,1, 3.6836267,0.038641,1297408, SelfUp,
11-16-2022-18-53-33.054,1, 3.0412394,0.038641,1297408, SelfUp,
11-16-2022-18-53-35.832,1, 0.2841191,0.034832,251766, SelfDown,
11-16-2022-18-53-33.154,1, 2.9780672,0.038415,1297408, SelfUp,
11-16-2022-18-53-33.259,1, 2.8728025,0.038415,1297408, SelfUp,
11-16-2022-18-53-33.360,1, 2.7723449000000002,0.038415,1297408, SelfUp,
11-16-2022-18-53-33.460,1, 2.6724449,0.038415,1297408, SelfUp,
11-16-2022-18-53-33.561,1, 2.5717385,0.038415,1297408, SelfUp,
11-16-2022-18-53-33.661,1, 2.4712897,0.038415,1297408, SelfUp,
11-16-2022-18-53-33.770,1, 2.3618164,0.038415,1297408, SelfUp,
11-16-2022-18-53-33.976,1, 2.1566587999999998,0.038415,1297408, SelfUp,
11-16-2022-18-53-33.871,1, 2.2617459,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.076,1, 2.0563321,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.183,1, 1.9490764999999999,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.286,1, 1.8459172000000001,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.390,1, 1.74256,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.490,1, 1.6419633999999999,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.592,1, 1.5406621,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.699,1, 1.4332635,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.800,1, 1.3318506,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.904,1, 1.2277661,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.007,1, 1.1248556,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.110,1, 1.0223548,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.210,1, 0.9223641,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.310,1, 0.8219889,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.418,1, 0.7146694,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.518,1, 0.6145971,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.632,1, 0.5005273,0.038415,1297408, SelfUp,
