Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-16-2022-18-53-29.696,3.7156113329150036e+07, 
11-16-2022-18-53-30.708,6.211747584286131e+07, 
11-16-2022-18-53-31.708,6.057637083495602e+07, 
11-16-2022-18-53-32.712,6.48319377101849e+07, 
11-16-2022-18-53-33.721,6.335805549037202e+07, 
11-16-2022-18-53-34.723,6.808554850794293e+07, 
11-16-2022-18-53-35.724,6.626968296835595e+07, 
11-16-2022-18-53-36.729,6.92503270649777e+07, 
11-16-2022-18-53-37.732,5.767413738042249e+07, 
11-16-2022-18-53-38.740,6.601279637733788e+07, 
11-16-2022-18-53-39.744,6.821898475975372e+07, 
11-16-2022-18-53-40.746,6.695375250659663e+07, 
11-16-2022-18-53-41.747,7.217924518778454e+07, 
11-16-2022-18-53-42.747,6.612402676367427e+07, 
11-16-2022-18-53-43.754,6.013025361252038e+07, 
11-16-2022-18-53-44.757,6.630908894099948e+07, 
11-16-2022-18-53-45.757,7.284632371001069e+07, 
11-16-2022-18-53-46.757,6.449991545179599e+07, 
11-16-2022-18-53-47.758,7.061651207809614e+07, 
