Time of the generation of the data point., Instantaneous throughput (b/s)., ID of connection (position relative to creation)., Direction of throughput., 
11-16-2022-18-53-29.696,3.7156113329150036e+07, 0, Download, 
11-16-2022-18-53-29.696,2.1626717799616503e+06, 0, Upload, 
11-16-2022-18-53-30.708,1.3444770653630602e+06, 0, Upload, 
11-16-2022-18-53-30.708,874720.018428979, 1, Upload, 
11-16-2022-18-53-30.708,4.161114755492236e+07, 0, Download, 
11-16-2022-18-53-30.708,2.0506328287938956e+07, 1, Download, 
11-16-2022-18-53-31.708,2.892062915784684e+07, 0, Download, 
11-16-2022-18-53-31.708,2.7839786900728267e+07, 1, Download, 
11-16-2022-18-53-31.708,3.8159547763809105e+06, 2, Download, 
11-16-2022-18-53-31.708,982649.298638861, 0, Upload, 
11-16-2022-18-53-31.708,884384.368774975, 1, Upload, 
11-16-2022-18-53-31.708,376682.23114489677, 2, Upload, 
11-16-2022-18-53-32.711,424519.91571468324, 0, Upload, 
11-16-2022-18-53-32.712,522077.1078636191, 1, Upload, 
11-16-2022-18-53-32.712,799430.5714161667, 2, Upload, 
11-16-2022-18-53-32.712,277353.4635525476, 3, Upload, 
11-16-2022-18-53-32.712,1.9968087144560214e+07, 0, Download, 
11-16-2022-18-53-32.712,2.708174622110287e+07, 1, Download, 
11-16-2022-18-53-32.712,1.7782104344521817e+07, 2, Download, 
11-16-2022-18-53-32.712,0, 3, Download, 
11-16-2022-18-53-33.721,3.922375777778372e+07, 0, Download, 
11-16-2022-18-53-33.721,1.9748729615026534e+07, 1, Download, 
11-16-2022-18-53-33.721,4.385568097561759e+06, 2, Download, 
11-16-2022-18-53-33.721,0, 3, Download, 
11-16-2022-18-53-33.721,0, 4, Download, 
11-16-2022-18-53-33.721,48690.59333042291, 0, Upload, 
11-16-2022-18-53-33.721,893356.4643181361, 1, Upload, 
11-16-2022-18-53-33.721,1.2506990500453904e+06, 2, Upload, 
11-16-2022-18-53-33.722,941270.4425042433, 3, Upload, 
11-16-2022-18-53-33.722,795211.2359087573, 4, Upload, 
11-16-2022-18-53-34.722,0, 0, Upload, 
11-16-2022-18-53-34.722,736259.8383679573, 1, Upload, 
11-16-2022-18-53-34.722,736259.8383679573, 2, Upload, 
11-16-2022-18-53-34.722,786029.0029301976, 3, Upload, 
11-16-2022-18-53-34.722,507643.731059086, 4, Upload, 
11-16-2022-18-53-34.722,393014.5014650988, 5, Upload, 
11-16-2022-18-53-34.723,2.186633603568259e+07, 0, Download, 
11-16-2022-18-53-34.723,1.9740147206657343e+07, 1, Download, 
11-16-2022-18-53-34.723,2.2945103476916224e+07, 2, Download, 
11-16-2022-18-53-34.723,1.177549437418203e+06, 3, Download, 
11-16-2022-18-53-34.723,1.0140627979247714e+06, 4, Download, 
11-16-2022-18-53-34.723,1.342349553343809e+06, 5, Download, 
11-16-2022-18-53-35.724,0, 0, Upload, 
11-16-2022-18-53-35.724,915956.3086253158, 1, Upload, 
11-16-2022-18-53-35.724,866887.2206632453, 2, Upload, 
11-16-2022-18-53-35.724,670610.8688149634, 3, Upload, 
11-16-2022-18-53-35.724,637898.1435069164, 4, Upload, 
11-16-2022-18-53-35.724,883243.5833172688, 5, Upload, 
11-16-2022-18-53-35.724,523578.91707260854, 6, Upload, 
11-16-2022-18-53-35.724,2.4459226869051244e+07, 0, Download, 
11-16-2022-18-53-35.724,1.0470859315229384e+07, 1, Download, 
11-16-2022-18-53-35.724,2.111387747573461e+07, 2, Download, 
11-16-2022-18-53-35.724,2.175981068838472e+06, 3, Download, 
11-16-2022-18-53-35.724,2.110533704204396e+06, 4, Download, 
11-16-2022-18-53-35.724,2.15976303292451e+06, 5, Download, 
11-16-2022-18-53-35.724,3.779441502373336e+06, 6, Download, 
11-16-2022-18-53-36.729,815308.2078008833, 0, Upload, 
11-16-2022-18-53-36.729,1.418636281573537e+06, 1, Upload, 
11-16-2022-18-53-36.729,1.125125326765219e+06, 2, Upload, 
11-16-2022-18-53-36.729,1.1088191626092014e+06, 3, Upload, 
11-16-2022-18-53-36.729,701165.0587087596, 4, Upload, 
11-16-2022-18-53-36.729,913145.1927369894, 5, Upload, 
11-16-2022-18-53-36.729,1.174043819233272e+06, 6, Upload, 
11-16-2022-18-53-36.729,342429.447276371, 7, Upload, 
11-16-2022-18-53-36.729,1.219533894838832e+07, 0, Download, 
11-16-2022-18-53-36.729,7.141224199285422e+06, 1, Download, 
11-16-2022-18-53-36.729,2.5034223147781223e+07, 2, Download, 
11-16-2022-18-53-36.729,2.641263906854601e+06, 3, Download, 
11-16-2022-18-53-36.729,2.2011010242164424e+06, 4, Download, 
11-16-2022-18-53-36.729,2.217119395983186e+06, 5, Download, 
11-16-2022-18-53-36.729,1.521140250119869e+07, 6, Download, 
11-16-2022-18-53-36.729,2.608653941269818e+06, 7, Download, 
11-16-2022-18-53-37.732,1.2079967853601172e+06, 0, Upload, 
11-16-2022-18-53-37.732,652971.2353297931, 1, Upload, 
11-16-2022-18-53-37.732,1.142699661827138e+06, 2, Upload, 
11-16-2022-18-53-37.732,1.142699661827138e+06, 3, Upload, 
11-16-2022-18-53-37.732,995781.1338779344, 4, Upload, 
11-16-2022-18-53-37.732,930484.0103449551, 5, Upload, 
11-16-2022-18-53-37.732,1.4691852794920343e+06, 6, Upload, 
