Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-16-2022-18-53-29.696,2.1626717799616503e+06, 
11-16-2022-18-53-30.708,2.219197083792039e+06, 
11-16-2022-18-53-31.708,2.2437158985587326e+06, 
11-16-2022-18-53-32.712,2.0233810585470167e+06, 
11-16-2022-18-53-33.722,3.92922778610695e+06, 
11-16-2022-18-53-34.722,3.159206912190297e+06, 
11-16-2022-18-53-35.724,4.498175042000318e+06, 
11-16-2022-18-53-36.729,7.598672496704234e+06, 
11-16-2022-18-53-37.732,9.76198746540506e+06, 
11-16-2022-18-53-38.740,6.245566078680288e+06, 
11-16-2022-18-53-39.744,7.244996547557311e+06, 
11-16-2022-18-53-40.746,9.923787582333282e+06, 
11-16-2022-18-53-41.747,9.938924872686448e+06, 
11-16-2022-18-53-42.747,9.935760308222642e+06, 
11-16-2022-18-53-43.754,7.484215316969225e+06, 
11-16-2022-18-53-44.757,1.0572972017617816e+07, 
11-16-2022-18-53-45.757,1.0219701854189847e+07, 
11-16-2022-18-53-46.758,1.2631556409299953e+07, 
11-16-2022-18-53-47.758,1.1942810987205006e+07, 
