Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-19-2022-23-24-21.044,3, 0.0407067,0.01974,15075, Foreign,
11-19-2022-23-24-21.145,3, 0.070692,0.024338,15075, Foreign,
11-19-2022-23-24-21.247,3, 0.0541739,0.025689,15075, Foreign,
11-19-2022-23-24-21.347,3, 0.0488072,0.025654,15075, Foreign,
11-19-2022-23-24-21.448,3, 0.0591064,0.023942,15075, Foreign,
11-19-2022-23-24-21.548,3, 0.0468807,0.022719,15075, Foreign,
11-19-2022-23-24-21.648,3, 0.066776,0.030444,15075, Foreign,
11-19-2022-23-24-21.748,3, 0.0469907,0.017685,15075, Foreign,
11-19-2022-23-24-21.860,3, 0.0410905,0.018547,15075, Foreign,
11-19-2022-23-24-21.965,3, 0.0708371,0.028909,15075, Foreign,
11-19-2022-23-24-22.166,3, 0.0655172,0.021688,15075, Foreign,
11-19-2022-23-24-22.268,3, 0.0515791,0.0319,15075, Foreign,
11-19-2022-23-24-22.369,3, 0.0529277,0.022207,15075, Foreign,
11-19-2022-23-24-22.570,3, 0.055429,0.029984,15075, Foreign,
11-19-2022-23-24-22.674,3, 0.0635964,0.032152,15075, Foreign,
11-19-2022-23-24-22.980,3, 0.0449104,0.025763,15075, Foreign,
11-19-2022-23-24-23.099,3, 0.0751718,0.026999,15075, Foreign,
11-19-2022-23-24-22.877,3, 0.4019632,0.035684,15075, Foreign,
11-19-2022-23-24-23.199,3, 0.0687522,0.036496,15075, Foreign,
11-19-2022-23-24-23.302,3, 0.0723558,0.038472,15075, Foreign,
11-19-2022-23-24-23.403,3, 0.0743409,0.034008,15075, Foreign,
11-19-2022-23-24-23.604,3, 0.075526,0.040047,15075, Foreign,
11-19-2022-23-24-23.710,3, 0.0645548,0.034384,15075, Foreign,
11-19-2022-23-24-23.810,3, 0.074716,0.035731,15075, Foreign,
11-19-2022-23-24-22.775,3, 0.8254418,0.031496,6339, Foreign,
11-19-2022-23-24-22.469,3, 0.7681584,0.036188,6339, Foreign,
11-19-2022-23-24-23.911,3, 0.1711274,0.038025,15075, Foreign,
