Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-19-2022-23-23-56.190,1, 0,0.019681,149148, SelfUp,
11-19-2022-23-23-56.190,1, 0,0.01517,16276, SelfDown,
11-19-2022-23-23-56.294,1, 0,0.016845,23173, SelfDown,
11-19-2022-23-23-56.294,1, 0,0.019393,369756, SelfUp,
11-19-2022-23-23-56.395,1, 0,0.032423,496754, SelfUp,
11-19-2022-23-23-56.395,1, 0,0.028929,35723, SelfDown,
11-19-2022-23-23-56.498,1, 0,0.029689,622656, SelfUp,
11-19-2022-23-23-56.498,1, 0,0.033278,41280, SelfDown,
11-19-2022-23-23-56.600,1, 0,0.028878,47187, SelfDown,
11-19-2022-23-23-56.600,1, 0,0.030309,714127, SelfUp,
11-19-2022-23-23-56.700,1, 0,0.033374,814433, SelfUp,
11-19-2022-23-23-56.700,1, 0,0.043468,51980, SelfDown,
11-19-2022-23-23-56.801,1, 0,0.027569,941759, SelfUp,
11-19-2022-23-23-56.801,1, 0,0.021281,55170, SelfDown,
11-19-2022-23-23-56.901,1, 0,0.024449,1129758, SelfUp,
11-19-2022-23-23-56.901,1, 0,0.026812,59091, SelfDown,
11-19-2022-23-23-57.003,1, 0.0005051,0.026168,61352, SelfDown,
11-19-2022-23-23-57.003,1, 0,0.025958,1141443, SelfUp,
11-19-2022-23-23-57.103,1, 0,0.030468,1170432, SelfUp,
11-19-2022-23-23-57.103,1, 0,0.026184,65947, SelfDown,
11-19-2022-23-23-57.205,1, 0,0.034529,1170432, SelfUp,
11-19-2022-23-23-57.305,1, 0,0.030703,1170432, SelfUp,
11-19-2022-23-23-57.405,1, 0,0.024906,1170432, SelfUp,
11-19-2022-23-23-57.204,1, 0,0.030095,70751, SelfDown,
11-19-2022-23-23-57.509,1, 0,0.033935,1170432, SelfUp,
11-19-2022-23-23-57.405,1, 0,0.033685,71438, SelfDown,
11-19-2022-23-23-57.305,1, 0,0.033685,71438, SelfDown,
11-19-2022-23-23-57.612,1, 0,0.032648,1170432, SelfUp,
11-19-2022-23-23-57.509,1, 0,0.021506,71906, SelfDown,
11-19-2022-23-23-57.612,1, 0,0.024085,72044, SelfDown,
11-19-2022-23-23-57.715,1, 0,0.033931,1170432, SelfUp,
11-19-2022-23-23-57.715,1, 0,0.028531,72322, SelfDown,
11-19-2022-23-23-57.815,1, 0,0.031231,1170432, SelfUp,
11-19-2022-23-23-57.815,1, 0,0.032629,73425, SelfDown,
11-19-2022-23-23-57.918,1, 0,0.030465,1170432, SelfUp,
11-19-2022-23-23-57.918,1, 0,0.035532,74290, SelfDown,
11-19-2022-23-23-58.018,1, 0,0.032121,1170432, SelfUp,
11-19-2022-23-23-58.119,1, 0,0.023978,1170432, SelfUp,
11-19-2022-23-23-58.018,1, 0,0.03075,74744, SelfDown,
11-19-2022-23-23-58.118,1, 0,0.03075,74744, SelfDown,
11-19-2022-23-23-58.224,1, 0,0.026087,1170432, SelfUp,
11-19-2022-23-23-58.224,1, 0,0.031054,82908, SelfDown,
11-19-2022-23-23-58.330,1, 0,0.029555,1170432, SelfUp,
11-19-2022-23-23-58.330,1, 0,0.031734,83384, SelfDown,
11-19-2022-23-23-58.432,1, 0,0.033715,1170432, SelfUp,
11-19-2022-23-23-58.533,1, 0.0005041,0.025602,1170432, SelfUp,
11-19-2022-23-23-58.432,1, 0,0.027359,85366, SelfDown,
11-19-2022-23-23-58.533,1, 0.0005041,0.027256,86995, SelfDown,
11-19-2022-23-23-58.636,1, 0,0.0302,1170432, SelfUp,
11-19-2022-23-23-58.636,1, 0,0.034875,87375, SelfDown,
11-19-2022-23-23-58.736,1, 0,0.025356,1170432, SelfUp,
11-19-2022-23-23-58.736,1, 0,0.031918,88079, SelfDown,
11-19-2022-23-23-58.837,1, 0,0.032836,1170432, SelfUp,
11-19-2022-23-23-58.837,1, 0,0.030727,88426, SelfDown,
11-19-2022-23-23-58.941,1, 0,0.030489,1170432, SelfUp,
11-19-2022-23-23-58.941,1, 0,0.032834,89491, SelfDown,
11-19-2022-23-23-59.041,1, 0,0.032708,1170432, SelfUp,
11-19-2022-23-23-59.143,1, 0,0.035176,1170432, SelfUp,
11-19-2022-23-23-59.041,1, 0,0.034666,90670, SelfDown,
11-19-2022-23-23-59.143,1, 0,0.034666,90670, SelfDown,
11-19-2022-23-23-59.243,1, 0,0.035024,1170432, SelfUp,
11-19-2022-23-23-59.243,1, 0,0.028391,101706, SelfDown,
11-19-2022-23-23-59.344,1, 0,0.028331,1170432, SelfUp,
11-19-2022-23-23-59.444,1, 0,0.030057,1170432, SelfUp,
11-19-2022-23-23-59.344,1, 0,0.03354,102500, SelfDown,
11-19-2022-23-23-59.444,1, 0,0.033488,106644, SelfDown,
11-19-2022-23-23-59.550,1, 0,0.032485,1170432, SelfUp,
11-19-2022-23-23-59.550,1, 0,0.026498,116779, SelfDown,
11-19-2022-23-23-59.650,1, 0,0.030353,1170432, SelfUp,
11-19-2022-23-23-59.650,1, 0,0.032674,117199, SelfDown,
11-19-2022-23-23-59.763,1, 0.0001573,0.032148,1170432, SelfUp,
11-19-2022-23-23-59.763,1, 0.0001573,0.027342,130208, SelfDown,
11-19-2022-23-23-59.871,1, 0,0.038337,1170432, SelfUp,
11-19-2022-23-23-59.971,1, 0,0.041747,1170432, SelfUp,
11-19-2022-23-24-00.072,1, 0.0005831,0.037288,1170432, SelfUp,
11-19-2022-23-24-00.173,1, 0,0.036148,1170432, SelfUp,
11-19-2022-23-23-59.871,1, 0,0.036832,130458, SelfDown,
11-19-2022-23-23-59.971,1, 0,0.036832,130458, SelfDown,
11-19-2022-23-24-00.279,1, 0,0.038942,1170432, SelfUp,
11-19-2022-23-24-00.072,1, 0,0.037638,130794, SelfDown,
11-19-2022-23-24-00.173,1, 0,0.037638,130794, SelfDown,
11-19-2022-23-24-00.389,1, 0,0.027738,1170432, SelfUp,
11-19-2022-23-24-00.498,1, 0,0.033543,1170432, SelfUp,
11-19-2022-23-24-00.604,1, 0,0.035078,1170432, SelfUp,
11-19-2022-23-24-00.804,1, 0,0.034668,1170432, SelfUp,
11-19-2022-23-24-00.704,1, 0,0.034668,1170432, SelfUp,
11-19-2022-23-24-00.905,1, 0,0.038614,1170432, SelfUp,
11-19-2022-23-24-01.012,1, 0,0.038444,1170432, SelfUp,
11-19-2022-23-24-00.279,1, 0,0.042197,131360, SelfDown,
11-19-2022-23-24-00.498,1, 0,0.038986,131393, SelfDown,
11-19-2022-23-24-00.604,1, 0,0.038986,131393, SelfDown,
11-19-2022-23-24-00.704,1, 0,0.038986,131393, SelfDown,
11-19-2022-23-24-01.113,1, 0,0.036185,1170432, SelfUp,
11-19-2022-23-24-00.389,1, 0,0.042371,131435, SelfDown,
11-19-2022-23-24-00.804,1, 0,0.042371,131435, SelfDown,
11-19-2022-23-24-01.012,1, 0,0.042371,131435, SelfDown,
11-19-2022-23-24-00.905,1, 0,0.042371,131435, SelfDown,
11-19-2022-23-24-01.113,1, 0,0.042371,131435, SelfDown,
11-19-2022-23-24-01.213,1, 0,0.037466,1170432, SelfUp,
11-19-2022-23-24-01.320,1, 0.0007037,0.034048,1170432, SelfUp,
11-19-2022-23-24-01.213,1, 0,0.036986,131578, SelfDown,
11-19-2022-23-24-01.320,1, 0.0007037,0.036212,131652, SelfDown,
11-19-2022-23-24-01.420,1, 0,0.035277,1170432, SelfUp,
11-19-2022-23-24-01.420,1, 0,0.034757,133765, SelfDown,
11-19-2022-23-24-01.521,1, 0,0.038211,134065, SelfDown,
11-19-2022-23-24-01.521,1, 0,0.035258,1170432, SelfUp,
11-19-2022-23-24-01.626,1, 0,0.035258,1170432, SelfUp,
11-19-2022-23-24-01.626,1, 0,0.037656,134710, SelfDown,
11-19-2022-23-24-01.726,1, 0,0.037656,134710, SelfDown,
11-19-2022-23-24-01.830,1, 0,0.035809,143193, SelfDown,
11-19-2022-23-24-01.726,1, 0,0.051178,1170432, SelfUp,
11-19-2022-23-24-01.830,1, 0,0.046079,1170432, SelfUp,
11-19-2022-23-24-02.035,1, 0,0.046079,1170432, SelfUp,
11-19-2022-23-24-01.932,1, 0,0.046079,1170432, SelfUp,
11-19-2022-23-24-02.137,1, 0,0.036524,1170432, SelfUp,
11-19-2022-23-24-01.932,1, 0,0.035753,144871, SelfDown,
11-19-2022-23-24-02.035,1, 0,0.035753,144871, SelfDown,
11-19-2022-23-24-02.137,1, 0,0.035753,144871, SelfDown,
11-19-2022-23-24-02.238,1, 0,0.036013,147307, SelfDown,
11-19-2022-23-24-02.342,1, 0,0.036013,147307, SelfDown,
11-19-2022-23-24-02.238,1, 0,0.040497,1170432, SelfUp,
11-19-2022-23-24-02.342,1, 0,0.039286,1170432, SelfUp,
11-19-2022-23-24-02.442,1, 0,0.039286,1170432, SelfUp,
11-19-2022-23-24-02.543,1, 0,0.039286,1170432, SelfUp,
11-19-2022-23-24-02.442,1, 0,0.035837,153607, SelfDown,
