Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-19-2022-23-24-21.952,4.97150262665334e+07, 
11-19-2022-23-24-22.955,5.587934767358808e+07, 
11-19-2022-23-24-23.955,7.109145391125502e+07, 
11-19-2022-23-24-24.956,6.030709445580292e+07, 
11-19-2022-23-24-25.958,6.297960015676369e+07, 
11-19-2022-23-24-26.961,6.662846808306239e+07, 
11-19-2022-23-24-27.965,6.537234592381579e+07, 
11-19-2022-23-24-28.966,6.1531718896611184e+07, 
11-19-2022-23-24-29.967,6.640716800746262e+07, 
11-19-2022-23-24-30.969,6.1582044061805196e+07, 
11-19-2022-23-24-31.974,7.054332279323411e+07, 
11-19-2022-23-24-32.974,6.799382105659933e+07, 
11-19-2022-23-24-33.982,6.766803394740252e+07, 
11-19-2022-23-24-34.982,6.120126640235122e+07, 
11-19-2022-23-24-35.985,6.722495344146095e+07, 
