Time of the generation of the data point., Instantaneous throughput (b/s)., ID of connection (position relative to creation)., Direction of throughput., 
11-19-2022-23-24-21.952,1.5928086163911582e+06, 0, Upload, 
11-19-2022-23-24-21.952,4.97150262665334e+07, 0, Download, 
11-19-2022-23-24-22.955,4.0272698140401e+07, 0, Download, 
11-19-2022-23-24-22.955,1.560664953318708e+07, 1, Download, 
11-19-2022-23-24-22.955,1.3713586041528492e+06, 0, Upload, 
11-19-2022-23-24-22.955,881587.6740982602, 1, Upload, 
11-19-2022-23-24-23.955,3.819586904145018e+07, 0, Download, 
11-19-2022-23-24-23.955,3.253514746666448e+07, 1, Download, 
11-19-2022-23-24-23.955,360437.4031403476, 2, Download, 
11-19-2022-23-24-23.955,1.212380356017533e+06, 0, Upload, 
11-19-2022-23-24-23.955,589806.6596842052, 1, Upload, 
11-19-2022-23-24-23.955,311286.8481666639, 2, Upload, 
11-19-2022-23-24-24.956,1.4895783545645354e+06, 0, Upload, 
11-19-2022-23-24-24.956,998508.5673454577, 1, Upload, 
11-19-2022-23-24-24.956,1.0967225247892733e+06, 2, Upload, 
11-19-2022-23-24-24.956,0, 3, Upload, 
11-19-2022-23-24-24.956,3.706470707655222e+07, 0, Download, 
11-19-2022-23-24-24.956,2.2865900542382743e+07, 1, Download, 
11-19-2022-23-24-24.956,376486.8368679595, 2, Download, 
11-19-2022-23-24-24.956,0, 3, Download, 
11-19-2022-23-24-25.958,1.0467403314806822e+06, 0, Upload, 
11-19-2022-23-24-25.958,376172.3066258702, 1, Upload, 
11-19-2022-23-24-25.958,572431.0330611265, 2, Upload, 
11-19-2022-23-24-25.958,932244.8252709775, 3, Upload, 
11-19-2022-23-24-25.958,588786.2054343015, 4, Upload, 
11-19-2022-23-24-25.958,4.149026925141745e+07, 0, Download, 
11-19-2022-23-24-25.958,1.9085120566489507e+07, 1, Download, 
11-19-2022-23-24-25.958,457944.8264489012, 2, Download, 
11-19-2022-23-24-25.958,997665.5147636776, 3, Download, 
11-19-2022-23-24-25.958,948599.9976441525, 4, Download, 
11-19-2022-23-24-26.961,1.3715014160410108e+06, 0, Upload, 
11-19-2022-23-24-26.961,1.534775394141131e+06, 1, Upload, 
11-19-2022-23-24-26.961,489826.27869353344, 2, Upload, 
11-19-2022-23-24-26.961,979652.5573870669, 3, Upload, 
11-19-2022-23-24-26.961,440843.6508241801, 4, Upload, 
11-19-2022-23-24-26.961,930669.9295177136, 5, Upload, 
11-19-2022-23-24-26.961,4.128948521801315e+07, 0, Download, 
11-19-2022-23-24-26.961,1.818766269991623e+07, 1, Download, 
11-19-2022-23-24-26.961,538808.9065628868, 2, Download, 
11-19-2022-23-24-26.961,1.6164267196886605e+06, 3, Download, 
11-19-2022-23-24-26.961,1.5837716344424249e+06, 4, Download, 
11-19-2022-23-24-26.961,3.4123129044390307e+06, 5, Download, 
11-19-2022-23-24-27.965,1.1910512618332657e+06, 0, Upload, 
11-19-2022-23-24-27.965,897367.3890524604, 1, Upload, 
11-19-2022-23-24-27.965,1.109472408283042e+06, 2, Upload, 
11-19-2022-23-24-27.965,522104.6627214315, 3, Upload, 
11-19-2022-23-24-27.965,1.419472051773892e+06, 4, Upload, 
11-19-2022-23-24-27.965,929998.9304725499, 5, Upload, 
11-19-2022-23-24-27.965,978946.2426026841, 6, Upload, 
11-19-2022-23-24-27.965,3.1356760299778387e+07, 0, Download, 
11-19-2022-23-24-27.965,1.2350178025532827e+07, 1, Download, 
11-19-2022-23-24-27.965,652487.4280732832, 2, Download, 
11-19-2022-23-24-27.965,1.7291848946077293e+06, 3, Download, 
11-19-2022-23-24-27.965,1.924974143128266e+06, 4, Download, 
11-19-2022-23-24-27.965,5.253247967648886e+06, 5, Download, 
11-19-2022-23-24-27.965,1.2105513165046409e+07, 6, Download, 
11-19-2022-23-24-28.966,2.091973314823554e+07, 0, Download, 
11-19-2022-23-24-28.966,1.4912285206740778e+07, 1, Download, 
11-19-2022-23-24-28.966,474737.0784329928, 2, Download, 
11-19-2022-23-24-28.966,1.2931773430786112e+06, 3, Download, 
11-19-2022-23-24-28.966,1.4078409912150821e+06, 4, Download, 
11-19-2022-23-24-28.966,3.6503486120612854e+06, 5, Download, 
11-19-2022-23-24-28.966,1.8775375052343518e+07, 6, Download, 
11-19-2022-23-24-28.966,98221.46450337782, 7, Download, 
11-19-2022-23-24-28.966,409256.10209740757, 0, Upload, 
11-19-2022-23-24-28.966,523847.8106846817, 1, Upload, 
11-19-2022-23-24-28.966,671180.0074397485, 2, Upload, 
11-19-2022-23-24-28.966,458366.8343490965, 3, Upload, 
11-19-2022-23-24-28.966,900363.4246142966, 4, Upload, 
11-19-2022-23-24-28.966,654809.7633558521, 5, Upload, 
11-19-2022-23-24-28.966,376515.613929615, 6, Upload, 
11-19-2022-23-24-28.966,507477.5666007854, 7, Upload, 
11-19-2022-23-24-29.967,3.639326161989012e+07, 0, Download, 
11-19-2022-23-24-29.967,8.75499183197899e+06, 1, Download, 
11-19-2022-23-24-29.967,638235.3279019698, 2, Download, 
11-19-2022-23-24-29.967,1.6528658491820244e+06, 3, Download, 
11-19-2022-23-24-29.967,1.7836420833622583e+06, 4, Download, 
11-19-2022-23-24-29.967,2.7163756460627443e+06, 5, Download, 
11-19-2022-23-24-29.967,1.2256528298909117e+07, 6, Download, 
11-19-2022-23-24-29.967,212745.10930065662, 7, Download, 
11-19-2022-23-24-29.967,1.9985222408747375e+06, 8, Download, 
11-19-2022-23-24-29.967,769155.3951639123, 0, Upload, 
11-19-2022-23-24-29.967,605505.3110864842, 1, Upload, 
11-19-2022-23-24-29.967,785520.4035716552, 2, Upload, 
11-19-2022-23-24-29.967,818250.4203871408, 3, Upload, 
11-19-2022-23-24-29.967,981900.5044645689, 4, Upload, 
11-19-2022-23-24-29.967,376395.19337808475, 5, Upload, 
11-19-2022-23-24-29.967,1.1619155969497398e+06, 6, Upload, 
11-19-2022-23-24-29.967,1.0800905549110258e+06, 7, Upload, 
11-19-2022-23-24-29.967,900973.1413779554, 8, Upload, 
11-19-2022-23-24-30.969,572361.8991268048, 0, Upload, 
11-19-2022-23-24-30.969,425183.1250656264, 1, Upload, 
11-19-2022-23-24-30.969,1.0302514184282486e+06, 2, Upload, 
11-19-2022-23-24-30.969,735893.8703058918, 3, Upload, 
11-19-2022-23-24-30.969,572361.8991268048, 4, Upload, 
11-19-2022-23-24-30.969,441536.3221835351, 5, Upload, 
11-19-2022-23-24-30.969,278004.351004448, 6, Upload, 
11-19-2022-23-24-30.969,1.2755493751968793e+06, 7, Upload, 
11-19-2022-23-24-30.969,621421.4904805309, 8, Upload, 
11-19-2022-23-24-30.969,784953.461659618, 9, Upload, 
11-19-2022-23-24-30.969,2.1617776755702958e+07, 0, Download, 
11-19-2022-23-24-30.969,1.470023064555603e+07, 1, Download, 
11-19-2022-23-24-30.969,572361.8991268048, 2, Download, 
11-19-2022-23-24-30.969,1.2916869784074717e+06, 3, Download, 
11-19-2022-23-24-30.969,1.3573153607864226e+06, 4, Download, 
11-19-2022-23-24-30.969,1.9622399248775009e+06, 5, Download, 
11-19-2022-23-24-30.969,1.5354645988815468e+07, 6, Download, 
11-19-2022-23-24-30.969,32706.394235817414, 7, Download, 
11-19-2022-23-24-30.969,4.218837397877358e+06, 8, Download, 
11-19-2022-23-24-30.969,474242.7164193525, 9, Download, 
11-19-2022-23-24-31.974,1.3368251827931844e+07, 0, Download, 
11-19-2022-23-24-31.974,2.4454627733812325e+07, 1, Download, 
11-19-2022-23-24-31.974,505287.8790517394, 2, Download, 
11-19-2022-23-24-31.974,1.1249203272986913e+06, 3, Download, 
11-19-2022-23-24-31.974,1.3206427553195988e+06, 4, Download, 
11-19-2022-23-24-31.974,1.8586107469206906e+06, 5, Download, 
11-19-2022-23-24-31.974,2.0982041362633318e+07, 6, Download, 
11-19-2022-23-24-31.974,146738.0839243999, 7, Download, 
11-19-2022-23-24-31.974,4.026786944872213e+06, 8, Download, 
11-19-2022-23-24-31.974,570648.1041504439, 9, Download, 
11-19-2022-23-24-31.974,2.1847670273188427e+06, 10, Download, 
11-19-2022-23-24-31.975,977839.3613566248, 0, Upload, 
11-19-2022-23-24-31.975,651892.9075710832, 1, Upload, 
11-19-2022-23-24-31.975,472622.3579890353, 2, Upload, 
11-19-2022-23-24-31.975,880055.4252209623, 3, Upload, 
11-19-2022-23-24-31.975,211865.19496060204, 4, Upload, 
11-19-2022-23-24-31.975,814866.134463854, 5, Upload, 
11-19-2022-23-24-31.975,1.1571099109386727e+06, 6, Upload, 
11-19-2022-23-24-31.975,521514.32605686656, 7, Upload, 
11-19-2022-23-24-31.975,407433.067231927, 8, Upload, 
11-19-2022-23-24-31.975,1.010434006735179e+06, 9, Upload, 
11-19-2022-23-24-31.975,717082.1983281915, 10, Upload, 
11-19-2022-23-24-32.974,2.37183201672514e+07, 0, Download, 
11-19-2022-23-24-32.974,2.1097544319921296e+07, 1, Download, 
11-19-2022-23-24-32.974,393148.77156006324, 2, Download, 
11-19-2022-23-24-32.974,1.0319435376550611e+06, 3, Download, 
11-19-2022-23-24-32.974,1.081159121790174e+06, 4, Download, 
11-19-2022-23-24-32.974,1.9657438578003163e+06, 5, Download, 
11-19-2022-23-24-32.974,1.105658932322573e+07, 6, Download, 
11-19-2022-23-24-32.974,131049.59052002108, 7, Download, 
11-19-2022-23-24-32.974,3.505288595650144e+06, 8, Download, 
11-19-2022-23-24-32.974,589723.1573400949, 9, Download, 
11-19-2022-23-24-32.974,3.423310613885026e+06, 10, Download, 
11-19-2022-23-24-32.974,0, 11, Download, 
11-19-2022-23-24-32.975,720707.2467720704, 0, Upload, 
11-19-2022-23-24-32.975,540530.4350790528, 1, Upload, 
11-19-2022-23-24-32.975,917263.7686189987, 2, Upload, 
11-19-2022-23-24-32.975,1.0155420295424629e+06, 3, Upload, 
11-19-2022-23-24-32.975,0, 4, Upload, 
11-19-2022-23-24-32.975,720707.2467720704, 5, Upload, 
11-19-2022-23-24-32.975,278455.07261648175, 6, Upload, 
11-19-2022-23-24-32.975,409492.7538477673, 7, Upload, 
11-19-2022-23-24-32.975,556910.1452329635, 8, Upload, 
11-19-2022-23-24-32.975,1.2120985513893913e+06, 9, Upload, 
11-19-2022-23-24-32.975,524150.72492514213, 10, Upload, 
11-19-2022-23-24-32.975,0, 11, Upload, 
11-19-2022-23-24-33.982,2.2106339926853027e+07, 0, Download, 
11-19-2022-23-24-33.982,2.2593941433606848e+07, 1, Download, 
11-19-2022-23-24-33.982,438905.6488981024, 2, Download, 
11-19-2022-23-24-33.982,731509.4148301707, 3, Download, 
11-19-2022-23-24-33.982,926221.4097867562, 4, Download, 
11-19-2022-23-24-33.982,1.5927792019872037e+06, 5, Download, 
11-19-2022-23-24-33.982,1.102062271564536e+07, 6, Download, 
11-19-2022-23-24-33.982,292603.7659320683, 7, Download, 
11-19-2022-23-24-33.982,2.8446873989843717e+06, 8, Download, 
11-19-2022-23-24-33.982,503928.7079941176, 9, Download, 
11-19-2022-23-24-33.982,3.381056200060205e+06, 10, Download, 
11-19-2022-23-24-33.982,0, 11, Download, 
11-19-2022-23-24-33.982,1.2354381228242882e+06, 12, Download, 
11-19-2022-23-24-33.982,927054.0357645544, 0, Upload, 
11-19-2022-23-24-33.982,992110.4593269794, 1, Upload, 
11-19-2022-23-24-33.982,439130.85904636787, 2, Upload, 
11-19-2022-23-24-33.982,390338.54137454927, 3, Upload, 
11-19-2022-23-24-33.982,585507.8120618239, 4, Upload, 
11-19-2022-23-24-33.982,975846.353436373, 5, Upload, 
11-19-2022-23-24-33.982,552979.6002806114, 6, Upload, 
11-19-2022-23-24-33.982,764412.9768584922, 7, Upload, 
11-19-2022-23-24-33.982,520451.388499399, 8, Upload, 
11-19-2022-23-24-33.982,520451.388499399, 9, Upload, 
11-19-2022-23-24-33.982,683092.4474054612, 10, Upload, 
11-19-2022-23-24-33.982,0, 11, Upload, 
11-19-2022-23-24-33.982,796949.4162620701, 12, Upload, 
11-19-2022-23-24-34.982,1.9231733371969745e+07, 0, Download, 
11-19-2022-23-24-34.982,1.3940552922633486e+07, 1, Download, 
11-19-2022-23-24-34.982,262119.64908460004, 2, Download, 
11-19-2022-23-24-34.982,851888.85952495, 3, Download, 
11-19-2022-23-24-34.982,966566.2059994626, 4, Download, 
11-19-2022-23-24-34.982,1.3760561643823287e+06, 5, Download, 
11-19-2022-23-24-34.982,7.682878260609589e+06, 6, Download, 
11-19-2022-23-24-34.982,278502.1271523875, 7, Download, 
11-19-2022-23-24-34.982,2.785021271523875e+06, 8, Download, 
11-19-2022-23-24-34.982,458709.38589805004, 9, Download, 
11-19-2022-23-24-34.982,3.390956980096549e+06, 10, Download, 
11-19-2022-23-24-34.982,2.3261678990021828e+06, 11, Download, 
11-19-2022-23-24-34.982,1.457896561409445e+06, 12, Download, 
11-19-2022-23-24-34.982,6.192216743064569e+06, 13, Download, 
11-19-2022-23-24-34.982,802741.4253215876, 0, Upload, 
11-19-2022-23-24-34.982,557004.254304775, 1, Upload, 
11-19-2022-23-24-34.982,950183.727931675, 2, Upload, 
11-19-2022-23-24-34.982,573386.7323725625, 3, Upload, 
11-19-2022-23-24-34.982,933801.2498638876, 4, Upload, 
11-19-2022-23-24-34.982,1.0648610744061875e+06, 5, Upload, 
11-19-2022-23-24-34.982,557004.254304775, 6, Upload, 
11-19-2022-23-24-34.982,720829.0349826501, 7, Upload, 
11-19-2022-23-24-34.982,589769.21044035, 8, Upload, 
11-19-2022-23-24-34.982,704446.5569148626, 9, Upload, 
11-19-2022-23-24-34.982,327649.56135575, 10, Upload, 
11-19-2022-23-24-34.982,606151.6885081376, 11, Upload, 
11-19-2022-23-24-34.982,442326.90783026256, 12, Upload, 
11-19-2022-23-24-34.982,507856.82010141254, 13, Upload, 
11-19-2022-23-24-35.985,3.59577680354666e+06, 0, Download, 
11-19-2022-23-24-35.985,1.0493250645514304e+07, 1, Download, 
11-19-2022-23-24-35.985,277877.6828588055, 2, Download, 
11-19-2022-23-24-35.985,571957.4479844819, 3, Download, 
11-19-2022-23-24-35.985,604648.9400855179, 4, Download, 
11-19-2022-23-24-35.985,1.2258591218970243e+06, 5, Download, 
11-19-2022-23-24-35.985,8.87516545029667e+06, 6, Download, 
11-19-2022-23-24-35.985,245186.1907577696, 7, Download, 
11-19-2022-23-24-35.985,1.9937500268122514e+06, 8, Download, 
11-19-2022-23-24-35.985,441335.1433639853, 9, Download, 
11-19-2022-23-24-35.985,2.892981555266211e+06, 10, Download, 
11-19-2022-23-24-35.985,1.6540745692855012e+07, 11, Download, 
11-19-2022-23-24-35.985,1.0950931534928808e+06, 12, Download, 
11-19-2022-23-24-35.985,1.7880953205213837e+07, 13, Download, 
11-19-2022-23-24-35.985,490372.3815155392, 14, Download, 
11-19-2022-23-24-35.985,686521.3341217549, 0, Upload, 
11-19-2022-23-24-35.985,490372.3815155392, 1, Upload, 
11-19-2022-23-24-35.985,751904.3183238268, 2, Upload, 
11-19-2022-23-24-35.985,0, 3, Upload, 
11-19-2022-23-24-35.985,424989.3973134673, 4, Upload, 
11-19-2022-23-24-35.985,0, 5, Upload, 
11-19-2022-23-24-35.985,0, 6, Upload, 
11-19-2022-23-24-35.985,588446.857818647, 7, Upload, 
11-19-2022-23-24-35.985,490372.3815155392, 8, Upload, 
11-19-2022-23-24-35.985,424989.3973134673, 9, Upload, 
11-19-2022-23-24-35.985,212494.69865673364, 10, Upload, 
11-19-2022-23-24-35.985,686521.3341217549, 11, Upload, 
11-19-2022-23-24-35.985,359606.41311139544, 12, Upload, 
11-19-2022-23-24-35.985,751904.3183238268, 13, Upload, 
11-19-2022-23-24-35.985,326914.9210103595, 14, Upload, 
