Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-19-2022-23-24-21.952,1.5928086163911582e+06, 
11-19-2022-23-24-22.955,2.2529462782511096e+06, 
11-19-2022-23-24-23.955,2.1134738638684023e+06, 
11-19-2022-23-24-24.956,3.5848094466992663e+06, 
11-19-2022-23-24-25.958,3.516374701872958e+06, 
11-19-2022-23-24-26.961,5.747269226604636e+06, 
11-19-2022-23-24-27.965,7.048412946739325e+06, 
11-19-2022-23-24-28.966,4.501817123071483e+06, 
11-19-2022-23-24-29.967,7.479706521290568e+06, 
11-19-2022-23-24-30.969,6.737517212578388e+06, 
11-19-2022-23-24-31.975,7.822714890852998e+06, 
11-19-2022-23-24-32.975,6.895857974796401e+06, 
11-19-2022-23-24-33.982,8.14832527881608e+06, 
11-19-2022-23-24-34.982,9.338012498638876e+06, 
11-19-2022-23-24-35.985,6.195037753146311e+06, 
