Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-19-2022-23-38-35.502,3, 0.0665601,0.016602,15075, Foreign,
11-19-2022-23-38-35.613,3, 0.0845862,0.01983,15075, Foreign,
11-19-2022-23-38-35.713,3, 0.1510304,0.03008,15075, Foreign,
11-19-2022-23-38-35.814,3, 0.122226,0.03194,15075, Foreign,
11-19-2022-23-38-35.914,3, 0.1314881,0.030643,15075, Foreign,
11-19-2022-23-38-36.124,3, 0.1114436,0.031308,15075, Foreign,
11-19-2022-23-38-36.224,3, 0.0984153,0.026947,15075, Foreign,
11-19-2022-23-38-36.022,3, 0.6546046,0.029736,15075, Foreign,
11-19-2022-23-38-36.325,3, 0.1216708,0.027392,15075, Foreign,
11-19-2022-23-38-36.425,3, 0.1403424,0.033465,15075, Foreign,
11-19-2022-23-38-36.525,3, 0.1373984,0.027889,15075, Foreign,
11-19-2022-23-38-36.626,3, 0.0982804,0.030952,15075, Foreign,
11-19-2022-23-38-36.726,3, 0.1396118,0.035878,15075, Foreign,
11-19-2022-23-38-36.826,3, 0.1842804,0.029602,15075, Foreign,
11-19-2022-23-38-36.927,3, 0.1144386,0.022694,15075, Foreign,
11-19-2022-23-38-37.028,3, 0.1098856,0.021845,15075, Foreign,
11-19-2022-23-38-37.130,3, 0.1319993,0.031951,15075, Foreign,
11-19-2022-23-38-37.235,3, 0.139537,0.0321,15075, Foreign,
11-19-2022-23-38-37.338,3, 0.1303185,0.028008,15075, Foreign,
11-19-2022-23-38-37.444,3, 0.1099069,0.033131,15075, Foreign,
11-19-2022-23-38-37.544,3, 0.1356099,0.03368,15075, Foreign,
11-19-2022-23-38-37.755,3, 0.1410835,0.036543,15075, Foreign,
11-19-2022-23-38-37.858,3, 0.157414,0.031924,15075, Foreign,
11-19-2022-23-38-37.645,3, 0.7399623,0.029123,15075, Foreign,
11-19-2022-23-38-37.963,3, 0.1448408,0.034698,15075, Foreign,
