Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-19-2022-23-38-35.502,1, 0.0312925,0.017356,108308, SelfUp,
11-19-2022-23-38-35.502,1, 0.0574165,0.014909,16346, SelfDown,
11-19-2022-23-38-35.613,1, 0.0340444,0.015453,24153, SelfDown,
11-19-2022-23-38-35.613,1, 0.0435916,0.018195,405704, SelfUp,
11-19-2022-23-38-35.713,1, 0.0700658,0.025571,532670, SelfUp,
11-19-2022-23-38-35.713,1, 0.1151036,0.026623,49983, SelfDown,
11-19-2022-23-38-35.814,1, 0.0682966,0.03165,640611, SelfUp,
11-19-2022-23-38-35.814,1, 0.0745708,0.032324,54740, SelfDown,
11-19-2022-23-38-35.914,1, 0.0603354,0.030437,61151, SelfDown,
11-19-2022-23-38-35.914,1, 0.0603354,0.031787,774960, SelfUp,
11-19-2022-23-38-36.022,1, 0.050977,0.031877,911505, SelfUp,
11-19-2022-23-38-36.022,1, 0.050977,0.029308,65545, SelfDown,
11-19-2022-23-38-36.124,1, 0.0791122,0.03526,1052068, SelfUp,
11-19-2022-23-38-36.124,1, 0.0966968,0.031585,71375, SelfDown,
11-19-2022-23-38-36.224,1, 0.0698174,0.031126,1160823, SelfUp,
11-19-2022-23-38-36.224,1, 0.1299872,0.034066,76294, SelfDown,
11-19-2022-23-38-36.325,1, 0.05184,0.024013,1170432, SelfUp,
11-19-2022-23-38-36.325,1, 0.05184,0.022528,80115, SelfDown,
11-19-2022-23-38-36.425,1, 0.0671756,0.032969,1170432, SelfUp,
11-19-2022-23-38-36.425,1, 0.072689,0.033972,84239, SelfDown,
11-19-2022-23-38-36.525,1, 0.048581,0.022313,87878, SelfDown,
11-19-2022-23-38-36.525,1, 0.0629324,0.03072,1170432, SelfUp,
11-19-2022-23-38-36.626,1, 0.0643806,0.031823,1170432, SelfUp,
11-19-2022-23-38-36.626,1, 0.0996496,0.03187,92059, SelfDown,
11-19-2022-23-38-36.726,1, 0.076892,0.032385,1170432, SelfUp,
11-19-2022-23-38-36.726,1, 0.1568936,0.037683,97151, SelfDown,
11-19-2022-23-38-36.826,1, 0.069222,0.033753,1170432, SelfUp,
11-19-2022-23-38-36.826,1, 0.0702278,0.033291,99247, SelfDown,
11-19-2022-23-38-36.927,1, 0.0416296,0.0206,102237, SelfDown,
11-19-2022-23-38-36.927,1, 0.0480498,0.031031,1170432, SelfUp,
11-19-2022-23-38-37.028,1, 0.0391828,0.023146,1170432, SelfUp,
11-19-2022-23-38-37.028,1, 0.0737986,0.02208,104882, SelfDown,
11-19-2022-23-38-37.130,1, 0.0638758,0.031509,1170432, SelfUp,
11-19-2022-23-38-37.130,1, 0.0867522,0.027626,107970, SelfDown,
11-19-2022-23-38-37.235,1, 0.0538049,0.033484,1170432, SelfUp,
11-19-2022-23-38-37.235,1, 0.0765183,0.042623,110519, SelfDown,
11-19-2022-23-38-37.338,1, 0.045896,0.033674,1170432, SelfUp,
11-19-2022-23-38-37.338,1, 0.074749,0.034895,113446, SelfDown,
11-19-2022-23-38-37.444,1, 0.0581826,0.031166,1170432, SelfUp,
11-19-2022-23-38-37.444,1, 0.0936866,0.032082,116337, SelfDown,
11-19-2022-23-38-37.544,1, 0.0686822,0.029434,1170432, SelfUp,
11-19-2022-23-38-37.544,1, 0.1117038,0.029766,119206, SelfDown,
11-19-2022-23-38-37.645,1, 0.0546676,0.030146,1170432, SelfUp,
11-19-2022-23-38-37.645,1, 0.0678368,0.026795,121986, SelfDown,
11-19-2022-23-38-37.755,1, 0.1260376,0.031633,1170432, SelfUp,
11-19-2022-23-38-37.755,1, 0.1295924,0.027037,124875, SelfDown,
11-19-2022-23-38-37.858,1, 0.0569822,0.030704,1170432, SelfUp,
11-19-2022-23-38-37.858,1, 0.061625,0.031173,126517, SelfDown,
11-19-2022-23-38-37.963,1, 0.066239,0.036198,1170432, SelfUp,
11-19-2022-23-38-37.963,1, 0.1455672,0.03556,128709, SelfDown,
11-19-2022-23-38-38.064,1, 0.092176,0.035001,1170432, SelfUp,
11-19-2022-23-38-38.064,1, 0.2240466,0.035395,130966, SelfDown,
11-19-2022-23-38-38.165,1, 0.0722074,0.035652,1170432, SelfUp,
11-19-2022-23-38-38.275,1, 0.0331368,0.033062,1170432, SelfUp,
11-19-2022-23-38-38.165,1, 0.2594392,0.032555,132256, SelfDown,
11-19-2022-23-38-38.275,1, 0.0562588,0.032555,132256, SelfDown,
11-19-2022-23-38-38.382,1, 0.0641126,0.03239,1170432, SelfUp,
11-19-2022-23-38-38.382,1, 0.2039332,0.042433,137677, SelfDown,
11-19-2022-23-38-38.483,1, 0.2121618,0.037469,1170432, SelfUp,
11-19-2022-23-38-38.483,1, 0.2038734,0.038091,138981, SelfDown,
11-19-2022-23-38-38.583,1, 0.144566,0.034972,140317, SelfDown,
11-19-2022-23-38-38.583,1, 0.154626,0.037842,1170432, SelfUp,
11-19-2022-23-38-38.686,1, 0.121904,0.037006,1170432, SelfUp,
11-19-2022-23-38-38.686,1, 0.2159744,0.037026,141445, SelfDown,
11-19-2022-23-38-38.787,1, 0.0652846,0.037277,1170432, SelfUp,
11-19-2022-23-38-38.787,1, 0.1450362,0.036721,143398, SelfDown,
11-19-2022-23-38-38.888,1, 0.2003064,0.041176,1170432, SelfUp,
11-19-2022-23-38-38.989,1, 0.0750536,0.037366,1170432, SelfUp,
11-19-2022-23-38-38.888,1, 0.3049572,0.036324,144388, SelfDown,
11-19-2022-23-38-38.989,1, 0.113192,0.033276,144445, SelfDown,
11-19-2022-23-38-39.099,1, 0.1385527,0.035224,1170432, SelfUp,
11-19-2022-23-38-39.205,1, 0.066338,0.035211,1170432, SelfUp,
11-19-2022-23-38-39.099,1, 0.3397112,0.036893,147604, SelfDown,
