Time of the generation of the data point., Instantaneous throughput (b/s)., ID of connection (position relative to creation)., Direction of throughput., 
11-19-2022-23-38-36.402,1.7520320502832944e+06, 0, Upload, 
11-19-2022-23-38-36.402,5.021607876932573e+07, 0, Download, 
11-19-2022-23-38-37.403,6.51931324079904e+07, 0, Download, 
11-19-2022-23-38-37.403,2.6529638159055435e+06, 1, Download, 
11-19-2022-23-38-37.403,1.6704752539122025e+06, 0, Upload, 
11-19-2022-23-38-37.403,704219.9599825952, 1, Upload, 
11-19-2022-23-38-38.404,4.6976215317897566e+07, 0, Download, 
11-19-2022-23-38-38.404,2.0120277058593878e+06, 1, Download, 
11-19-2022-23-38-38.404,1.5049381890145088e+07, 2, Download, 
11-19-2022-23-38-38.404,1.5050388359305495e+06, 0, Upload, 
11-19-2022-23-38-38.404,1.1614973625116197e+06, 1, Upload, 
11-19-2022-23-38-38.404,1.0306244202567893e+06, 2, Upload, 
11-19-2022-23-38-39.404,3.5500867030145004e+07, 0, Download, 
11-19-2022-23-38-39.404,2.262180876972712e+06, 1, Download, 
11-19-2022-23-38-39.404,2.7965637353528697e+07, 2, Download, 
11-19-2022-23-38-39.404,491809.7743190288, 3, Download, 
11-19-2022-23-38-39.405,1.1299832136176603e+06, 0, Upload, 
11-19-2022-23-38-39.405,818828.4156649712, 1, Upload, 
11-19-2022-23-38-39.405,1.0153472354245642e+06, 2, Upload, 
11-19-2022-23-38-39.405,507673.6177122821, 3, Upload, 
11-19-2022-23-38-40.414,2.790494851797036e+07, 0, Download, 
11-19-2022-23-38-40.414,2.0755837787217903e+06, 1, Download, 
11-19-2022-23-38-40.414,2.6040308735802777e+07, 2, Download, 
11-19-2022-23-38-40.414,1.426963847871231e+06, 3, Download, 
11-19-2022-23-38-40.414,8.075175620061691e+06, 4, Download, 
11-19-2022-23-38-40.414,990167.517974963, 0, Upload, 
11-19-2022-23-38-40.414,584361.1581491585, 1, Upload, 
11-19-2022-23-38-40.414,1.168722316298317e+06, 2, Upload, 
