Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-19-2022-23-38-36.402,1.7520320502832944e+06, 
11-19-2022-23-38-37.403,2.3746952138947975e+06, 
11-19-2022-23-38-38.404,3.697160618698959e+06, 
11-19-2022-23-38-39.405,3.471832482419478e+06, 
11-19-2022-23-38-40.414,4.658657010800235e+06, 
11-19-2022-23-38-41.431,4.848538237075373e+06, 
11-19-2022-23-38-42.438,5.2423843266783245e+06, 
11-19-2022-23-38-43.443,5.067401986454596e+06, 
11-19-2022-23-38-44.450,5.388747899026572e+06, 
11-19-2022-23-38-45.453,4.327223603257465e+06, 
11-19-2022-23-38-46.453,4.752288658230312e+06, 
11-19-2022-23-38-47.453,7.318133054929804e+06, 
