Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-26-2022-11-39-48.185,1, 0.1361472,0.040007,13912, SelfUp,
11-26-2022-11-39-48.185,1, 0.2627637,0.044851,15340, SelfDown,
11-26-2022-11-39-48.285,1, 0.2315858,0.046488,15196, SelfUp,
11-26-2022-11-39-48.386,1, 0.1409253,0.046488,15196, SelfUp,
11-26-2022-11-39-48.285,1, 0.2569872,0.046059,15797, SelfDown,
11-26-2022-11-39-48.386,1, 0.1859752,0.04645,15867, SelfDown,
11-26-2022-11-39-48.587,1, 0.0734803,0.047635,17146, SelfUp,
11-26-2022-11-39-48.486,1, 0.1738501,0.047635,17146, SelfUp,
11-26-2022-11-39-48.486,1, 0.2138654,0.046837,16464, SelfDown,
11-26-2022-11-39-48.587,1, 0.2037849,0.045705,13902, SelfDown,
11-26-2022-11-39-48.687,1, 0.1124086,0.04632,19389, SelfUp,
11-26-2022-11-39-48.687,1, 0.1796779,0.04557,13900, SelfDown,
11-26-2022-11-39-48.787,1, 0.2385028,0.043375,13909, SelfDown,
11-26-2022-11-39-48.887,1, 0.175635,0.043375,13900, SelfDown,
11-26-2022-11-39-48.988,1, 0.2803758,0.044812,13908, SelfDown,
11-26-2022-11-39-49.088,1, 0.251755,0.0395,14052, SelfDown,
11-26-2022-11-39-48.787,1, 0.5526137,0.046068,14297, SelfUp,
11-26-2022-11-39-48.887,1, 0.4523411,0.046068,14297, SelfUp,
11-26-2022-11-39-48.988,1, 0.3520649,0.046068,14297, SelfUp,
11-26-2022-11-39-49.088,1, 0.251755,0.046068,14297, SelfUp,
11-26-2022-11-39-49.188,1, 0.1513172,0.046068,14297, SelfUp,
11-26-2022-11-39-49.292,1, 0.0473014,0.046068,14297, SelfUp,
11-26-2022-11-39-49.189,1, 0.2508756,0.039417,15881, SelfDown,
11-26-2022-11-39-49.392,1, 0.1034553,0.042418,14304, SelfUp,
11-26-2022-11-39-49.292,1, 0.2764707,0.041926,17242, SelfDown,
11-26-2022-11-39-49.493,1, 0.1157037,0.03977,15530, SelfUp,
11-26-2022-11-39-49.392,1, 0.2529121,0.04126,18944, SelfDown,
11-26-2022-11-39-49.597,1, 0.1393815,0.040683,17617, SelfUp,
11-26-2022-11-39-49.493,1, 0.315666,0.040361,21960, SelfDown,
11-26-2022-11-39-49.802,1, 0.0527639,0.040425,19666, SelfUp,
11-26-2022-11-39-49.700,1, 0.1543939,0.040425,19666, SelfUp,
11-26-2022-11-39-49.597,1, 0.3173787,0.040461,23511, SelfDown,
11-26-2022-11-39-49.902,1, 0.0612531,0.038503,22197, SelfUp,
11-26-2022-11-39-49.700,1, 0.2872591,0.040533,25293, SelfDown,
11-26-2022-11-39-50.004,1, 0.0850741,0.039081,24731, SelfUp,
11-26-2022-11-39-50.104,1, 0.0985377,0.038385,26594, SelfUp,
11-26-2022-11-39-50.210,1, 0.1142994,0.039478,28040, SelfUp,
11-26-2022-11-39-50.311,1, 0.047639,0.040559,28451, SelfUp,
11-26-2022-11-39-49.802,1, 0.5738392,0.038788,32746, SelfDown,
11-26-2022-11-39-49.903,1, 0.4729389,0.038788,32746, SelfDown,
11-26-2022-11-39-50.104,1, 0.3514436,0.039108,33987, SelfDown,
11-26-2022-11-39-50.004,1, 0.453558,0.039108,33987, SelfDown,
11-26-2022-11-39-50.412,1, 0.0954993,0.038041,32171, SelfUp,
11-26-2022-11-39-50.311,1, 0.2476595,0.039081,35908, SelfDown,
11-26-2022-11-39-50.514,1, 0.0769596,0.038714,33693, SelfUp,
11-26-2022-11-39-50.210,1, 0.4676831,0.039586,37664, SelfDown,
11-26-2022-11-39-50.412,1, 0.3093028,0.038919,38669, SelfDown,
11-26-2022-11-39-50.514,1, 0.3549312,0.038809,42250, SelfDown,
11-26-2022-11-39-50.620,1, 0.3408456,0.043685,36847, SelfUp,
11-26-2022-11-39-50.620,1, 0.3825278,0.039046,43096, SelfDown,
11-26-2022-11-39-50.720,1, 0.3573255,0.039312,45463, SelfDown,
11-26-2022-11-39-50.720,1, 0.491856,0.041807,41768, SelfUp,
11-26-2022-11-39-50.821,1, 0.3908927,0.041807,41768, SelfUp,
11-26-2022-11-39-51.127,1, 0.0855185,0.041807,41768, SelfUp,
11-26-2022-11-39-50.922,1, 0.2897809,0.041807,41768, SelfUp,
11-26-2022-11-39-51.026,1, 0.1865265,0.041807,41768, SelfUp,
11-26-2022-11-39-50.821,1, 0.3964192,0.039788,47454, SelfDown,
11-26-2022-11-39-50.922,1, 0.541796,0.038311,53220, SelfDown,
11-26-2022-11-39-51.026,1, 0.4385416,0.038311,53220, SelfDown,
11-26-2022-11-39-51.329,1, 0.3361205,0.040022,54125, SelfDown,
11-26-2022-11-39-51.127,1, 0.5520725,0.040942,54732, SelfDown,
11-26-2022-11-39-51.227,1, 0.452056,0.040942,54732, SelfDown,
11-26-2022-11-39-51.530,1, 0.3435206,0.039097,59300, SelfDown,
11-26-2022-11-39-51.430,1, 0.4441574,0.039097,59300, SelfDown,
11-26-2022-11-39-51.631,1, 0.3463311,0.03914,61373, SelfDown,
11-26-2022-11-39-51.731,1, 0.3079431,0.039719,62025, SelfDown,
11-26-2022-11-39-51.227,1, 0.9129283,0.041519,56989, SelfUp,
11-26-2022-11-39-51.328,1, 0.8105653,0.041519,56989, SelfUp,
11-26-2022-11-39-51.430,1, 0.7426917,0.041093,58743, SelfUp,
11-26-2022-11-39-51.631,1, 0.5411043,0.041093,58743, SelfUp,
11-26-2022-11-39-51.530,1, 0.6420549,0.041093,58743, SelfUp,
11-26-2022-11-39-51.731,1, 0.4411363,0.041093,58743, SelfUp,
11-26-2022-11-39-51.832,1, 0.3405033,0.041093,58743, SelfUp,
11-26-2022-11-39-51.933,1, 0.2390361,0.041093,58743, SelfUp,
11-26-2022-11-39-52.033,1, 0.1392322,0.041093,58743, SelfUp,
11-26-2022-11-39-52.134,1, 0.0394631,0.040109,60029, SelfUp,
11-26-2022-11-39-51.832,1, 0.5336774,0.037343,65520, SelfDown,
11-26-2022-11-39-51.933,1, 0.4327286,0.037343,65520, SelfDown,
11-26-2022-11-39-52.033,1, 0.3718124,0.037431,65520, SelfDown,
11-26-2022-11-39-52.336,1, 0.0589954,0.037754,69083, SelfUp,
11-26-2022-11-39-52.235,1, 0.1597631,0.037754,69083, SelfUp,
11-26-2022-11-39-52.441,1, 0.0696922,0.039048,69093, SelfUp,
11-26-2022-11-39-52.544,1, 0.0385366,0.037039,71900, SelfUp,
11-26-2022-11-39-52.235,1, 0.3477763,0.038474,65520, SelfDown,
11-26-2022-11-39-52.134,1, 0.4494593,0.038474,65520, SelfDown,
11-26-2022-11-39-52.336,1, 0.3474277,0.036985,65520, SelfDown,
11-26-2022-11-39-52.647,1, 0.0780076,0.037587,75317, SelfUp,
11-26-2022-11-39-52.747,1, 0.0821793,0.037182,75954, SelfUp,
11-26-2022-11-39-52.847,1, 0.0340709,0.037132,77537, SelfUp,
11-26-2022-11-39-52.544,1, 0.374946,0.038867,65520, SelfDown,
11-26-2022-11-39-52.442,1, 0.4777961,0.038867,65520, SelfDown,
11-26-2022-11-39-52.948,1, 0.031382,0.036297,81373, SelfUp,
11-26-2022-11-39-52.647,1, 0.4135153,0.038322,65520, SelfDown,
11-26-2022-11-39-53.048,1, 0.0389999,0.038318,86399, SelfUp,
11-26-2022-11-39-52.847,1, 0.2558114,0.038322,65520, SelfDown,
11-26-2022-11-39-52.747,1, 0.3560384,0.038322,65520, SelfDown,
11-26-2022-11-39-53.148,1, 0.0865758,0.037563,86520, SelfUp,
11-26-2022-11-39-52.948,1, 0.3667911,0.040791,46383, SelfDown,
11-26-2022-11-39-53.250,1, 0.0897114,0.036832,87790, SelfUp,
11-26-2022-11-39-53.350,1, 0.0354125,0.03658,89256, SelfUp,
11-26-2022-11-39-53.455,1, 0.0706755,0.036656,91282, SelfUp,
11-26-2022-11-39-53.560,1, 0.0379011,0.038898,91287, SelfUp,
11-26-2022-11-39-53.148,1, 0.4940081,0.040721,47722, SelfDown,
11-26-2022-11-39-53.250,1, 0.4672534,0.039605,55557, SelfDown,
11-26-2022-11-39-53.048,1, 0.7079465,0.038668,55913, SelfDown,
11-26-2022-11-39-53.662,1, 0.1692696,0.053899,91294, SelfUp,
11-26-2022-11-39-53.350,1, 0.4931293,0.038668,55913, SelfDown,
11-26-2022-11-39-53.455,1, 0.3880992,0.038668,55913, SelfDown,
11-26-2022-11-39-53.762,1, 0.112343,0.052526,91295, SelfUp,
11-26-2022-11-39-53.964,1, 0.0744123,0.051365,91297, SelfUp,
11-26-2022-11-39-53.863,1, 0.1752555,0.051365,91297, SelfUp,
11-26-2022-11-39-53.560,1, 0.5037269,0.039696,39141, SelfDown,
11-26-2022-11-39-54.066,1, 0.0356533,0.045045,91306, SelfUp,
11-26-2022-11-39-54.166,1, 0.0397294,0.039843,99927, SelfUp,
11-26-2022-11-39-53.662,1, 0.5709953,0.040837,39148, SelfDown,
11-26-2022-11-39-53.762,1, 0.5883924,0.041929,40582, SelfDown,
11-26-2022-11-39-53.863,1, 0.4876921,0.041929,40582, SelfDown,
11-26-2022-11-39-53.964,1, 0.3868489,0.041929,40582, SelfDown,
11-26-2022-11-39-54.267,1, 0.0889469,0.041426,99938, SelfUp,
11-26-2022-11-39-54.369,1, 0.0324569,0.038195,103587, SelfUp,
11-26-2022-11-39-54.066,1, 0.4261198,0.040475,43586, SelfDown,
11-26-2022-11-39-54.469,1, 0.032306,0.03482,113848, SelfUp,
11-26-2022-11-39-54.570,1, 0.0388273,0.036904,114613, SelfUp,
11-26-2022-11-39-54.267,1, 0.3820143,0.039483,46253, SelfDown,
11-26-2022-11-39-54.166,1, 0.4824736,0.039483,46253, SelfDown,
11-26-2022-11-39-54.673,1, 0.0304799,0.036796,114793, SelfUp,
11-26-2022-11-39-54.369,1, 0.3852239,0.038631,48351, SelfDown,
11-26-2022-11-39-54.774,1, 0.0373334,0.035561,120041, SelfUp,
11-26-2022-11-39-54.570,1, 0.3272685,0.039333,50880, SelfDown,
11-26-2022-11-39-54.469,1, 0.4286497,0.039333,50880, SelfDown,
11-26-2022-11-39-54.875,1, 0.0256468,0.036257,120640, SelfUp,
11-26-2022-11-39-54.977,1, 0.0382271,0.038035,129078, SelfUp,
11-26-2022-11-39-54.673,1, 0.3441744,0.038857,53986, SelfDown,
11-26-2022-11-39-54.774,1, 0.3013253,0.039582,54246, SelfDown,
11-26-2022-11-39-55.077,1, 0.0390537,0.038775,129086, SelfUp,
11-26-2022-11-39-54.875,1, 0.2445994,0.039935,55215, SelfDown,
11-26-2022-11-39-55.177,1, 0.0415891,0.042258,129104, SelfUp,
11-26-2022-11-39-55.279,1, 0.0376586,0.040823,129114, SelfUp,
11-26-2022-11-39-54.977,1, 0.3434407,0.041021,57593, SelfDown,
11-26-2022-11-39-55.381,1, 0.0425254,0.041951,129126, SelfUp,
11-26-2022-11-39-55.482,1, 0.0400069,0.04082,129233, SelfUp,
11-26-2022-11-39-55.077,1, 0.4916534,0.041332,61015, SelfDown,
11-26-2022-11-39-55.177,1, 0.3912545,0.041332,61015, SelfDown,
11-26-2022-11-39-55.279,1, 0.3337354,0.042018,62563, SelfDown,
11-26-2022-11-39-55.585,1, 0.0756004,0.03977,129599, SelfUp,
11-26-2022-11-39-55.685,1, 0.0862775,0.041632,130471, SelfUp,
11-26-2022-11-39-55.381,1, 0.4036103,0.042721,64370, SelfDown,
11-26-2022-11-39-55.482,1, 0.3080992,0.042721,64370, SelfDown,
11-26-2022-11-39-55.788,1, 0.0920519,0.039189,131563, SelfUp,
11-26-2022-11-39-55.888,1, 0.0392648,0.037943,133093, SelfUp,
11-26-2022-11-39-55.988,1, 0.0339347,0.039357,135577, SelfUp,
11-26-2022-11-39-55.585,1, 0.4609368,0.043093,65520, SelfDown,
