Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-26-2022-11-39-49.085,2.9412651614296213e+07, 20, 
11-26-2022-11-39-50.085,5.710604734548212e+07, 20, 
11-26-2022-11-39-51.086,6.958237922082074e+07, 20, 
11-26-2022-11-39-52.086,6.999201739216681e+07, 20, 
11-26-2022-11-39-53.086,7.436182143382798e+07, 20, 
11-26-2022-11-39-54.088,5.848710679002557e+07, 20, 
11-26-2022-11-39-55.088,7.640946607123683e+07, 20, 
11-26-2022-11-39-56.089,6.676868695982065e+07, 20, 
11-26-2022-11-39-57.091,6.321089147261298e+07, 20, 
11-26-2022-11-39-58.091,6.82480238901106e+07, 20, 
11-26-2022-11-39-59.092,5.1741279388237655e+07, 20, 
11-26-2022-11-40-00.093,6.813730523667622e+07, 20, 
11-26-2022-11-40-01.093,6.736895357317999e+07, 20, 
11-26-2022-11-40-02.093,7.035395886380258e+07, 20, 
11-26-2022-11-40-03.095,7.068773011714491e+07, 20, 
11-26-2022-11-40-04.096,6.496459608995132e+07, 20, 
11-26-2022-11-40-05.096,6.200769828606536e+07, 20, 
11-26-2022-11-40-06.096,7.361172422987387e+07, 20, 
11-26-2022-11-40-07.096,6.419220286169087e+07, 20, 
11-26-2022-11-40-08.097,6.74677967409916e+07, 20, 
11-26-2022-11-40-09.097,6.977579160062917e+07, 20, 
11-26-2022-11-40-10.098,6.890464081748065e+07, 20, 
11-26-2022-11-40-11.098,7.053737964057104e+07, 20, 
11-26-2022-11-40-12.098,5.951528284067097e+07, 20, 
11-26-2022-11-40-13.098,6.791266599790412e+07, 20, 
11-26-2022-11-40-14.098,6.930633421705046e+07, 20, 
11-26-2022-11-40-15.098,6.4777147093705215e+07, 20, 
11-26-2022-11-40-16.099,6.90082274865899e+07, 20, 
11-26-2022-11-40-17.099,6.632715774169519e+07, 20, 
11-26-2022-11-40-18.101,6.6517406896337934e+07, 20, 
11-26-2022-11-40-19.100,6.874366505098046e+07, 20, 
11-26-2022-11-40-20.101,6.942432997110954e+07, 20, 
11-26-2022-11-40-21.101,6.737124261993404e+07, 20, 
11-26-2022-11-40-22.101,6.37469342345574e+07, 20, 
