Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-41-21.622,2.1619762650328027e+06, 0, Download, 
11-26-2022-11-41-21.622,1.4577212024122467e+06, 1, Download, 
11-26-2022-11-41-21.622,1.5233119782745054e+06, 2, Download, 
11-26-2022-11-41-21.622,1.3431352926721445e+06, 3, Download, 
11-26-2022-11-41-21.622,3.0137205969712357e+06, 4, Download, 
11-26-2022-11-41-21.622,2.25905543950875e+06, 5, Download, 
11-26-2022-11-41-21.622,1.2776164979076495e+06, 6, Download, 
11-26-2022-11-41-21.622,1.5560713756567526e+06, 7, Download, 
11-26-2022-11-41-21.622,2.19473566241505e+06, 8, Download, 
11-26-2022-11-41-21.622,1.5551739694552375e+06, 9, Download, 
11-26-2022-11-41-21.622,1.768069037218967e+06, 10, Download, 
11-26-2022-11-41-21.622,1.6534719699918118e+06, 11, Download, 
11-26-2022-11-41-21.622,785808.4609862075, 12, Download, 
11-26-2022-11-41-21.622,1.4897618739530183e+06, 13, Download, 
11-26-2022-11-41-21.622,1.5887233727111146e+06, 14, Download, 
11-26-2022-11-41-21.622,1.4249618050299992e+06, 15, Download, 
11-26-2022-11-41-21.622,1.7034166827791024e+06, 16, Download, 
11-26-2022-11-41-21.622,1.359514991363268e+06, 17, Download, 
11-26-2022-11-41-21.622,2.19473566241505e+06, 18, Download, 
11-26-2022-11-41-21.622,769845.8384828145, 19, Download, 
11-26-2022-11-41-21.622,311049.18247370713, 0, Upload, 
11-26-2022-11-41-21.622,540243.3169280177, 1, Upload, 
11-26-2022-11-41-21.622,1.0477446146482767e+06, 2, Upload, 
11-26-2022-11-41-21.622,294678.17286982783, 3, Upload, 
11-26-2022-11-41-21.622,1.048277345784186e+06, 4, Upload, 
11-26-2022-11-41-21.622,1.0319210175407939e+06, 5, Upload, 
11-26-2022-11-41-21.622,884503.7293206805, 6, Upload, 
11-26-2022-11-41-21.622,278454.8777491031, 7, Upload, 
11-26-2022-11-41-21.622,261936.15366206918, 8, Upload, 
11-26-2022-11-41-21.622,916776.5378172421, 9, Upload, 
11-26-2022-11-41-21.622,1.0313736050443974e+06, 10, Upload, 
11-26-2022-11-41-21.622,523872.30732413835, 11, Upload, 
11-26-2022-11-41-21.622,916776.5378172421, 12, Upload, 
11-26-2022-11-41-21.622,327420.1920775865, 13, Upload, 
11-26-2022-11-41-21.622,818966.6763938954, 14, Upload, 
11-26-2022-11-41-21.622,507770.6594248351, 15, Upload, 
11-26-2022-11-41-21.622,1.0319210175407939e+06, 16, Upload, 
11-26-2022-11-41-21.622,212936.08298460828, 17, Upload, 
11-26-2022-11-41-21.622,900883.4280118042, 18, Upload, 
11-26-2022-11-41-21.622,949518.5570250008, 19, Upload, 
11-26-2022-11-41-22.623,196427.42426886962, 0, Upload, 
11-26-2022-11-41-22.623,474699.6086497682, 1, Upload, 
11-26-2022-11-41-22.623,212796.3762912754, 2, Upload, 
11-26-2022-11-41-22.623,671127.0329186379, 3, Upload, 
11-26-2022-11-41-22.623,720233.8889858553, 4, Upload, 
11-26-2022-11-41-22.623,834816.5531426959, 5, Upload, 
11-26-2022-11-41-22.623,409223.80056014506, 6, Upload, 
