Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-26-2022-11-39-49.085,1.475913797950444e+07, 20, 
11-26-2022-11-39-50.087,7.835242124234526e+06, 20, 
11-26-2022-11-39-51.089,6.784749042936038e+06, 20, 
11-26-2022-11-39-52.090,8.198924081394887e+06, 20, 
11-26-2022-11-39-53.091,7.417540729926601e+06, 20, 
11-26-2022-11-39-54.092,9.985717498364322e+06, 20, 
11-26-2022-11-39-55.092,1.1973434055159535e+07, 20, 
11-26-2022-11-39-56.092,1.274104019168207e+07, 20, 
11-26-2022-11-39-57.093,1.0527258682937507e+07, 20, 
11-26-2022-11-39-58.093,1.3137630815477926e+07, 20, 
11-26-2022-11-39-59.094,1.3665505452711122e+07, 20, 
11-26-2022-11-40-00.094,1.227083434785204e+07, 20, 
11-26-2022-11-40-01.095,1.1155946629850473e+07, 20, 
11-26-2022-11-40-02.095,1.0921607800143315e+07, 20, 
11-26-2022-11-40-03.096,1.2577703572950441e+07, 20, 
11-26-2022-11-40-04.096,1.2856139413719723e+07, 20, 
11-26-2022-11-40-05.098,9.156175531552345e+06, 20, 
11-26-2022-11-40-06.098,1.3614330706015898e+07, 20, 
11-26-2022-11-40-07.099,1.2208037761776906e+07, 20, 
11-26-2022-11-40-08.101,1.2500147047324672e+07, 20, 
11-26-2022-11-40-09.104,1.3764132147990827e+07, 20, 
11-26-2022-11-40-10.104,1.4643453557786435e+07, 20, 
11-26-2022-11-40-11.105,1.1418191038823446e+07, 20, 
11-26-2022-11-40-12.106,9.896894699920703e+06, 20, 
11-26-2022-11-40-13.107,1.2905384677282717e+07, 20, 
11-26-2022-11-40-14.107,1.0779484100852085e+07, 20, 
11-26-2022-11-40-15.108,1.4713285925328646e+07, 20, 
11-26-2022-11-40-16.109,9.460973536114229e+06, 20, 
11-26-2022-11-40-17.109,1.2300374078050556e+07, 20, 
11-26-2022-11-40-18.109,1.2204006539288975e+07, 20, 
11-26-2022-11-40-19.111,1.2794452751938652e+07, 20, 
11-26-2022-11-40-20.112,1.2417781193955822e+07, 20, 
11-26-2022-11-40-21.111,1.3474431018501945e+07, 20, 
11-26-2022-11-40-22.112,1.3463592765858922e+07, 20, 
