Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-26-2022-11-58-13.554,3, 0.1503194,0.055349,14415, Foreign,
11-26-2022-11-58-13.654,3, 0.1446429,0.042902,14415, Foreign,
11-26-2022-11-58-13.754,3, 0.1701484,0.044489,14415, Foreign,
11-26-2022-11-58-13.955,3, 0.1243445,0.040759,14415, Foreign,
11-26-2022-11-58-14.055,3, 0.1351053,0.042521,14415, Foreign,
11-26-2022-11-58-14.359,3, 0.1366138,0.043342,14415, Foreign,
11-26-2022-11-58-13.353,3, 0.8560086,0.042065,6075, Foreign,
11-26-2022-11-58-14.559,3, 0.2182967,0.037608,14415, Foreign,
11-26-2022-11-58-14.661,3, 0.1234824,0.0409,14415, Foreign,
11-26-2022-11-58-14.964,3, 0.345188,0.037521,14415, Foreign,
11-26-2022-11-58-14.459,3, 0.9292537,0.044978,14415, Foreign,
11-26-2022-11-58-15.366,3, 0.1573388,0.044865,14415, Foreign,
11-26-2022-11-58-15.266,3, 0.4576156,0.049258,14415, Foreign,
11-26-2022-11-58-15.468,3, 0.4016839,0.040037,14415, Foreign,
11-26-2022-11-58-15.768,3, 0.1216455,0.038255,14415, Foreign,
11-26-2022-11-58-14.761,3, 0.9076279,0.037567,6075, Foreign,
11-26-2022-11-58-15.869,3, 0.1289179,0.041386,14415, Foreign,
11-26-2022-11-58-15.970,3, 0.14806,0.046993,14415, Foreign,
11-26-2022-11-58-16.071,3, 0.1514744,0.051229,14415, Foreign,
11-26-2022-11-58-16.171,3, 0.1177365,0.040844,14415, Foreign,
11-26-2022-11-58-15.165,3, 0.8226886,0.036729,6075, Foreign,
11-26-2022-11-58-15.064,3, 0.9311028,0.044864,6075, Foreign,
11-26-2022-11-58-14.864,3, 1.1494946,0.041659,6075, Foreign,
11-26-2022-11-58-15.568,3, 0.8242934,0.039504,14415, Foreign,
11-26-2022-11-58-16.273,3, 0.1314192,0.040753,14415, Foreign,
11-26-2022-11-58-16.373,3, 0.3914337,0.046051,14415, Foreign,
11-26-2022-11-58-14.155,3, 2.6231118,0.052792,14415, Foreign,
11-26-2022-11-58-16.677,3, 0.1212621,0.038329,14415, Foreign,
11-26-2022-11-58-15.668,3, 1.1850354,0.036526,14415, Foreign,
11-26-2022-11-58-16.779,3, 0.120941,0.040466,14415, Foreign,
11-26-2022-11-58-13.453,3, 3.5645769,0.043836,14415, Foreign,
11-26-2022-11-58-16.979,3, 0.4077811,0.048323,14415, Foreign,
11-26-2022-11-58-17.279,3, 0.1470954,0.033466,14415, Foreign,
11-26-2022-11-58-17.380,3, 0.2955934,0.046726,14415, Foreign,
11-26-2022-11-58-17.582,3, 0.1672576,0.044826,14415, Foreign,
11-26-2022-11-58-17.682,3, 0.1142254,0.034506,14415, Foreign,
