Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-26-2022-11-19-44.503,3, 0.0489801,0.015528,14415, Foreign,
11-26-2022-11-19-44.604,3, 0.0499058,0.016619,14415, Foreign,
11-26-2022-11-19-44.738,3, 0.0541206,0.016313,14415, Foreign,
11-26-2022-11-19-44.839,3, 0.0619506,0.021513,14415, Foreign,
11-26-2022-11-19-44.939,3, 0.0816292,0.016233,14415, Foreign,
11-26-2022-11-19-45.039,3, 0.06071,0.016682,14415, Foreign,
11-26-2022-11-19-45.139,3, 0.0730557,0.022885,14415, Foreign,
11-26-2022-11-19-45.240,3, 0.0558399,0.017795,14415, Foreign,
11-26-2022-11-19-45.340,3, 0.0811993,0.02364,14415, Foreign,
11-26-2022-11-19-45.447,3, 0.0845453,0.030825,14415, Foreign,
11-26-2022-11-19-45.547,3, 0.0694536,0.021199,14415, Foreign,
11-26-2022-11-19-45.750,3, 0.0935367,0.029914,14415, Foreign,
11-26-2022-11-19-45.850,3, 0.0823063,0.026733,14415, Foreign,
11-26-2022-11-19-45.951,3, 0.1025904,0.029403,14415, Foreign,
11-26-2022-11-19-46.052,3, 0.097332,0.031448,14415, Foreign,
11-26-2022-11-19-46.274,3, 0.0888335,0.030485,14415, Foreign,
11-26-2022-11-19-46.375,3, 0.0958223,0.028485,14415, Foreign,
11-26-2022-11-19-46.161,3, 0.3359378,0.022236,14415, Foreign,
11-26-2022-11-19-46.590,3, 0.0907942,0.027316,14415, Foreign,
11-26-2022-11-19-45.648,3, 0.924658,0.039403,6075, Foreign,
11-26-2022-11-19-46.792,3, 0.0960509,0.034248,14415, Foreign,
11-26-2022-11-19-46.487,3, 0.4447275,0.040332,14415, Foreign,
11-26-2022-11-19-46.893,3, 0.1068632,0.033765,14415, Foreign,
11-26-2022-11-19-46.993,3, 0.07143,0.021042,14415, Foreign,
11-26-2022-11-19-47.093,3, 0.0971969,0.033863,14415, Foreign,
11-26-2022-11-19-46.692,3, 0.5146167,0.032376,14415, Foreign,
11-26-2022-11-19-47.195,3, 0.1065496,0.035021,14415, Foreign,
11-26-2022-11-19-47.296,3, 0.178944,0.028646,14415, Foreign,
11-26-2022-11-19-47.396,3, 0.1435561,0.035953,14415, Foreign,
11-26-2022-11-19-47.500,3, 0.0910604,0.026965,14415, Foreign,
11-26-2022-11-19-47.711,3, 0.1005976,0.029699,14415, Foreign,
11-26-2022-11-19-47.811,3, 0.1175653,0.039596,14415, Foreign,
11-26-2022-11-19-47.609,3, 0.3869601,0.034816,14415, Foreign,
11-26-2022-11-19-48.013,3, 0.1053295,0.028615,14415, Foreign,
11-26-2022-11-19-48.118,3, 0.1059751,0.035202,14415, Foreign,
11-26-2022-11-19-48.223,3, 0.1003487,0.022623,14415, Foreign,
11-26-2022-11-19-48.324,3, 0.0960909,0.028293,14415, Foreign,
11-26-2022-11-19-48.424,3, 0.0937424,0.02941,14415, Foreign,
11-26-2022-11-19-48.528,3, 0.105765,0.030685,14415, Foreign,
11-26-2022-11-19-48.729,3, 0.116943,0.03617,14415, Foreign,
11-26-2022-11-19-48.834,3, 0.1136402,0.035714,14415, Foreign,
11-26-2022-11-19-48.935,3, 0.1372072,0.034719,14415, Foreign,
11-26-2022-11-19-49.241,3, 0.1140154,0.03683,14415, Foreign,
11-26-2022-11-19-49.138,3, 0.2572618,0.036847,14415, Foreign,
11-26-2022-11-19-49.346,3, 0.1567052,0.036725,14415, Foreign,
11-26-2022-11-19-49.446,3, 0.1576743,0.036586,14415, Foreign,
