Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-26-2022-11-19-44.503,1, 0.0159851,0.018463,105393, SelfUp,
11-26-2022-11-19-44.503,1, 0.0328248,0.015273,15546, SelfDown,
11-26-2022-11-19-44.604,1, 0.0182635,0.015441,20133, SelfDown,
11-26-2022-11-19-44.604,1, 0.0504122,0.020888,313469, SelfUp,
11-26-2022-11-19-44.737,1, 0.0274722,0.026781,379498, SelfUp,
11-26-2022-11-19-44.738,1, 0.1221874,0.028601,35951, SelfDown,
11-26-2022-11-19-44.839,1, 0.0222456,0.02549,415996, SelfUp,
11-26-2022-11-19-44.839,1, 0.0238358,0.027774,35959, SelfDown,
11-26-2022-11-19-44.939,1, 0.0150256,0.02175,450729, SelfUp,
11-26-2022-11-19-44.939,1, 0.0205731,0.015782,42623, SelfDown,
11-26-2022-11-19-45.039,1, 0.01582,0.022614,481705, SelfUp,
11-26-2022-11-19-45.039,1, 0.0317211,0.020555,46607, SelfDown,
11-26-2022-11-19-45.139,1, 0.0248481,0.024743,512709, SelfUp,
11-26-2022-11-19-45.139,1, 0.0248481,0.025091,49490, SelfDown,
11-26-2022-11-19-45.240,1, 0.0244959,0.023507,531973, SelfUp,
11-26-2022-11-19-45.240,1, 0.0380137,0.019964,53768, SelfDown,
11-26-2022-11-19-45.340,1, 0.0182765,0.018893,559496, SelfUp,
11-26-2022-11-19-45.340,1, 0.043407,0.026607,57082, SelfDown,
11-26-2022-11-19-45.447,1, 0.0346342,0.032468,583882, SelfUp,
11-26-2022-11-19-45.447,1, 0.049533,0.034553,59106, SelfDown,
11-26-2022-11-19-45.547,1, 0.0240714,0.022823,603381, SelfUp,
11-26-2022-11-19-45.547,1, 0.024699,0.018461,62677, SelfDown,
11-26-2022-11-19-45.648,1, 0.0342855,0.032548,635552, SelfUp,
11-26-2022-11-19-45.648,1, 0.072881,0.032487,65337, SelfDown,
11-26-2022-11-19-45.750,1, 0.0300834,0.028271,656164, SelfUp,
11-26-2022-11-19-45.750,1, 0.0906931,0.025892,68589, SelfDown,
11-26-2022-11-19-45.850,1, 0.0287181,0.027988,677563, SelfUp,
11-26-2022-11-19-45.850,1, 0.0802477,0.028144,69621, SelfDown,
11-26-2022-11-19-45.951,1, 0.0272542,0.023839,693485, SelfUp,
11-26-2022-11-19-45.951,1, 0.0292532,0.026606,71593, SelfDown,
11-26-2022-11-19-46.052,1, 0.0338958,0.033489,708460, SelfUp,
11-26-2022-11-19-46.052,1, 0.0401748,0.035157,72720, SelfDown,
11-26-2022-11-19-46.161,1, 0.0220082,0.027238,75504, SelfDown,
11-26-2022-11-19-46.161,1, 0.0300928,0.030482,722180, SelfUp,
11-26-2022-11-19-46.274,1, 0.0450222,0.029896,81616, SelfDown,
11-26-2022-11-19-46.274,1, 0.0643195,0.026414,737066, SelfUp,
11-26-2022-11-19-46.375,1, 0.0275852,0.027995,738490, SelfUp,
11-26-2022-11-19-46.375,1, 0.0294009,0.029688,83855, SelfDown,
11-26-2022-11-19-46.487,1, 0.0408228,0.034522,753774, SelfUp,
11-26-2022-11-19-46.487,1, 0.1091119,0.039607,86560, SelfDown,
11-26-2022-11-19-46.590,1, 0.0231648,0.037583,86563, SelfDown,
11-26-2022-11-19-46.590,1, 0.0238716,0.038271,759256, SelfUp,
11-26-2022-11-19-46.692,1, 0.0310785,0.037746,766098, SelfUp,
11-26-2022-11-19-46.692,1, 0.0625716,0.035083,89468, SelfDown,
11-26-2022-11-19-46.792,1, 0.0715019,0.037003,770191, SelfUp,
11-26-2022-11-19-46.792,1, 0.0855014,0.035868,91095, SelfDown,
11-26-2022-11-19-46.893,1, 0.0358793,0.033387,779596, SelfUp,
11-26-2022-11-19-46.893,1, 0.1190077,0.03376,100241, SelfDown,
11-26-2022-11-19-46.993,1, 0.0196665,0.032972,790461, SelfUp,
11-26-2022-11-19-46.993,1, 0.0226885,0.03376,100241, SelfDown,
11-26-2022-11-19-47.093,1, 0.0346337,0.028083,809568, SelfUp,
11-26-2022-11-19-47.093,1, 0.0556837,0.027167,102516, SelfDown,
11-26-2022-11-19-47.195,1, 0.0344053,0.03269,828840, SelfUp,
11-26-2022-11-19-47.195,1, 0.1132774,0.035066,104348, SelfDown,
11-26-2022-11-19-47.296,1, 0.0215244,0.033362,104350, SelfDown,
11-26-2022-11-19-47.296,1, 0.0215244,0.030822,835708, SelfUp,
11-26-2022-11-19-47.396,1, 0.0326721,0.033928,855125, SelfUp,
11-26-2022-11-19-47.396,1, 0.0343896,0.03464,120558, SelfDown,
11-26-2022-11-19-47.500,1, 0.0314149,0.027179,121815, SelfDown,
11-26-2022-11-19-47.500,1, 0.0384756,0.035991,864122, SelfUp,
11-26-2022-11-19-47.609,1, 0.0340843,0.037101,871163, SelfUp,
11-26-2022-11-19-47.609,1, 0.0579579,0.038587,123626, SelfDown,
11-26-2022-11-19-47.711,1, 0.0283158,0.036585,881070, SelfUp,
11-26-2022-11-19-47.711,1, 0.029382,0.033815,124867, SelfDown,
11-26-2022-11-19-47.811,1, 0.0448994,0.038979,893305, SelfUp,
11-26-2022-11-19-47.811,1, 0.0981106,0.034965,126971, SelfDown,
11-26-2022-11-19-47.911,1, 0.0426567,0.036463,901423, SelfUp,
11-26-2022-11-19-47.911,1, 0.1171181,0.036618,128322, SelfDown,
11-26-2022-11-19-48.013,1, 0.0347616,0.022993,128566, SelfDown,
11-26-2022-11-19-48.013,1, 0.068222,0.036029,903576, SelfUp,
11-26-2022-11-19-48.118,1, 0.0342539,0.034991,912963, SelfUp,
11-26-2022-11-19-48.118,1, 0.1095439,0.029712,141816, SelfDown,
11-26-2022-11-19-48.223,1, 0.0184495,0.027559,924354, SelfUp,
11-26-2022-11-19-48.223,1, 0.0195563,0.028429,141818, SelfDown,
11-26-2022-11-19-48.324,1, 0.0268248,0.034706,933477, SelfUp,
11-26-2022-11-19-48.324,1, 0.0465241,0.024967,163581, SelfDown,
11-26-2022-11-19-48.424,1, 0.0310683,0.033531,943478, SelfUp,
11-26-2022-11-19-48.424,1, 0.0337446,0.029701,164249, SelfDown,
11-26-2022-11-19-48.528,1, 0.0203867,0.02725,956618, SelfUp,
11-26-2022-11-19-48.528,1, 0.0234984,0.029575,165255, SelfDown,
11-26-2022-11-19-48.629,1, 0.0834387,0.033982,166365, SelfDown,
11-26-2022-11-19-48.629,1, 0.1005682,0.032807,975532, SelfUp,
11-26-2022-11-19-48.729,1, 0.0361312,0.033903,979018, SelfUp,
11-26-2022-11-19-48.729,1, 0.0700413,0.034174,166992, SelfDown,
11-26-2022-11-19-48.834,1, 0.0339796,0.036457,986381, SelfUp,
11-26-2022-11-19-48.935,1, 0.0344055,0.037043,994634, SelfUp,
11-26-2022-11-19-48.834,1, 0.1912148,0.034083,168067, SelfDown,
11-26-2022-11-19-48.935,1, 0.1064465,0.034083,168067, SelfDown,
11-26-2022-11-19-49.035,1, 0.1593397,0.037566,1004372, SelfUp,
11-26-2022-11-19-49.138,1, 0.0560089,0.037566,1004372, SelfUp,
11-26-2022-11-19-49.035,1, 0.1652948,0.034663,169182, SelfDown,
11-26-2022-11-19-49.241,1, 0.06858,0.036845,1006462, SelfUp,
11-26-2022-11-19-49.138,1, 0.2180168,0.035643,169652, SelfDown,
11-26-2022-11-19-49.241,1, 0.1288057,0.035643,169652, SelfDown,
11-26-2022-11-19-49.346,1, 0.034766,0.035454,169653, SelfDown,
11-26-2022-11-19-49.346,1, 0.0376019,0.036498,1013262, SelfUp,
11-26-2022-11-19-49.446,1, 0.0344169,0.035569,1019552, SelfUp,
11-26-2022-11-19-49.446,1, 0.1015586,0.03414,170998, SelfDown,
11-26-2022-11-19-49.547,1, 0.0402389,0.039009,1032334, SelfUp,
11-26-2022-11-19-49.650,1, 0.0332448,0.037398,1039196, SelfUp,
11-26-2022-11-19-49.547,1, 0.1707715,0.03502,171525, SelfDown,
11-26-2022-11-19-49.650,1, 0.1097091,0.038799,172110, SelfDown,
11-26-2022-11-19-49.752,1, 0.0329039,0.03814,1048538, SelfUp,
11-26-2022-11-19-49.752,1, 0.1438451,0.034483,172495, SelfDown,
11-26-2022-11-19-49.852,1, 0.0578451,0.036986,1049539, SelfUp,
11-26-2022-11-19-49.852,1, 0.115996,0.035135,173202, SelfDown,
11-26-2022-11-19-49.952,1, 0.032927,0.035701,1054515, SelfUp,
11-26-2022-11-19-50.055,1, 0.0708396,0.038047,1061752, SelfUp,
11-26-2022-11-19-49.952,1, 0.2524605,0.035319,173560, SelfDown,
11-26-2022-11-19-50.161,1, 0.0650912,0.036136,1062738, SelfUp,
