Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-26-2022-11-19-45.402,4.036416280261726e+07, 1, 
11-26-2022-11-19-46.403,5.8336696062682614e+07, 2, 
11-26-2022-11-19-47.403,6.418609682272473e+07, 3, 
11-26-2022-11-19-48.403,7.045079041070922e+07, 4, 
11-26-2022-11-19-49.404,6.834786739547323e+07, 5, 
11-26-2022-11-19-50.405,5.687769589477474e+07, 6, 
11-26-2022-11-19-51.410,6.855823100827245e+07, 7, 
11-26-2022-11-19-52.412,6.4817371245974496e+07, 8, 
11-26-2022-11-19-53.414,5.88243735620645e+07, 9, 
11-26-2022-11-19-54.415,7.572839488156326e+07, 10, 
11-26-2022-11-19-55.415,6.279822499976005e+07, 11, 
11-26-2022-11-19-56.416,7.241000951508726e+07, 12, 
11-26-2022-11-19-57.416,6.1350396204448625e+07, 13, 
11-26-2022-11-19-58.417,7.574692151233524e+07, 14, 
11-26-2022-11-19-59.419,6.054971364922079e+07, 15, 
11-26-2022-11-20-00.419,7.277927244729324e+07, 16, 
11-26-2022-11-20-01.424,6.196434331664182e+07, 17, 
11-26-2022-11-20-02.424,6.845662981034556e+07, 18, 
11-26-2022-11-20-03.425,6.859047532660009e+07, 19, 
