Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-19-45.402,1.8170014177339636e+06, 0, Upload, 
11-26-2022-11-19-45.402,4.036416280261726e+07, 0, Download, 
11-26-2022-11-19-46.403,1.6380098260594325e+06, 0, Upload, 
11-26-2022-11-19-46.403,999185.9938962539, 1, Upload, 
11-26-2022-11-19-46.403,4.654487931612051e+07, 0, Download, 
11-26-2022-11-19-46.403,1.1791816746562103e+07, 1, Download, 
11-26-2022-11-19-47.403,4.33693219722042e+07, 0, Download, 
11-26-2022-11-19-47.403,1.8016061175987434e+07, 1, Download, 
11-26-2022-11-19-47.403,2.8007136745331017e+06, 2, Download, 
11-26-2022-11-19-47.403,1.3921137809907855e+06, 0, Upload, 
11-26-2022-11-19-47.403,491334.2756438067, 1, Upload, 
11-26-2022-11-19-47.403,1.0482742018572852e+06, 2, Upload, 
11-26-2022-11-19-48.403,1.2285912623445278e+06, 0, Upload, 
11-26-2022-11-19-48.403,1.4415470811509124e+06, 1, Upload, 
11-26-2022-11-19-48.403,638867.4564191544, 2, Upload, 
11-26-2022-11-19-48.403,0, 3, Upload, 
11-26-2022-11-19-48.403,5.084384163130684e+07, 0, Download, 
11-26-2022-11-19-48.403,1.46437280306076e+07, 1, Download, 
11-26-2022-11-19-48.403,4.96322074879478e+06, 2, Download, 
11-26-2022-11-19-48.403,0, 3, Download, 
11-26-2022-11-19-49.404,1.1951462770940457e+06, 0, Upload, 
11-26-2022-11-19-49.404,1.3752368119986278e+06, 1, Upload, 
11-26-2022-11-19-49.404,1.0477994758084784e+06, 2, Upload, 
11-26-2022-11-19-49.404,949568.2749514335, 3, Upload, 
11-26-2022-11-19-49.404,1.0150557421894635e+06, 4, Upload, 
11-26-2022-11-19-49.404,3.316709986229206e+07, 0, Download, 
11-26-2022-11-19-49.404,1.2605546029837288e+07, 1, Download, 
11-26-2022-11-19-49.404,4.943872096389366e+06, 2, Download, 
11-26-2022-11-19-49.404,9.429547762153469e+06, 3, Download, 
11-26-2022-11-19-49.404,8.201801644801038e+06, 4, Download, 
11-26-2022-11-19-50.405,1.7174641315203905e+07, 0, Download, 
11-26-2022-11-19-50.405,5.861206277810901e+06, 1, Download, 
11-26-2022-11-19-50.405,3.0944459845671053e+06, 2, Download, 
11-26-2022-11-19-50.405,1.4260375690881593e+07, 3, Download, 
11-26-2022-11-19-50.405,1.6487026626311235e+07, 4, Download, 
11-26-2022-11-19-50.405,0, 5, Download, 
11-26-2022-11-19-50.405,1.0806504385485395e+06, 0, Upload, 
11-26-2022-11-19-50.405,425710.778822152, 1, Upload, 
11-26-2022-11-19-50.405,1.2607588449732962e+06, 2, Upload, 
11-26-2022-11-19-50.405,556698.7107674296, 3, Upload, 
11-26-2022-11-19-50.405,753180.6086853459, 4, Upload, 
11-26-2022-11-19-50.405,0, 5, Upload, 
11-26-2022-11-19-51.410,2.2450884766361535e+07, 0, Download, 
11-26-2022-11-19-51.410,5.506849162491188e+06, 1, Download, 
11-26-2022-11-19-51.410,3.6657538693113923e+06, 2, Download, 
11-26-2022-11-19-51.410,1.334345578395821e+07, 3, Download, 
11-26-2022-11-19-51.410,2.2548574238111224e+07, 4, Download, 
11-26-2022-11-19-51.410,1.0427131880389071e+06, 5, Download, 
11-26-2022-11-19-51.410,0, 6, Download, 
11-26-2022-11-19-51.410,928516.0702754216, 0, Upload, 
11-26-2022-11-19-51.410,749328.758467884, 1, Upload, 
11-26-2022-11-19-51.410,1.0262546039886238e+06, 2, Upload, 
11-26-2022-11-19-51.410,1.1402828933206932e+06, 3, Upload, 
11-26-2022-11-19-51.410,700459.4916112829, 4, Upload, 
11-26-2022-11-19-51.410,0, 5, Upload, 
11-26-2022-11-19-51.410,684169.7359924159, 6, Upload, 
11-26-2022-11-19-52.412,1.1291488125517445e+06, 0, Upload, 
