Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-26-2022-11-19-45.402,1.8170014177339636e+06, 1, 
11-26-2022-11-19-46.403,2.637195819955686e+06, 2, 
11-26-2022-11-19-47.403,2.9317222584918775e+06, 3, 
11-26-2022-11-19-48.403,3.3090057999145947e+06, 4, 
11-26-2022-11-19-49.404,5.582806582042049e+06, 5, 
11-26-2022-11-19-50.405,4.076999381796763e+06, 6, 
11-26-2022-11-19-51.410,5.229011553656321e+06, 7, 
11-26-2022-11-19-52.412,4.958436089901138e+06, 8, 
11-26-2022-11-19-53.414,6.423121217553733e+06, 9, 
11-26-2022-11-19-54.414,8.327567720463281e+06, 10, 
11-26-2022-11-19-55.414,8.812632951694839e+06, 11, 
11-26-2022-11-19-56.414,1.10259380379759e+07, 12, 
11-26-2022-11-19-57.414,7.042964852755058e+06, 13, 
11-26-2022-11-19-58.414,8.125281157634843e+06, 14, 
11-26-2022-11-19-59.419,8.94068415758577e+06, 15, 
11-26-2022-11-20-00.419,1.0419899981137257e+07, 16, 
11-26-2022-11-20-01.424,9.993065920716677e+06, 17, 
11-26-2022-11-20-02.424,1.039772405870867e+07, 18, 
11-26-2022-11-20-03.425,1.1440684721886175e+07, 19, 
