Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-26-2022-11-30-29.385,3, 0.0557862,0.017147,14415, Foreign,
11-26-2022-11-30-29.485,3, 0.0869923,0.018523,14415, Foreign,
11-26-2022-11-30-29.590,3, 0.0729495,0.026385,14415, Foreign,
11-26-2022-11-30-29.691,3, 0.0614919,0.017482,14415, Foreign,
11-26-2022-11-30-29.791,3, 0.0750422,0.025442,14415, Foreign,
11-26-2022-11-30-29.891,3, 0.0943393,0.032169,14415, Foreign,
11-26-2022-11-30-29.991,3, 0.1030369,0.032994,14415, Foreign,
11-26-2022-11-30-30.094,3, 0.1048879,0.017686,14415, Foreign,
11-26-2022-11-30-30.195,3, 0.095419,0.027887,14415, Foreign,
11-26-2022-11-30-30.299,3, 0.0710472,0.022337,14415, Foreign,
11-26-2022-11-30-30.402,3, 0.0806018,0.024941,14415, Foreign,
11-26-2022-11-30-30.504,3, 0.0827698,0.02023,14415, Foreign,
11-26-2022-11-30-30.607,3, 0.072191,0.028478,14415, Foreign,
11-26-2022-11-30-30.707,3, 0.0940224,0.026396,14415, Foreign,
11-26-2022-11-30-30.910,3, 0.1009855,0.033518,14415, Foreign,
11-26-2022-11-30-30.809,3, 0.3557671,0.023512,14415, Foreign,
11-26-2022-11-30-31.010,3, 0.2033146,0.030442,14415, Foreign,
11-26-2022-11-30-31.314,3, 0.1625877,0.036172,14415, Foreign,
11-26-2022-11-30-31.514,3, 0.1142891,0.029868,14415, Foreign,
11-26-2022-11-30-31.614,3, 0.1209066,0.037273,14415, Foreign,
11-26-2022-11-30-31.414,3, 0.4147384,0.034471,14415, Foreign,
11-26-2022-11-30-31.818,3, 0.0952668,0.032559,14415, Foreign,
11-26-2022-11-30-32.023,3, 0.0997502,0.035526,14415, Foreign,
11-26-2022-11-30-32.123,3, 0.1201804,0.032235,14415, Foreign,
11-26-2022-11-30-31.213,3, 0.8211003,0.036978,6075, Foreign,
11-26-2022-11-30-32.224,3, 0.1130012,0.033352,14415, Foreign,
11-26-2022-11-30-31.717,3, 0.6238785,0.037044,14415, Foreign,
11-26-2022-11-30-31.918,3, 0.4242185,0.041463,14415, Foreign,
11-26-2022-11-30-32.328,3, 0.1426403,0.025875,14415, Foreign,
11-26-2022-11-30-32.441,3, 0.1006925,0.034729,14415, Foreign,
11-26-2022-11-30-32.542,3, 0.1085741,0.037808,14415, Foreign,
11-26-2022-11-30-32.642,3, 0.3707852,0.03241,14415, Foreign,
11-26-2022-11-30-32.844,3, 0.2314786,0.046406,14415, Foreign,
11-26-2022-11-30-32.944,3, 0.214917,0.043618,14415, Foreign,
11-26-2022-11-30-33.155,3, 0.1017794,0.030389,14415, Foreign,
11-26-2022-11-30-33.255,3, 0.1027546,0.03623,14415, Foreign,
11-26-2022-11-30-33.355,3, 0.0972899,0.027904,14415, Foreign,
11-26-2022-11-30-33.051,3, 0.5490491,0.033684,14415, Foreign,
11-26-2022-11-30-33.566,3, 0.1255204,0.033038,14415, Foreign,
11-26-2022-11-30-33.677,3, 0.2000485,0.027884,14415, Foreign,
11-26-2022-11-30-33.780,3, 0.1057081,0.035299,14415, Foreign,
11-26-2022-11-30-33.880,3, 0.1207508,0.041415,14415, Foreign,
11-26-2022-11-30-33.983,3, 0.1581959,0.037207,14415, Foreign,
11-26-2022-11-30-34.088,3, 0.1098466,0.034729,14415, Foreign,
11-26-2022-11-30-34.188,3, 0.1091551,0.037219,14415, Foreign,
11-26-2022-11-30-34.288,3, 0.3797398,0.034704,14415, Foreign,
11-26-2022-11-30-33.464,3, 1.0768462,0.033612,6075, Foreign,
11-26-2022-11-30-34.697,3, 0.1473077,0.038631,14415, Foreign,
11-26-2022-11-30-34.809,3, 0.0924196,0.02519,14415, Foreign,
11-26-2022-11-30-34.493,3, 0.4240905,0.043634,14415, Foreign,
