Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-26-2022-11-30-29.385,1, 0.0168527,0.016628,180691, SelfUp,
11-26-2022-11-30-29.385,1, 0.0197656,0.015322,15546, SelfDown,
11-26-2022-11-30-29.485,1, 0.0147924,0.01497,24613, SelfDown,
11-26-2022-11-30-29.485,1, 0.0147924,0.017044,420731, SelfUp,
11-26-2022-11-30-29.590,1, 0.027747,0.034038,568049, SelfUp,
11-26-2022-11-30-29.590,1, 0.0371818,0.029747,44110, SelfDown,
11-26-2022-11-30-29.691,1, 0.018795,0.020072,587037, SelfUp,
11-26-2022-11-30-29.691,1, 0.0311542,0.018581,65520, SelfDown,
11-26-2022-11-30-29.791,1, 0.0263309,0.025918,68029, SelfDown,
11-26-2022-11-30-29.791,1, 0.0263309,0.025613,608768, SelfUp,
11-26-2022-11-30-29.891,1, 0.0306381,0.027475,608768, SelfUp,
11-26-2022-11-30-29.891,1, 0.0672643,0.031816,76824, SelfDown,
11-26-2022-11-30-29.991,1, 0.0296237,0.032921,608768, SelfUp,
11-26-2022-11-30-29.991,1, 0.0305659,0.029385,81123, SelfDown,
11-26-2022-11-30-30.094,1, 0.014083,0.026055,83950, SelfDown,
11-26-2022-11-30-30.094,1, 0.015083,0.023749,608768, SelfUp,
11-26-2022-11-30-30.195,1, 0.0303747,0.026553,90285, SelfDown,
11-26-2022-11-30-30.195,1, 0.0352978,0.028022,608768, SelfUp,
11-26-2022-11-30-30.299,1, 0.0384409,0.030087,608768, SelfUp,
11-26-2022-11-30-30.299,1, 0.050767,0.021595,97745, SelfDown,
11-26-2022-11-30-30.402,1, 0.024232,0.026814,608768, SelfUp,
11-26-2022-11-30-30.403,1, 0.080204,0.024453,101218, SelfDown,
11-26-2022-11-30-30.504,1, 0.0164133,0.018422,105041, SelfDown,
11-26-2022-11-30-30.504,1, 0.0378039,0.027069,608768, SelfUp,
11-26-2022-11-30-30.607,1, 0.0372439,0.033256,608768, SelfUp,
11-26-2022-11-30-30.607,1, 0.0690097,0.031705,108424, SelfDown,
11-26-2022-11-30-30.707,1, 0.0249306,0.022547,608768, SelfUp,
11-26-2022-11-30-30.707,1, 0.0249306,0.021847,111453, SelfDown,
11-26-2022-11-30-30.809,1, 0.020101,0.032051,608768, SelfUp,
11-26-2022-11-30-30.809,1, 0.0322503,0.019979,114768, SelfDown,
11-26-2022-11-30-30.910,1, 0.1015717,0.037764,118254, SelfDown,
11-26-2022-11-30-31.010,1, 0.0231833,0.025661,119075, SelfDown,
11-26-2022-11-30-30.910,1, 0.2978718,0.040796,608768, SelfUp,
11-26-2022-11-30-31.112,1, 0.0982249,0.029998,123511, SelfDown,
11-26-2022-11-30-31.010,1, 0.2290071,0.034929,608768, SelfUp,
11-26-2022-11-30-31.112,1, 0.1275588,0.034929,608768, SelfUp,
11-26-2022-11-30-31.213,1, 0.0530911,0.037127,608768, SelfUp,
11-26-2022-11-30-31.213,1, 0.0813597,0.034878,124710, SelfDown,
11-26-2022-11-30-31.314,1, 0.0687534,0.037389,608768, SelfUp,
11-26-2022-11-30-31.314,1, 0.1080317,0.032378,127686, SelfDown,
11-26-2022-11-30-31.414,1, 0.0335253,0.036448,608768, SelfUp,
11-26-2022-11-30-31.514,1, 0.0328951,0.035156,608768, SelfUp,
11-26-2022-11-30-31.414,1, 0.160859,0.035755,129256, SelfDown,
11-26-2022-11-30-31.514,1, 0.0621766,0.035755,129256, SelfDown,
11-26-2022-11-30-31.614,1, 0.0754709,0.033649,608768, SelfUp,
11-26-2022-11-30-31.614,1, 0.1110522,0.032848,132709, SelfDown,
11-26-2022-11-30-31.717,1, 0.0352444,0.033105,132713, SelfDown,
11-26-2022-11-30-31.717,1, 0.0439535,0.036059,608768, SelfUp,
11-26-2022-11-30-31.818,1, 0.0360033,0.033668,608768, SelfUp,
11-26-2022-11-30-31.818,1, 0.0968428,0.03259,136329, SelfDown,
11-26-2022-11-30-31.918,1, 0.0412321,0.03598,608768, SelfUp,
11-26-2022-11-30-32.023,1, 0.0373064,0.03677,608768, SelfUp,
11-26-2022-11-30-31.918,1, 0.1503557,0.040096,138534, SelfDown,
11-26-2022-11-30-32.023,1, 0.12369,0.024184,139542, SelfDown,
11-26-2022-11-30-32.123,1, 0.0313645,0.028675,608768, SelfUp,
11-26-2022-11-30-32.123,1, 0.0313645,0.024173,139638, SelfDown,
11-26-2022-11-30-32.224,1, 0.0673045,0.03716,608768, SelfUp,
11-26-2022-11-30-32.224,1, 0.1082521,0.033589,142675, SelfDown,
11-26-2022-11-30-32.328,1, 0.0273878,0.024193,143250, SelfDown,
11-26-2022-11-30-32.328,1, 0.0361419,0.028283,608768, SelfUp,
11-26-2022-11-30-32.441,1, 0.0628818,0.029593,608768, SelfUp,
11-26-2022-11-30-32.441,1, 0.0645441,0.033101,145775, SelfDown,
11-26-2022-11-30-32.542,1, 0.0373952,0.036416,608768, SelfUp,
11-26-2022-11-30-32.542,1, 0.1314807,0.03237,148941, SelfDown,
11-26-2022-11-30-32.642,1, 0.0313038,0.034706,608768, SelfUp,
11-26-2022-11-30-32.642,1, 0.0370926,0.03237,148941, SelfDown,
11-26-2022-11-30-32.743,1, 0.1102427,0.03485,151621, SelfDown,
11-26-2022-11-30-32.844,1, 0.0801636,0.031398,152651, SelfDown,
