Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-26-2022-11-30-30.285,4.883022664065327e+07, 1, 
11-26-2022-11-30-31.291,5.9582613471401006e+07, 2, 
11-26-2022-11-30-32.292,6.699724839389731e+07, 3, 
11-26-2022-11-30-33.292,7.202983902081296e+07, 4, 
11-26-2022-11-30-34.296,6.75615824398098e+07, 5, 
11-26-2022-11-30-35.297,6.467456237944484e+07, 6, 
11-26-2022-11-30-36.297,7.145461756756207e+07, 7, 
11-26-2022-11-30-37.298,6.755845742896971e+07, 8, 
11-26-2022-11-30-38.298,6.942785108610709e+07, 9, 
11-26-2022-11-30-39.300,6.196094302419874e+07, 10, 
11-26-2022-11-30-40.305,6.310271039618717e+07, 11, 
11-26-2022-11-30-41.311,6.414903019996672e+07, 12, 
11-26-2022-11-30-42.311,7.758615219896536e+07, 13, 
11-26-2022-11-30-43.312,6.492113255333285e+07, 14, 
11-26-2022-11-30-44.313,7.024283080584951e+07, 15, 
11-26-2022-11-30-45.315,6.634594528012014e+07, 16, 
11-26-2022-11-30-46.315,6.6428081940147884e+07, 17, 
11-26-2022-11-30-47.318,6.187028532407516e+07, 18, 
11-26-2022-11-30-48.318,7.251560069537014e+07, 19, 
11-26-2022-11-30-49.318,6.871251276373428e+07, 20, 
11-26-2022-11-30-50.319,6.37382012925564e+07, 21, 
11-26-2022-11-30-51.319,6.957154820166472e+07, 22, 
11-26-2022-11-30-52.321,6.3562012438979045e+07, 23, 
11-26-2022-11-30-53.323,7.386455321145219e+07, 24, 
11-26-2022-11-30-54.323,6.559347763025125e+07, 25, 
11-26-2022-11-30-55.328,6.3526305891624205e+07, 26, 
11-26-2022-11-30-56.329,6.935865429441449e+07, 27, 
11-26-2022-11-30-57.331,6.796961215960741e+07, 28, 
11-26-2022-11-30-58.333,6.725820569211861e+07, 29, 
11-26-2022-11-30-59.333,6.598645609749562e+07, 30, 
11-26-2022-11-31-00.333,6.98127082254405e+07, 31, 
11-26-2022-11-31-01.333,6.8515817420433e+07, 32, 
11-26-2022-11-31-02.334,6.666204319628061e+07, 33, 
11-26-2022-11-31-03.334,6.936626556314053e+07, 34, 
11-26-2022-11-31-04.335,5.508363937534736e+07, 35, 
11-26-2022-11-31-05.335,7.006595581308989e+07, 36, 
11-26-2022-11-31-06.337,6.75031689013399e+07, 37, 
11-26-2022-11-31-07.346,7.35648305769803e+07, 38, 
11-26-2022-11-31-08.346,6.753369129811643e+07, 39, 
11-26-2022-11-31-09.347,6.738448458525375e+07, 40, 
11-26-2022-11-31-10.347,7.012844552119106e+07, 41, 
11-26-2022-11-31-11.348,7.051592915113203e+07, 42, 
11-26-2022-11-31-12.352,6.688191245622956e+07, 43, 
11-26-2022-11-31-13.352,6.466792863812365e+07, 44, 
11-26-2022-11-31-14.352,6.768395033295028e+07, 45, 
11-26-2022-11-31-15.356,6.947507287665294e+07, 46, 
11-26-2022-11-31-16.356,6.56048860173907e+07, 47, 
11-26-2022-11-31-17.356,6.94268368389516e+07, 48, 
11-26-2022-11-31-18.357,6.797451298147914e+07, 49, 
11-26-2022-11-31-19.357,6.972249039742815e+07, 50, 
11-26-2022-11-31-20.357,6.973942998854476e+07, 51, 
11-26-2022-11-31-21.358,6.634316290953429e+07, 52, 
11-26-2022-11-31-22.360,6.885780443376076e+07, 53, 
11-26-2022-11-31-23.363,6.0741624499221064e+07, 54, 
11-26-2022-11-31-24.363,6.87799762427423e+07, 55, 
11-26-2022-11-31-25.368,6.900542107283612e+07, 56, 
11-26-2022-11-31-26.370,6.69846428873171e+07, 57, 
11-26-2022-11-31-27.370,7.396880905851327e+07, 58, 
11-26-2022-11-31-28.374,6.0543831046742834e+07, 59, 
11-26-2022-11-31-29.375,7.104394980727693e+07, 60, 
11-26-2022-11-31-30.381,6.660246621414976e+07, 61, 
11-26-2022-11-31-31.381,6.356127942267387e+07, 62, 
11-26-2022-11-31-32.381,6.705120006318094e+07, 63, 
11-26-2022-11-31-33.382,7.432071956857856e+07, 64, 
11-26-2022-11-31-34.384,6.077797449499034e+07, 65, 
11-26-2022-11-31-35.384,7.053415851467384e+07, 66, 
11-26-2022-11-31-36.384,6.365187462844269e+07, 67, 
11-26-2022-11-31-37.384,6.792860456559646e+07, 68, 
11-26-2022-11-31-38.386,6.634070738502039e+07, 69, 
11-26-2022-11-31-39.386,6.837712594740005e+07, 70, 
11-26-2022-11-31-40.387,6.596777092002843e+07, 71, 
11-26-2022-11-31-41.388,7.004421441514573e+07, 72, 
