Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-30-30.285,4.883022664065327e+07, 0, Download, 
11-26-2022-11-30-30.285,1.8826203930425695e+06, 0, Upload, 
11-26-2022-11-30-31.291,4.546061801362748e+07, 0, Download, 
11-26-2022-11-30-31.291,1.412199545777353e+07, 1, Download, 
11-26-2022-11-30-31.291,879628.6123878922, 0, Upload, 
11-26-2022-11-30-31.291,1.0913910561109034e+06, 1, Upload, 
11-26-2022-11-30-32.291,1.1135019123022496e+06, 0, Upload, 
11-26-2022-11-30-32.291,1.1135019123022496e+06, 1, Upload, 
11-26-2022-11-30-32.291,425750.7311743896, 2, Upload, 
11-26-2022-11-30-32.292,3.3555702538791254e+07, 0, Download, 
11-26-2022-11-30-32.292,3.0380544925914455e+07, 1, Download, 
11-26-2022-11-30-32.292,3.0610009291916033e+06, 2, Download, 
11-26-2022-11-30-33.292,3.3854190534022905e+07, 0, Download, 
11-26-2022-11-30-33.292,3.130000328751234e+07, 1, Download, 
11-26-2022-11-30-33.292,4.862008917851862e+06, 2, Download, 
11-26-2022-11-30-33.292,2.013636281425845e+06, 3, Download, 
11-26-2022-11-30-33.292,965614.2952982323, 0, Upload, 
11-26-2022-11-30-33.292,1.0638123592268662e+06, 1, Upload, 
11-26-2022-11-30-33.292,638287.4155361197, 2, Upload, 
11-26-2022-11-30-33.292,884067.0264810618, 3, Upload, 
11-26-2022-11-30-34.295,506648.12063856114, 0, Upload, 
11-26-2022-11-30-34.295,1.1603876311399303e+06, 1, Upload, 
11-26-2022-11-30-34.295,768143.9248391088, 2, Upload, 
11-26-2022-11-30-34.295,1.144044143377396e+06, 3, Upload, 
11-26-2022-11-30-34.295,0, 4, Upload, 
11-26-2022-11-30-34.296,3.0825559631303135e+07, 0, Download, 
11-26-2022-11-30-34.296,2.7739809775635228e+07, 1, Download, 
11-26-2022-11-30-34.296,5.649211378222234e+06, 2, Download, 
11-26-2022-11-30-34.296,3.3470016546492074e+06, 3, Download, 
11-26-2022-11-30-34.296,0, 4, Download, 
11-26-2022-11-30-35.297,2.9628180770424e+07, 0, Download, 
11-26-2022-11-30-35.297,2.64852321328566e+07, 1, Download, 
11-26-2022-11-30-35.297,4.632427709365697e+06, 2, Download, 
11-26-2022-11-30-35.297,3.1593189110930488e+06, 3, Download, 
11-26-2022-11-30-35.297,0, 4, Download, 
11-26-2022-11-30-35.297,769402.8557054909, 5, Download, 
11-26-2022-11-30-35.297,1.3246520690202434e+06, 0, Upload, 
11-26-2022-11-30-35.297,1.046638671818464e+06, 1, Upload, 
11-26-2022-11-30-35.297,621441.711392213, 2, Upload, 
11-26-2022-11-30-35.297,735917.8161223575, 3, Upload, 
11-26-2022-11-30-35.297,278013.3972017795, 4, Upload, 
11-26-2022-11-30-35.297,1.1611147765486084e+06, 5, Upload, 
11-26-2022-11-30-36.297,2.9790473379991658e+07, 0, Download, 
11-26-2022-11-30-36.297,3.103516728730819e+07, 1, Download, 
11-26-2022-11-30-36.297,3.701324725024864e+06, 2, Download, 
11-26-2022-11-30-36.297,3.1280053030187157e+06, 3, Download, 
11-26-2022-11-30-36.297,0, 4, Download, 
11-26-2022-11-30-36.297,3.1280772788420366e+06, 5, Download, 
11-26-2022-11-30-36.297,671569.5933766001, 6, Download, 
11-26-2022-11-30-36.297,884506.2937155222, 0, Upload, 
11-26-2022-11-30-36.297,1.0646835016946099e+06, 1, Upload, 
11-26-2022-11-30-36.297,589670.8624770148, 2, Upload, 
11-26-2022-11-30-36.297,1.1302024864142782e+06, 3, Upload, 
11-26-2022-11-30-36.297,950025.2784351904, 4, Upload, 
11-26-2022-11-30-36.297,704329.0857364343, 5, Upload, 
11-26-2022-11-30-36.297,737088.5780962685, 6, Upload, 
11-26-2022-11-30-37.298,4.394796202716472e+07, 0, Download, 
11-26-2022-11-30-37.298,1.1240724661389844e+07, 1, Download, 
11-26-2022-11-30-37.298,4.270379978032211e+06, 2, Download, 
11-26-2022-11-30-37.298,2.454447997881121e+06, 3, Download, 
11-26-2022-11-30-37.298,0, 4, Download, 
11-26-2022-11-30-37.298,2.9451218744887817e+06, 5, Download, 
11-26-2022-11-30-37.298,736334.3993643364, 6, Download, 
11-26-2022-11-30-37.298,1.963486490648709e+06, 7, Download, 
11-26-2022-11-30-37.298,0, 0, Upload, 
11-26-2022-11-30-37.298,1.1617720523303973e+06, 1, Upload, 
11-26-2022-11-30-37.298,1.1781350389829383e+06, 2, Upload, 
11-26-2022-11-30-37.298,1.2272239989405605e+06, 3, Upload, 
11-26-2022-11-30-37.298,1.5053947720337543e+06, 4, Upload, 
11-26-2022-11-30-37.298,801786.3459744996, 5, Upload, 
11-26-2022-11-30-37.298,687245.4394067139, 6, Upload, 
11-26-2022-11-30-37.298,654519.4661016323, 7, Upload, 
11-26-2022-11-30-38.298,3.6159691377132766e+07, 0, Download, 
11-26-2022-11-30-38.298,1.4447236000028796e+07, 1, Download, 
11-26-2022-11-30-38.298,6.208259645064507e+06, 2, Download, 
11-26-2022-11-30-38.298,2.5224464265288967e+06, 3, Download, 
11-26-2022-11-30-38.298,0, 4, Download, 
11-26-2022-11-30-38.298,2.8665276487983116e+06, 5, Download, 
11-26-2022-11-30-38.298,835307.0191225557, 6, Download, 
11-26-2022-11-30-38.298,3.7019786449997164e+06, 7, Download, 
11-26-2022-11-30-38.298,2.6864043244315507e+06, 8, Download, 
11-26-2022-11-30-38.298,671637.0753775999, 0, Upload, 
11-26-2022-11-30-38.298,1.3924183270023414e+06, 1, Upload, 
11-26-2022-11-30-38.298,1.0156463091075901e+06, 2, Upload, 
11-26-2022-11-30-38.298,1.0811718774371122e+06, 3, Upload, 
11-26-2022-11-30-38.298,1.0975532695194925e+06, 4, Upload, 
11-26-2022-11-30-38.298,1.179460229931395e+06, 5, Upload, 
11-26-2022-11-30-38.298,1.0975532695194925e+06, 6, Upload, 
11-26-2022-11-30-38.298,1.1958416220137754e+06, 7, Upload, 
11-26-2022-11-30-38.298,868213.7803661658, 8, Upload, 
11-26-2022-11-30-39.300,2.2676050840335842e+07, 0, Download, 
11-26-2022-11-30-39.300,1.5537295721167011e+07, 1, Download, 
11-26-2022-11-30-39.300,5.511602417768102e+06, 2, Download, 
11-26-2022-11-30-39.300,2.8130478495223173e+06, 3, Download, 
11-26-2022-11-30-39.300,1.14493281276533e+06, 4, Download, 
11-26-2022-11-30-39.300,2.894828764719841e+06, 5, Download, 
11-26-2022-11-30-39.300,866877.7010937498, 6, Download, 
11-26-2022-11-30-39.300,4.988276438261448e+06, 7, Download, 
11-26-2022-11-30-39.300,4.677508960510859e+06, 8, Download, 
11-26-2022-11-30-39.300,850521.5180542452, 9, Download, 
11-26-2022-11-30-39.300,1.4720564735554243e+06, 0, Upload, 
11-26-2022-11-30-39.300,1.030439531488797e+06, 1, Upload, 
11-26-2022-11-30-39.300,1.0467957145283017e+06, 2, Upload, 
11-26-2022-11-30-39.300,703315.8706987028, 3, Upload, 
11-26-2022-11-30-39.300,1.0631518975678065e+06, 4, Upload, 
11-26-2022-11-30-39.300,1.5211250226739384e+06, 5, Upload, 
11-26-2022-11-30-39.300,1.3902755583579007e+06, 6, Upload, 
11-26-2022-11-30-39.300,1.1122204466863205e+06, 7, Upload, 
11-26-2022-11-30-39.300,997727.1654097876, 8, Upload, 
