Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-26-2022-11-30-30.285,1.8826203930425695e+06, 1, 
11-26-2022-11-30-31.291,1.9710196684987955e+06, 2, 
11-26-2022-11-30-32.291,2.652754555778889e+06, 3, 
11-26-2022-11-30-33.292,3.5517810965422797e+06, 4, 
11-26-2022-11-30-34.295,3.5792238199949963e+06, 5, 
11-26-2022-11-30-35.297,5.167778442103665e+06, 6, 
11-26-2022-11-30-36.297,6.060506086569318e+06, 7, 
11-26-2022-11-30-37.298,7.216077113770495e+06, 8, 
11-26-2022-11-30-38.298,9.599495760274965e+06, 9, 
11-26-2022-11-30-39.300,1.0958642636468159e+07, 10, 
11-26-2022-11-30-40.305,9.702497211636633e+06, 11, 
11-26-2022-11-30-41.310,9.667771454909395e+06, 12, 
11-26-2022-11-30-42.310,1.0894529121147212e+07, 13, 
11-26-2022-11-30-43.312,1.0530455252701784e+07, 14, 
11-26-2022-11-30-44.313,1.0145153771747127e+07, 15, 
11-26-2022-11-30-45.315,1.180794528590969e+07, 16, 
11-26-2022-11-30-46.315,9.974708979317024e+06, 17, 
11-26-2022-11-30-47.318,1.0396905819627741e+07, 18, 
11-26-2022-11-30-48.318,1.0661846137514034e+07, 19, 
11-26-2022-11-30-49.318,8.40333570253303e+06, 20, 
11-26-2022-11-30-50.319,8.804486210727327e+06, 21, 
11-26-2022-11-30-51.319,1.338431595466678e+07, 22, 
11-26-2022-11-30-52.321,1.1357434081957377e+07, 23, 
11-26-2022-11-30-53.323,1.1670683637336459e+07, 24, 
11-26-2022-11-30-54.323,1.2647719473983033e+07, 25, 
11-26-2022-11-30-55.328,1.0596585283825025e+07, 26, 
11-26-2022-11-30-56.329,1.2073032539417312e+07, 27, 
11-26-2022-11-30-57.331,1.375208068558877e+07, 28, 
11-26-2022-11-30-58.333,1.1502066495962428e+07, 29, 
11-26-2022-11-30-59.333,1.2384020386640705e+07, 30, 
11-26-2022-11-31-00.333,1.241872551755806e+07, 31, 
11-26-2022-11-31-01.333,1.302253875559195e+07, 32, 
11-26-2022-11-31-02.334,1.3372626837487316e+07, 33, 
11-26-2022-11-31-03.334,1.3284403126728987e+07, 34, 
