Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-28-2022-14-49-40.034,3, 0.1916999,0.064914,15075, Foreign,
11-28-2022-14-49-40.135,3, 0.1880673,0.069551,15075, Foreign,
11-28-2022-14-49-40.236,3, 0.1545969,0.055093,15075, Foreign,
11-28-2022-14-49-40.337,3, 0.1263198,0.044705,15075, Foreign,
11-28-2022-14-49-40.538,3, 0.1118104,0.037223,15075, Foreign,
11-28-2022-14-49-40.641,3, 0.1191356,0.036464,15075, Foreign,
11-28-2022-14-49-40.742,3, 0.1431038,0.038483,15075, Foreign,
11-28-2022-14-49-41.047,3, 0.1926885,0.045721,15075, Foreign,
11-28-2022-14-49-41.147,3, 0.2147823,0.054757,15075, Foreign,
11-28-2022-14-49-41.247,3, 0.1422778,0.043797,15075, Foreign,
11-28-2022-14-49-41.347,3, 0.1546356,0.052082,15075, Foreign,
11-28-2022-14-49-40.842,3, 0.7490972,0.051839,15075, Foreign,
11-28-2022-14-49-40.946,3, 0.6838609,0.039984,15075, Foreign,
11-28-2022-14-49-41.549,3, 0.1757068,0.05294,15075, Foreign,
11-28-2022-14-49-41.650,3, 0.1562529,0.049972,15075, Foreign,
11-28-2022-14-49-41.750,3, 0.1429021,0.047741,15075, Foreign,
11-28-2022-14-49-40.437,3, 1.1554879,0.051942,6339, Foreign,
11-28-2022-14-49-42.052,3, 0.1737769,0.039076,15075, Foreign,
11-28-2022-14-49-42.152,3, 0.1303639,0.041382,15075, Foreign,
11-28-2022-14-49-41.850,3, 0.4338866,0.047833,15075, Foreign,
11-28-2022-14-49-42.253,3, 0.1424635,0.04483,15075, Foreign,
11-28-2022-14-49-42.353,3, 0.156441,0.049398,15075, Foreign,
11-28-2022-14-49-41.447,3, 0.8647546,0.048668,6339, Foreign,
11-28-2022-14-49-42.554,3, 0.1484115,0.047648,15075, Foreign,
11-28-2022-14-49-42.655,3, 0.141595,0.044563,15075, Foreign,
11-28-2022-14-49-42.755,3, 0.1346968,0.044745,15075, Foreign,
11-28-2022-14-49-42.855,3, 0.1767698,0.054926,15075, Foreign,
11-28-2022-14-49-41.951,3, 0.8610796,0.037833,6339, Foreign,
11-28-2022-14-49-43.057,3, 0.1106123,0.037184,15075, Foreign,
11-28-2022-14-49-43.158,3, 0.1132388,0.037416,15075, Foreign,
11-28-2022-14-49-42.956,3, 0.4047909,0.061429,15075, Foreign,
11-28-2022-14-49-43.460,3, 0.1630445,0.050237,15075, Foreign,
11-28-2022-14-49-43.560,3, 0.1242744,0.048675,15075, Foreign,
11-28-2022-14-49-43.259,3, 0.504281,0.035171,15075, Foreign,
11-28-2022-14-49-43.660,3, 0.1083599,0.036091,15075, Foreign,
11-28-2022-14-49-43.359,3, 0.5057037,0.04657,15075, Foreign,
11-28-2022-14-49-43.761,3, 0.1829669,0.039844,15075, Foreign,
11-28-2022-14-49-43.861,3, 0.1536656,0.048527,15075, Foreign,
11-28-2022-14-49-43.962,3, 0.132131,0.047381,15075, Foreign,
11-28-2022-14-49-44.263,3, 0.1828794,0.047314,15075, Foreign,
11-28-2022-14-49-44.363,3, 0.1571715,0.044734,15075, Foreign,
11-28-2022-14-49-44.463,3, 0.1411082,0.042634,15075, Foreign,
11-28-2022-14-49-44.663,3, 0.1429935,0.042285,15075, Foreign,
11-28-2022-14-49-44.763,3, 0.1589093,0.05144,15075, Foreign,
11-28-2022-14-49-44.964,3, 0.1479862,0.048076,15075, Foreign,
11-28-2022-14-49-44.062,3, 1.1273065,0.040487,15075, Foreign,
11-28-2022-14-49-44.563,3, 0.6450141,0.049731,15075, Foreign,
11-28-2022-14-49-44.162,3, 0.8443873,0.045542,6339, Foreign,
11-28-2022-14-49-45.165,3, 0.1434207,0.044889,15075, Foreign,
11-28-2022-14-49-44.864,3, 0.5710276,0.048101,15075, Foreign,
11-28-2022-14-49-45.065,3, 0.4346702,0.052645,15075, Foreign,
11-28-2022-14-49-45.466,3, 0.1639352,0.049861,15075, Foreign,
11-28-2022-14-49-45.266,3, 0.43733,0.048256,15075, Foreign,
11-28-2022-14-49-45.366,3, 0.4317196,0.048583,15075, Foreign,
11-28-2022-14-49-45.667,3, 0.1432202,0.050799,15075, Foreign,
11-28-2022-14-49-45.767,3, 0.1364438,0.042635,15075, Foreign,
11-28-2022-14-49-45.867,3, 0.1485388,0.045058,15075, Foreign,
11-28-2022-14-49-45.968,3, 0.1358265,0.043703,15075, Foreign,
11-28-2022-14-49-46.069,3, 0.1763284,0.043278,15075, Foreign,
11-28-2022-14-49-45.567,3, 0.7259646,0.052344,15075, Foreign,
11-28-2022-14-49-46.169,3, 0.1571965,0.036842,15075, Foreign,
11-28-2022-14-49-46.270,3, 0.1190319,0.037768,15075, Foreign,
