Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-28-2022-14-52-28.843,1, 0.1029947,0.052451,65520, SelfUp,
11-28-2022-14-52-28.944,1, 0.0881012,0.05921,104924, SelfUp,
11-28-2022-14-52-28.843,1, 0.2965534,0.046361,15580, SelfDown,
11-28-2022-14-52-29.044,1, 0.1925255,0.046774,16037, SelfDown,
11-28-2022-14-52-28.944,1, 0.5089847,0.047634,14564, SelfDown,
11-28-2022-14-52-29.145,1, 0.3084966,0.047634,14564, SelfDown,
11-28-2022-14-52-29.245,1, 0.2915833,0.043067,15104, SelfDown,
11-28-2022-14-52-29.346,1, 0.2671477,0.04139,16333, SelfDown,
11-28-2022-14-52-29.447,1, 0.1666766,0.04139,16333, SelfDown,
11-28-2022-14-52-29.549,1, 0.1671278,0.040546,18666, SelfDown,
11-28-2022-14-52-29.649,1, 0.2834646,0.043334,21500, SelfDown,
11-28-2022-14-52-29.750,1, 0.2079048,0.043691,22090, SelfDown,
11-28-2022-14-52-29.851,1, 0.2314847,0.04299,16302, SelfDown,
11-28-2022-14-52-29.952,1, 0.2300093,0.043206,17023, SelfDown,
11-28-2022-14-52-30.052,1, 0.2698958,0.047407,19847, SelfDown,
11-28-2022-14-52-30.153,1, 0.1948337,0.047407,19847, SelfDown,
11-28-2022-14-52-30.254,1, 0.2798979,0.048965,14672, SelfDown,
11-28-2022-14-52-30.455,1, 0.1985216,0.050398,14560, SelfDown,
11-28-2022-14-52-30.354,1, 0.3245104,0.04925,14561, SelfDown,
11-28-2022-14-52-29.044,1, 1.6701705,0.053524,5846, SelfUp,
11-28-2022-14-52-29.145,1, 1.5699344,0.053524,5846, SelfUp,
11-28-2022-14-52-29.245,1, 1.4696066,0.053524,5846, SelfUp,
11-28-2022-14-52-29.447,1, 1.2679878,0.053524,5846, SelfUp,
11-28-2022-14-52-29.346,1, 1.3684589,0.053524,5846, SelfUp,
11-28-2022-14-52-29.549,1, 1.1656879,0.053524,5846, SelfUp,
11-28-2022-14-52-29.649,1, 1.065379,0.053524,5846, SelfUp,
11-28-2022-14-52-29.750,1, 0.9641438,0.053524,5846, SelfUp,
11-28-2022-14-52-30.254,1, 0.4609679,0.053524,5846, SelfUp,
11-28-2022-14-52-30.052,1, 0.6622216,0.053524,5846, SelfUp,
11-28-2022-14-52-29.952,1, 0.7622382,0.053524,5846, SelfUp,
11-28-2022-14-52-29.851,1, 0.8635598,0.053524,5846, SelfUp,
11-28-2022-14-52-30.153,1, 0.5604637,0.053524,5846, SelfUp,
11-28-2022-14-52-30.455,1, 0.2598447,0.053524,5846, SelfUp,
11-28-2022-14-52-30.555,1, 0.1593981,0.053524,5846, SelfUp,
11-28-2022-14-52-30.354,1, 0.3606339,0.053524,5846, SelfUp,
11-28-2022-14-52-30.555,1, 0.2133117,0.043935,14565, SelfDown,
11-28-2022-14-52-30.655,1, 0.3015878,0.041246,14572, SelfDown,
11-28-2022-14-52-30.756,1, 0.2012431,0.041246,14572, SelfDown,
11-28-2022-14-52-30.655,1, 0.318874,0.043853,11224, SelfUp,
11-28-2022-14-52-30.756,1, 0.2185293,0.043853,11224, SelfUp,
11-28-2022-14-52-30.857,1, 0.1171435,0.043853,11224, SelfUp,
11-28-2022-14-52-30.957,1, 0.1702475,0.039865,17082, SelfDown,
11-28-2022-14-52-30.857,1, 0.2703021,0.039865,17082, SelfDown,
11-28-2022-14-52-31.057,1, 0.2248593,0.04109,18539, SelfDown,
11-28-2022-14-52-31.158,1, 0.2303247,0.044323,14581, SelfDown,
11-28-2022-14-52-31.057,1, 0.3561234,0.043382,18522, SelfUp,
11-28-2022-14-52-30.957,1, 0.4562988,0.043382,18522, SelfUp,
11-28-2022-14-52-31.259,1, 0.1970074,0.043287,19407, SelfUp,
11-28-2022-14-52-31.158,1, 0.2985154,0.043287,19407, SelfUp,
11-28-2022-14-52-31.359,1, 0.0972612,0.043287,19407, SelfUp,
11-28-2022-14-52-31.259,1, 0.2493334,0.044334,15923, SelfDown,
11-28-2022-14-52-31.460,1, 0.0932947,0.046451,20579, SelfUp,
11-28-2022-14-52-31.359,1, 0.2163697,0.045621,17197, SelfDown,
11-28-2022-14-52-31.460,1, 0.1951282,0.040878,18876, SelfDown,
11-28-2022-14-52-31.565,1, 0.1316332,0.040843,24512, SelfUp,
11-28-2022-14-52-31.665,1, 0.0634617,0.043678,24513, SelfUp,
11-28-2022-14-52-31.565,1, 0.2506443,0.039023,22154, SelfDown,
11-28-2022-14-52-31.665,1, 0.2112118,0.038171,22855, SelfDown,
11-28-2022-14-52-31.765,1, 0.1204452,0.039764,29261, SelfUp,
11-28-2022-14-52-31.765,1, 0.2056889,0.038428,25157, SelfDown,
11-28-2022-14-52-31.967,1, 0.0501721,0.040254,30840, SelfUp,
11-28-2022-14-52-31.866,1, 0.1505919,0.040254,30840, SelfUp,
11-28-2022-14-52-31.866,1, 0.2291972,0.042125,26348, SelfDown,
11-28-2022-14-52-32.069,1, 0.089725,0.043867,31815, SelfUp,
11-28-2022-14-52-31.967,1, 0.2798665,0.046342,27376, SelfDown,
11-28-2022-14-52-32.169,1, 0.147389,0.047967,28582, SelfDown,
11-28-2022-14-52-32.069,1, 0.3012907,0.048137,28836, SelfDown,
11-28-2022-14-52-32.269,1, 0.2320665,0.04652,31097, SelfDown,
11-28-2022-14-52-32.370,1, 0.2076142,0.043363,33882, SelfDown,
11-28-2022-14-52-32.470,1, 0.1555142,0.041355,36146, SelfDown,
11-28-2022-14-52-32.269,1, 0.4468443,0.044332,22273, SelfUp,
11-28-2022-14-52-32.369,1, 0.3465371,0.044332,22273, SelfUp,
11-28-2022-14-52-32.169,1, 0.5463355,0.044332,22273, SelfUp,
11-28-2022-14-52-32.470,1, 0.2457575,0.044332,22273, SelfUp,
11-28-2022-14-52-32.570,1, 0.1455763,0.044332,22273, SelfUp,
11-28-2022-14-52-32.670,1, 0.1598155,0.046061,22280, SelfUp,
11-28-2022-14-52-32.771,1, 0.0594416,0.046061,22280, SelfUp,
11-28-2022-14-52-32.570,1, 0.2729574,0.046751,38197, SelfDown,
11-28-2022-14-52-32.670,1, 0.1926948,0.046751,38197, SelfDown,
11-28-2022-14-52-32.771,1, 0.1953222,0.049131,38202, SelfDown,
11-28-2022-14-52-32.871,1, 0.1332928,0.048449,15961, SelfUp,
11-28-2022-14-52-32.972,1, 0.1735006,0.047709,18794, SelfUp,
11-28-2022-14-52-33.073,1, 0.0720766,0.047709,18794, SelfUp,
11-28-2022-14-52-32.871,1, 0.2831668,0.049247,40441, SelfDown,
11-28-2022-14-52-32.972,1, 0.1932277,0.049247,40441, SelfDown,
11-28-2022-14-52-33.173,1, 0.1116956,0.047079,21066, SelfUp,
11-28-2022-14-52-33.073,1, 0.2133293,0.048222,41927, SelfDown,
11-28-2022-14-52-33.173,1, 0.2137408,0.047298,44298, SelfDown,
11-28-2022-14-52-33.276,1, 0.1398725,0.045094,22564, SelfUp,
11-28-2022-14-52-33.376,1, 0.0423888,0.044714,23538, SelfUp,
11-28-2022-14-52-33.276,1, 0.195374,0.0441,48040, SelfDown,
11-28-2022-14-52-33.376,1, 0.2091972,0.043009,50660, SelfDown,
11-28-2022-14-52-33.476,1, 0.1529817,0.043509,27298, SelfUp,
