Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-28-2022-14-52-29.751,4.380592423286339e+07, 40, 
11-28-2022-14-52-30.752,6.594835696779292e+07, 40, 
11-28-2022-14-52-31.753,6.786335292880808e+07, 40, 
11-28-2022-14-52-32.753,6.698250078303551e+07, 40, 
11-28-2022-14-52-33.753,6.788533181966227e+07, 40, 
11-28-2022-14-52-34.754,6.886782984571178e+07, 40, 
11-28-2022-14-52-35.754,6.807425506085908e+07, 40, 
11-28-2022-14-52-36.754,6.867397655908924e+07, 40, 
11-28-2022-14-52-37.755,6.678212511365128e+07, 40, 
11-28-2022-14-52-38.756,6.874243558250812e+07, 40, 
11-28-2022-14-52-39.756,5.226282240420291e+07, 40, 
11-28-2022-14-52-40.757,6.818507769805124e+07, 40, 
11-28-2022-14-52-41.757,6.759894327395558e+07, 40, 
11-28-2022-14-52-42.758,6.600254176187496e+07, 40, 
11-28-2022-14-52-43.758,6.92018383226427e+07, 40, 
11-28-2022-14-52-44.759,6.892925732538411e+07, 40, 
11-28-2022-14-52-45.759,6.826418401340078e+07, 40, 
11-28-2022-14-52-46.759,6.653957814495248e+07, 40, 
11-28-2022-14-52-47.759,7.024197472810581e+07, 40, 
11-28-2022-14-52-48.759,6.5363309419420466e+07, 40, 
11-28-2022-14-52-49.760,6.828932153430073e+07, 40, 
11-28-2022-14-52-50.760,6.811714279543091e+07, 40, 
11-28-2022-14-52-51.761,6.821460649201128e+07, 40, 
11-28-2022-14-52-52.760,6.855031313979115e+07, 40, 
11-28-2022-14-52-53.761,6.797663700311348e+07, 40, 
11-28-2022-14-52-54.762,6.883788756211503e+07, 40, 
11-28-2022-14-52-55.763,6.607878147534801e+07, 40, 
11-28-2022-14-52-56.764,6.808965805733545e+07, 40, 
11-28-2022-14-52-57.764,6.76987000773974e+07, 40, 
11-28-2022-14-52-58.764,6.576679384772857e+07, 40, 
11-28-2022-14-52-59.765,6.2069820909185104e+07, 40, 
11-28-2022-14-53-00.766,6.89301828666515e+07, 40, 
11-28-2022-14-53-01.766,6.831895025758964e+07, 40, 
11-28-2022-14-53-02.766,6.794632009922306e+07, 40, 
11-28-2022-14-53-03.768,6.665408300742802e+07, 40, 
11-28-2022-14-53-04.768,6.86554181653807e+07, 40, 
11-28-2022-14-53-05.769,6.692042405162251e+07, 40, 
11-28-2022-14-53-06.769,6.906523327731867e+07, 40, 
11-28-2022-14-53-07.769,6.750231986838165e+07, 40, 
11-28-2022-14-53-08.771,5.176774799820974e+07, 40, 
11-28-2022-14-53-09.770,6.799886703999752e+07, 40, 
11-28-2022-14-53-10.770,6.769179705737393e+07, 40, 
11-28-2022-14-53-11.771,6.74055931364593e+07, 40, 
11-28-2022-14-53-12.771,6.775367940895534e+07, 40, 
11-28-2022-14-53-13.771,6.6673307484008476e+07, 40, 
11-28-2022-14-53-14.772,6.848399480542584e+07, 40, 
11-28-2022-14-53-15.772,6.873063556034862e+07, 40, 
11-28-2022-14-53-16.787,6.596790575758102e+07, 40, 
11-28-2022-14-53-17.785,6.931000628419791e+07, 40, 
11-28-2022-14-53-18.785,6.790533450194448e+07, 40, 
11-28-2022-14-53-19.785,6.665981847629631e+07, 40, 
11-28-2022-14-53-20.785,6.768923031540844e+07, 40, 
11-28-2022-14-53-21.786,6.482474307604167e+07, 40, 
11-28-2022-14-53-22.786,6.991336072594213e+07, 40, 
11-28-2022-14-53-23.786,6.928791949328363e+07, 40, 
11-28-2022-14-53-24.787,6.769046418261786e+07, 40, 
11-28-2022-14-53-25.788,6.850326125226782e+07, 40, 
11-28-2022-14-53-26.788,6.71103916258041e+07, 40, 
11-28-2022-14-53-27.789,6.936429192982793e+07, 40, 
11-28-2022-14-53-28.790,6.872951790099704e+07, 40, 
11-28-2022-14-53-29.790,6.709150744854532e+07, 40, 
11-28-2022-14-53-30.791,6.73156164809958e+07, 40, 
11-28-2022-14-53-31.792,6.3854591150109045e+07, 40, 
11-28-2022-14-53-32.793,6.788895961071086e+07, 40, 
11-28-2022-14-53-33.793,7.044464792898047e+07, 40, 
11-28-2022-14-53-34.794,6.509859953479646e+07, 40, 
11-28-2022-14-53-35.794,7.053837139564447e+07, 40, 
11-28-2022-14-53-36.794,6.6490507574036814e+07, 40, 
11-28-2022-14-53-37.795,6.985519947353986e+07, 40, 
11-28-2022-14-53-38.795,6.713206922836614e+07, 40, 
11-28-2022-14-53-39.796,6.6142624789387286e+07, 40, 
11-28-2022-14-53-40.797,6.79656641410311e+07, 40, 
11-28-2022-14-53-41.797,6.74107568448901e+07, 40, 
11-28-2022-14-53-42.797,6.993620320098956e+07, 40, 
11-28-2022-14-53-43.797,6.655563906744736e+07, 40, 
11-28-2022-14-53-44.797,6.883422940903978e+07, 40, 
11-28-2022-14-53-45.798,6.584042712653052e+07, 40, 
11-28-2022-14-53-46.798,6.461208250504169e+07, 40, 
11-28-2022-14-53-47.799,6.830493794386372e+07, 40, 
11-28-2022-14-53-48.799,6.732634771950836e+07, 40, 
11-28-2022-14-53-49.800,6.810127875591248e+07, 40, 
11-28-2022-14-53-50.800,6.781534950646424e+07, 40, 
11-28-2022-14-53-51.800,6.6971251820342064e+07, 40, 
