Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-28-2022-14-52-29.750,178427.74999799515, 0, Upload, 
11-28-2022-14-52-29.750,129833.95533550279, 1, Upload, 
11-28-2022-14-52-29.750,162292.4441693785, 2, Upload, 
11-28-2022-14-52-29.750,162375.03618602606, 3, Upload, 
11-28-2022-14-52-29.750,389296.9090865349, 4, Upload, 
11-28-2022-14-52-29.750,210980.17742019202, 5, Upload, 
11-28-2022-14-52-29.750,405731.11042344617, 6, Upload, 
11-28-2022-14-52-29.750,211087.5470418339, 7, Upload, 
11-28-2022-14-52-29.750,746925.1664557199, 8, Upload, 
11-28-2022-14-52-29.750,422175.0940836678, 9, Upload, 
11-28-2022-14-52-29.750,292275.0651348469, 10, Upload, 
11-28-2022-14-52-29.750,129900.02894882085, 11, Upload, 
11-28-2022-14-52-29.750,129900.02894882085, 12, Upload, 
11-28-2022-14-52-29.750,113723.28537020455, 13, Upload, 
11-28-2022-14-52-29.750,227446.5707404091, 14, Upload, 
11-28-2022-14-52-29.750,113723.28537020455, 15, Upload, 
11-28-2022-14-52-29.750,861047.7320886917, 16, Upload, 
11-28-2022-14-52-29.750,373462.5832278599, 17, Upload, 
11-28-2022-14-52-29.750,113723.28537020455, 18, Upload, 
11-28-2022-14-52-29.750,519877.87597807794, 19, Upload, 
11-28-2022-14-52-29.750,747324.4467184871, 20, Upload, 
11-28-2022-14-52-29.750,341169.8561106137, 21, Upload, 
11-28-2022-14-52-29.750,503631.69235376304, 22, Upload, 
11-28-2022-14-52-29.750,324923.6724862987, 23, Upload, 
11-28-2022-14-52-29.750,113781.23185088755, 24, Upload, 
11-28-2022-14-52-29.750,260071.38708774297, 25, Upload, 
11-28-2022-14-52-29.750,162544.61692983937, 26, Upload, 
11-28-2022-14-52-29.750,162544.61692983937, 27, Upload, 
11-28-2022-14-52-29.750,64984.73449725974, 28, Upload, 
11-28-2022-14-52-29.750,487874.8431097058, 29, Upload, 
11-28-2022-14-52-29.750,357774.8849471176, 30, Upload, 
11-28-2022-14-52-29.750,634237.2960426175, 31, Upload, 
11-28-2022-14-52-29.750,357774.8849471176, 32, Upload, 
11-28-2022-14-52-29.750,227674.92678452938, 33, Upload, 
11-28-2022-14-52-29.750,520399.83265035285, 34, Upload, 
11-28-2022-14-52-29.750,178887.4424735588, 35, Upload, 
11-28-2022-14-52-29.750,130099.95816258821, 36, Upload, 
11-28-2022-14-52-29.750,276462.41109549993, 37, Upload, 
11-28-2022-14-52-29.750,1.0570621600710293e+06, 38, Upload, 
11-28-2022-14-52-29.750,113837.46339226469, 39, Upload, 
11-28-2022-14-52-29.750,1.071130131517898e+06, 0, Download, 
11-28-2022-14-52-29.750,1.0872880560130817e+06, 1, Download, 
11-28-2022-14-52-29.750,1.1359757892638952e+06, 2, Download, 
11-28-2022-14-52-29.750,714086.7543452653, 3, Download, 
11-28-2022-14-52-29.750,1.2003321363501493e+06, 4, Download, 
11-28-2022-14-52-29.750,1.2164815585024003e+06, 5, Download, 
11-28-2022-14-52-29.750,876379.1985146438, 6, Download, 
11-28-2022-14-52-29.750,1.1360471091856493e+06, 7, Download, 
11-28-2022-14-52-29.750,1.2165528408954216e+06, 8, Download, 
11-28-2022-14-52-29.750,551794.3101758868, 9, Download, 
11-28-2022-14-52-29.750,1.1998962821916128e+06, 10, Download, 
11-28-2022-14-52-29.750,1.2160398403062446e+06, 11, Download, 
11-28-2022-14-52-29.750,1.1188222090705577e+06, 12, Download, 
11-28-2022-14-52-29.750,1.0701065086883458e+06, 13, Download, 
11-28-2022-14-52-29.750,1.1998962821916128e+06, 14, Download, 
11-28-2022-14-52-29.750,1.2646842841788775e+06, 15, Download, 
11-28-2022-14-52-29.750,1.1673953964336116e+06, 16, Download, 
11-28-2022-14-52-29.750,454014.8094779075, 17, Download, 
11-28-2022-14-52-29.750,1.0053185067010808e+06, 18, Download, 
11-28-2022-14-52-29.750,924244.4335800259, 19, Download, 
11-28-2022-14-52-29.750,1.5727224918349213e+06, 20, Download, 
11-28-2022-14-52-29.750,1.1350370236947688e+06, 21, Download, 
11-28-2022-14-52-29.750,972888.877452659, 22, Download, 
11-28-2022-14-52-29.750,1.0215333213252919e+06, 23, Download, 
11-28-2022-14-52-29.750,1.200506376492011e+06, 24, Download, 
11-28-2022-14-52-29.750,1.0706506106173703e+06, 25, Download, 
11-28-2022-14-52-29.750,989606.6076488199, 26, Download, 
11-28-2022-14-52-29.750,1.2977734386023455e+06, 27, Download, 
11-28-2022-14-52-29.750,1.2823061728698388e+06, 28, Download, 
11-28-2022-14-52-29.750,1.18491583062656e+06, 29, Download, 
11-28-2022-14-52-29.750,1.3146982894671923e+06, 30, Download, 
11-28-2022-14-52-29.750,1.201147554333773e+06, 31, Download, 
11-28-2022-14-52-29.750,1.3146982894671923e+06, 32, Download, 
11-28-2022-14-52-29.750,438479.650158326, 33, Download, 
11-28-2022-14-52-29.750,1.315438950474978e+06, 34, Download, 
11-28-2022-14-52-29.750,1.1362206595049205e+06, 35, Download, 
11-28-2022-14-52-29.750,1.3478475574302203e+06, 36, Download, 
11-28-2022-14-52-29.750,1.3153675833444183e+06, 37, Download, 
11-28-2022-14-52-29.750,909439.2744024539, 38, Download, 
11-28-2022-14-52-29.750,958159.2355311569, 39, Download, 
11-28-2022-14-52-30.752,1.4399098937778429e+06, 0, Download, 
11-28-2022-14-52-30.752,1.5543762747712466e+06, 1, Download, 
11-28-2022-14-52-30.752,1.4889258250540718e+06, 2, Download, 
11-28-2022-14-52-30.752,703520.4284479757, 3, Download, 
11-28-2022-14-52-30.752,1.6689864677879543e+06, 4, Download, 
11-28-2022-14-52-30.752,1.619826724488421e+06, 5, Download, 
11-28-2022-14-52-30.752,32725.22485858734, 6, Download, 
11-28-2022-14-52-30.752,2.2089526779546454e+06, 7, Download, 
11-28-2022-14-52-30.752,2.3724349902242776e+06, 8, Download, 
11-28-2022-14-52-30.752,621779.2723131594, 9, Download, 
11-28-2022-14-52-30.752,2.1126725507285176e+06, 10, Download, 
11-28-2022-14-52-30.752,1.6541079660742655e+06, 11, Download, 
11-28-2022-14-52-30.752,1.457580286936729e+06, 12, Download, 
11-28-2022-14-52-30.752,1.4575083163511073e+06, 13, Download, 
11-28-2022-14-52-30.752,1.6049760462898815e+06, 14, Download, 
11-28-2022-14-52-30.752,2.865884712917831e+06, 15, Download, 
11-28-2022-14-52-30.752,1.5394668199107025e+06, 16, Download, 
11-28-2022-14-52-30.752,442187.27805945714, 17, Download, 
11-28-2022-14-52-30.752,1.4239659126740063e+06, 18, Download, 
11-28-2022-14-52-30.752,2.37328366429761e+06, 19, Download, 
11-28-2022-14-52-30.752,2.160610521314116e+06, 20, Download, 
11-28-2022-14-52-30.752,1.5876303614984571e+06, 21, Download, 
11-28-2022-14-52-30.752,1.1947790061265135e+06, 22, Download, 
11-28-2022-14-52-30.752,1.3584670708648234e+06, 23, Download, 
11-28-2022-14-52-30.752,2.1277290419033053e+06, 24, Download, 
11-28-2022-14-52-30.752,1.3258733243803103e+06, 25, Download, 
11-28-2022-14-52-30.752,1.2766230384956684e+06, 26, Download, 
11-28-2022-14-52-30.752,2.1115041018926236e+06, 27, Download, 
11-28-2022-14-52-30.752,1.5712615550246262e+06, 28, Download, 
11-28-2022-14-52-30.752,1.898781550964395e+06, 29, Download, 
11-28-2022-14-52-30.752,3.273545495071475e+06, 30, Download, 
11-28-2022-14-52-30.752,1.915150357438226e+06, 31, Download, 
11-28-2022-14-52-30.752,1.6368087141515247e+06, 32, Download, 
11-28-2022-14-52-30.752,556539.4201102537, 33, Download, 
11-28-2022-14-52-30.752,1.8658281383220097e+06, 34, Download, 
11-28-2022-14-52-30.752,1.96411291039657e+06, 35, Download, 
11-28-2022-14-52-30.752,2.2914890398731898e+06, 36, Download, 
11-28-2022-14-52-30.752,2.144169781608711e+06, 37, Download, 
11-28-2022-14-52-30.752,1.5221551356031334e+06, 38, Download, 
11-28-2022-14-52-30.752,1.5222270688347078e+06, 39, Download, 
11-28-2022-14-52-30.752,49087.83728788101, 0, Upload, 
11-28-2022-14-52-30.752,0, 1, Upload, 
11-28-2022-14-52-30.752,196351.34915152405, 2, Upload, 
11-28-2022-14-52-30.752,490878.3728788101, 3, Upload, 
11-28-2022-14-52-30.752,769042.7841768025, 4, Upload, 
11-28-2022-14-52-30.752,294527.0237272861, 5, Upload, 
11-28-2022-14-52-30.752,114538.2870050557, 6, Upload, 
11-28-2022-14-52-30.752,49087.83728788101, 7, Upload, 
11-28-2022-14-52-30.752,310728.42346170486, 8, Upload, 
11-28-2022-14-52-30.752,408853.18876540114, 9, Upload, 
11-28-2022-14-52-30.752,637810.9744740258, 10, Upload, 
11-28-2022-14-52-30.752,196249.53060739255, 11, Upload, 
11-28-2022-14-52-30.752,0, 12, Upload, 
11-28-2022-14-52-30.752,49062.38265184814, 13, Upload, 
11-28-2022-14-52-30.752,163541.27550616045, 14, Upload, 
11-28-2022-14-52-30.752,294374.2959110888, 15, Upload, 
11-28-2022-14-52-30.752,327082.5510123209, 16, Upload, 
11-28-2022-14-52-30.752,866768.7601826504, 17, Upload, 
11-28-2022-14-52-30.752,65416.510202464175, 18, Upload, 
11-28-2022-14-52-30.752,147187.1479555444, 19, Upload, 
11-28-2022-14-52-30.752,588748.5918221776, 20, Upload, 
11-28-2022-14-52-30.752,245311.91325924068, 21, Upload, 
11-28-2022-14-52-30.752,457915.5714172493, 22, Upload, 
11-28-2022-14-52-30.752,376144.93366416905, 23, Upload, 
11-28-2022-14-52-30.752,49062.38265184814, 24, Upload, 
11-28-2022-14-52-30.752,556040.3367209455, 25, Upload, 
11-28-2022-14-52-30.752,98124.76530369627, 26, Upload, 
11-28-2022-14-52-30.752,49062.38265184814, 27, Upload, 
11-28-2022-14-52-30.752,0, 28, Upload, 
11-28-2022-14-52-30.752,441561.4438666332, 29, Upload, 
11-28-2022-14-52-30.752,245311.91325924068, 30, Upload, 
11-28-2022-14-52-30.752,915831.1428344985, 31, Upload, 
11-28-2022-14-52-30.752,245311.91325924068, 32, Upload, 
