Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-28-2022-14-52-29.750,1.2917267290019553e+07, 40, 
11-28-2022-14-52-30.752,1.233203035860581e+07, 40, 
11-28-2022-14-52-31.753,1.1628374386405554e+07, 40, 
11-28-2022-14-52-32.753,1.3103638647944579e+07, 40, 
11-28-2022-14-52-33.753,1.328336725963891e+07, 40, 
11-28-2022-14-52-34.754,1.2395715410081832e+07, 40, 
11-28-2022-14-52-35.754,1.3366726794893559e+07, 40, 
11-28-2022-14-52-36.754,1.2380024851395376e+07, 40, 
11-28-2022-14-52-37.755,1.2411022210993947e+07, 40, 
11-28-2022-14-52-38.756,1.2216678181213379e+07, 40, 
11-28-2022-14-52-39.756,1.1183093065580318e+07, 40, 
11-28-2022-14-52-40.757,1.1807672433259094e+07, 40, 
11-28-2022-14-52-41.757,1.2812690262634039e+07, 40, 
11-28-2022-14-52-42.758,1.096320407915293e+07, 40, 
11-28-2022-14-52-43.758,1.2528230263128597e+07, 40, 
11-28-2022-14-52-44.758,1.3092098022048425e+07, 40, 
11-28-2022-14-52-45.759,1.2984869106044183e+07, 40, 
11-28-2022-14-52-46.759,1.3629970984229458e+07, 40, 
11-28-2022-14-52-47.759,1.1268221078891797e+07, 40, 
11-28-2022-14-52-48.759,1.2352802243546732e+07, 40, 
11-28-2022-14-52-49.760,1.097290839329611e+07, 40, 
11-28-2022-14-52-50.760,1.3008406883901168e+07, 40, 
11-28-2022-14-52-51.761,1.1820345866336295e+07, 40, 
11-28-2022-14-52-52.760,1.3452547275806941e+07, 40, 
11-28-2022-14-52-53.761,1.3017144642643813e+07, 40, 
11-28-2022-14-52-54.761,1.2350997462815695e+07, 40, 
11-28-2022-14-52-55.761,1.3120887469906645e+07, 40, 
11-28-2022-14-52-56.763,1.1280042841332238e+07, 40, 
11-28-2022-14-52-57.763,1.2932320794411879e+07, 40, 
11-28-2022-14-52-58.763,1.1579119198326468e+07, 40, 
11-28-2022-14-52-59.764,1.129519868929271e+07, 40, 
11-28-2022-14-53-00.765,1.2986579730379162e+07, 40, 
11-28-2022-14-53-01.765,1.2660613483587269e+07, 40, 
11-28-2022-14-53-02.766,1.2823284937997546e+07, 40, 
11-28-2022-14-53-03.768,1.273294491431367e+07, 40, 
11-28-2022-14-53-04.768,1.2510415561316682e+07, 40, 
11-28-2022-14-53-05.769,1.3005199093991416e+07, 40, 
11-28-2022-14-53-06.769,1.297180838780686e+07, 40, 
11-28-2022-14-53-07.769,1.2892087251647105e+07, 40, 
11-28-2022-14-53-08.771,1.3176274767567355e+07, 40, 
11-28-2022-14-53-09.770,1.2535155851328934e+07, 40, 
11-28-2022-14-53-10.770,1.2874438022800008e+07, 40, 
11-28-2022-14-53-11.771,1.1903711515106937e+07, 40, 
11-28-2022-14-53-12.771,1.310286950162971e+07, 40, 
11-28-2022-14-53-13.772,1.2166071970570313e+07, 40, 
11-28-2022-14-53-14.772,1.2581124222248025e+07, 40, 
11-28-2022-14-53-15.772,1.301977654045635e+07, 40, 
11-28-2022-14-53-16.794,1.2368983149793778e+07, 40, 
11-28-2022-14-53-17.794,1.3090654984943682e+07, 40, 
11-28-2022-14-53-18.794,1.2282934517804857e+07, 40, 
11-28-2022-14-53-19.794,1.2284444881651249e+07, 40, 
11-28-2022-14-53-20.796,1.2454639786988785e+07, 40, 
11-28-2022-14-53-21.796,1.2726069287993567e+07, 40, 
11-28-2022-14-53-22.796,1.3019984772193149e+07, 40, 
11-28-2022-14-53-23.796,1.2204582497727532e+07, 40, 
11-28-2022-14-53-24.796,1.3433967833584102e+07, 40, 
11-28-2022-14-53-25.797,1.2015394196273306e+07, 40, 
11-28-2022-14-53-26.798,1.2607442297203006e+07, 40, 
11-28-2022-14-53-27.800,1.2972299859588772e+07, 40, 
11-28-2022-14-53-28.800,1.290426116947026e+07, 40, 
11-28-2022-14-53-29.800,1.3040036603431888e+07, 40, 
11-28-2022-14-53-30.801,1.2559282549896965e+07, 40, 
11-28-2022-14-53-31.801,1.3384354765201088e+07, 40, 
11-28-2022-14-53-32.801,1.3122442347515767e+07, 40, 
11-28-2022-14-53-33.801,1.3215454299983183e+07, 40, 
11-28-2022-14-53-34.801,1.2533999509058375e+07, 40, 
11-28-2022-14-53-35.802,1.2204227398280941e+07, 40, 
11-28-2022-14-53-36.802,1.2544902739635382e+07, 40, 
11-28-2022-14-53-37.802,1.1517127373680044e+07, 40, 
11-28-2022-14-53-38.802,1.320039148837655e+07, 40, 
11-28-2022-14-53-39.803,1.271856390084363e+07, 40, 
11-28-2022-14-53-40.804,1.1527723697687002e+07, 40, 
11-28-2022-14-53-41.804,1.2627170971248643e+07, 40, 
11-28-2022-14-53-42.805,1.3052500687207941e+07, 40, 
11-28-2022-14-53-43.806,1.2804251704200665e+07, 40, 
11-28-2022-14-53-44.806,1.2390894647891792e+07, 40, 
11-28-2022-14-53-45.809,1.1351628673122436e+07, 40, 
11-28-2022-14-53-46.806,1.1618497380487625e+07, 40, 
11-28-2022-14-53-47.809,1.3583621241049618e+07, 40, 
11-28-2022-14-53-48.810,1.3406409323596288e+07, 40, 
11-28-2022-14-53-49.810,1.2525677640536763e+07, 40, 
11-28-2022-14-53-50.810,1.36461225670869e+07, 40, 
11-28-2022-14-53-51.810,1.3187880339248111e+07, 40, 
