Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-26-2022-11-58-14.253,3.84212459608479e+07, 40, 
11-26-2022-11-58-15.253,6.557340725982638e+07, 40, 
11-26-2022-11-58-16.255,6.462870435473542e+07, 40, 
11-26-2022-11-58-17.255,7.271837722477989e+07, 40, 
11-26-2022-11-58-18.256,7.31475440641136e+07, 40, 
11-26-2022-11-58-19.258,6.124798561275604e+07, 40, 
11-26-2022-11-58-20.257,7.397348359800194e+07, 40, 
11-26-2022-11-58-21.259,6.6890711103129305e+07, 40, 
11-26-2022-11-58-22.259,6.990369260318713e+07, 40, 
11-26-2022-11-58-23.259,6.832749972888525e+07, 40, 
11-26-2022-11-58-24.260,4.775015737567321e+07, 40, 
11-26-2022-11-58-25.260,6.2400498089377776e+07, 40, 
11-26-2022-11-58-26.261,7.130886541077667e+07, 40, 
11-26-2022-11-58-27.261,6.85914273455037e+07, 40, 
11-26-2022-11-58-28.262,6.264012167515026e+07, 40, 
11-26-2022-11-58-29.262,7.15028777066896e+07, 40, 
11-26-2022-11-58-30.262,7.21748386444091e+07, 40, 
11-26-2022-11-58-31.262,6.165071259391865e+07, 40, 
11-26-2022-11-58-32.263,6.929181475804992e+07, 40, 
11-26-2022-11-58-33.263,6.4770106568375185e+07, 40, 
11-26-2022-11-58-34.264,6.862304885188514e+07, 40, 
11-26-2022-11-58-35.264,6.784419756464027e+07, 40, 
11-26-2022-11-58-36.264,6.775881737427521e+07, 40, 
11-26-2022-11-58-37.265,6.614335062795208e+07, 40, 
11-26-2022-11-58-38.265,6.746650131363282e+07, 40, 
11-26-2022-11-58-39.267,6.233215151957651e+07, 40, 
11-26-2022-11-58-40.269,6.5441425540456094e+07, 40, 
11-26-2022-11-58-41.269,7.477774980337372e+07, 40, 
11-26-2022-11-58-42.269,6.432279754997221e+07, 40, 
11-26-2022-11-58-43.272,6.784559074139553e+07, 40, 
11-26-2022-11-58-44.272,6.278239060698035e+07, 40, 
11-26-2022-11-58-45.272,6.985321386122565e+07, 40, 
11-26-2022-11-58-46.273,6.797915650039084e+07, 40, 
11-26-2022-11-58-47.273,6.671303778973287e+07, 40, 
11-26-2022-11-58-48.273,6.6982300372626364e+07, 40, 
11-26-2022-11-58-49.274,6.440085680995607e+07, 40, 
11-26-2022-11-58-50.275,6.5302511164507076e+07, 40, 
11-26-2022-11-58-51.275,7.373665725149949e+07, 40, 
11-26-2022-11-58-52.276,6.4278027412869714e+07, 40, 
11-26-2022-11-58-53.277,7.20869927679582e+07, 40, 
11-26-2022-11-58-54.277,6.339913457818932e+07, 40, 
11-26-2022-11-58-55.279,6.099408126578491e+07, 40, 
11-26-2022-11-58-56.279,6.396455941579987e+07, 40, 
11-26-2022-11-58-57.280,7.135291391724981e+07, 40, 
11-26-2022-11-58-58.281,6.531560647002552e+07, 40, 
11-26-2022-11-58-59.281,6.507995028918831e+07, 40, 
11-26-2022-11-59-00.282,6.882984113764107e+07, 40, 
