Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-58-14.252,212915.1163514855, 0, Upload, 
11-26-2022-11-58-14.252,294844.0089715311, 1, Upload, 
11-26-2022-11-58-14.252,294879.8875802425, 2, Upload, 
11-26-2022-11-58-14.252,671670.8550438856, 3, Upload, 
11-26-2022-11-58-14.252,212968.8076968418, 4, Upload, 
11-26-2022-11-58-14.252,672159.7307934958, 5, Upload, 
11-26-2022-11-58-14.252,409110.0089422898, 6, Upload, 
11-26-2022-11-58-14.252,163941.39775451116, 7, Upload, 
11-26-2022-11-58-14.252,114758.97842815782, 8, Upload, 
11-26-2022-11-58-14.252,180335.53752996228, 9, Upload, 
11-26-2022-11-58-14.252,229649.1446926975, 10, Upload, 
11-26-2022-11-58-14.252,180493.6213716049, 11, Upload, 
11-26-2022-11-58-14.252,492255.3310134679, 12, Upload, 
11-26-2022-11-58-14.252,213346.60338949368, 13, Upload, 
11-26-2022-11-58-14.252,311814.26649233693, 14, Upload, 
11-26-2022-11-58-14.252,311906.5258336668, 15, Upload, 
11-26-2022-11-58-14.252,229351.02367352194, 16, Upload, 
11-26-2022-11-58-14.252,163822.15976680137, 17, Upload, 
11-26-2022-11-58-14.252,1.0320796065308487e+06, 18, Upload, 
11-26-2022-11-58-14.252,131125.77468019634, 19, Upload, 
11-26-2022-11-58-14.252,360607.67707941076, 20, Upload, 
11-26-2022-11-58-14.252,262306.23640721786, 21, Upload, 
11-26-2022-11-58-14.252,163941.39775451116, 22, Upload, 
11-26-2022-11-58-14.252,163941.39775451116, 23, Upload, 
11-26-2022-11-58-14.252,65576.55910180447, 24, Upload, 
11-26-2022-11-58-14.252,65576.55910180447, 25, Upload, 
11-26-2022-11-58-14.252,114758.97842815782, 26, Upload, 
11-26-2022-11-58-14.252,213245.6343575048, 27, Upload, 
11-26-2022-11-58-14.252,114824.57234634875, 28, Upload, 
11-26-2022-11-58-14.252,213310.64343916942, 29, Upload, 
11-26-2022-11-58-14.252,754918.7504551315, 30, Upload, 
11-26-2022-11-58-14.252,672862.3645360954, 31, Upload, 
11-26-2022-11-58-14.252,328322.65877228085, 32, Upload, 
11-26-2022-11-58-14.252,262658.1270178247, 33, Upload, 
11-26-2022-11-58-14.252,689477.5834217898, 34, Upload, 
