Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-28-2022-16-08-32.688,3, 0.0650365,0.02084,15075, Foreign,
11-28-2022-16-08-32.790,3, 0.1050496,0.02177,15075, Foreign,
11-28-2022-16-08-32.889,3, 0.0973815,0.027989,15075, Foreign,
11-28-2022-16-08-32.995,3, 0.1026705,0.030276,15075, Foreign,
11-28-2022-16-08-33.096,3, 0.0919673,0.026033,15075, Foreign,
11-28-2022-16-08-33.198,3, 0.0916323,0.030796,15075, Foreign,
11-28-2022-16-08-33.297,3, 0.0814564,0.021628,15075, Foreign,
11-28-2022-16-08-33.398,3, 0.0811702,0.02326,15075, Foreign,
11-28-2022-16-08-33.603,3, 0.0840289,0.025388,15075, Foreign,
11-28-2022-16-08-33.713,3, 0.1109961,0.044996,15075, Foreign,
11-28-2022-16-08-33.501,3, 0.4471412,0.040107,15075, Foreign,
11-28-2022-16-08-33.813,3, 0.1397058,0.022369,15075, Foreign,
11-28-2022-16-08-33.915,3, 0.1266379,0.032873,15075, Foreign,
11-28-2022-16-08-34.015,3, 0.0963384,0.033591,15075, Foreign,
11-28-2022-16-08-34.122,3, 0.0966825,0.026793,15075, Foreign,
11-28-2022-16-08-34.223,3, 0.1017791,0.037828,15075, Foreign,
11-28-2022-16-08-34.534,3, 0.1104598,0.036059,15075, Foreign,
11-28-2022-16-08-34.325,3, 0.3865715,0.033121,15075, Foreign,
11-28-2022-16-08-34.745,3, 0.0940646,0.032356,15075, Foreign,
11-28-2022-16-08-34.432,3, 0.438088,0.040205,15075, Foreign,
11-28-2022-16-08-34.845,3, 0.1005419,0.028871,15075, Foreign,
11-28-2022-16-08-35.048,3, 0.0978057,0.032229,15075, Foreign,
11-28-2022-16-08-34.945,3, 0.2004304,0.031479,15075, Foreign,
11-28-2022-16-08-34.634,3, 0.6246819,0.031293,15075, Foreign,
11-28-2022-16-08-35.150,3, 0.1108564,0.036145,15075, Foreign,
11-28-2022-16-08-35.251,3, 0.1070422,0.036288,15075, Foreign,
11-28-2022-16-08-35.592,3, 0.0943452,0.030151,15075, Foreign,
11-28-2022-16-08-35.355,3, 0.4802627,0.047718,15075, Foreign,
11-28-2022-16-08-35.700,3, 0.2180498,0.036602,15075, Foreign,
11-28-2022-16-08-35.800,3, 0.1596317,0.034018,15075, Foreign,
11-28-2022-16-08-36.103,3, 0.0975762,0.029543,15075, Foreign,
11-28-2022-16-08-35.901,3, 0.357792,0.036372,15075, Foreign,
11-28-2022-16-08-36.204,3, 0.1075115,0.034974,15075, Foreign,
11-28-2022-16-08-35.489,3, 0.798033,0.035311,6339, Foreign,
11-28-2022-16-08-36.511,3, 0.116044,0.040919,15075, Foreign,
11-28-2022-16-08-36.003,3, 0.6742372,0.035435,15075, Foreign,
11-28-2022-16-08-36.612,3, 0.1931186,0.038298,15075, Foreign,
11-28-2022-16-08-36.715,3, 0.1094306,0.037184,15075, Foreign,
11-28-2022-16-08-36.815,3, 0.17222,0.037939,15075, Foreign,
11-28-2022-16-08-36.915,3, 0.1140888,0.033897,15075, Foreign,
11-28-2022-16-08-37.118,3, 0.1737253,0.037141,15075, Foreign,
11-28-2022-16-08-37.016,3, 0.3886832,0.034866,15075, Foreign,
11-28-2022-16-08-37.327,3, 0.1232017,0.043586,15075, Foreign,
11-28-2022-16-08-36.411,3, 0.8059131,0.026743,6339, Foreign,
11-28-2022-16-08-37.429,3, 0.1029769,0.032099,15075, Foreign,
11-28-2022-16-08-37.531,3, 0.1030858,0.032201,15075, Foreign,
11-28-2022-16-08-36.306,3, 1.1048798,0.044671,6339, Foreign,
11-28-2022-16-08-37.634,3, 0.1151368,0.035043,15075, Foreign,
11-28-2022-16-08-37.855,3, 0.1180881,0.024301,15075, Foreign,
11-28-2022-16-08-37.225,3, 0.9610322,0.028318,15075, Foreign,
11-28-2022-16-08-37.747,3, 0.4645065,0.035767,15075, Foreign,
11-28-2022-16-08-38.161,3, 0.1944642,0.040388,15075, Foreign,
11-28-2022-16-08-38.365,3, 0.1103766,0.033589,15075, Foreign,
11-28-2022-16-08-38.467,3, 0.1026687,0.034119,15075, Foreign,
11-28-2022-16-08-38.263,3, 0.6067597,0.020104,15075, Foreign,
11-28-2022-16-08-38.885,3, 0.1453222,0.035234,15075, Foreign,
11-28-2022-16-08-38.060,3, 0.8159541,0.036842,6339, Foreign,
11-28-2022-16-08-39.088,3, 0.1073866,0.034181,15075, Foreign,
11-28-2022-16-08-38.986,3, 0.4008238,0.03581,15075, Foreign,
