Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-28-2022-16-08-32.688,1, 0.0237773,0.020389,152481, SelfUp,
11-28-2022-16-08-32.688,1, 0.0317566,0.015747,16206, SelfDown,
11-28-2022-16-08-32.789,1, 0.0183565,0.01773,364259, SelfUp,
11-28-2022-16-08-32.790,1, 0.0213854,0.015502,24363, SelfDown,
11-28-2022-16-08-32.889,1, 0.0255687,0.027365,536200, SelfUp,
11-28-2022-16-08-32.889,1, 0.0285686,0.02642,36619, SelfDown,
11-28-2022-16-08-32.995,1, 0.0289998,0.031018,674592, SelfUp,
11-28-2022-16-08-32.995,1, 0.0359987,0.030241,44118, SelfDown,
11-28-2022-16-08-33.096,1, 0.0239004,0.030742,793602, SelfUp,
11-28-2022-16-08-33.096,1, 0.0289347,0.025447,49959, SelfDown,
11-28-2022-16-08-33.197,1, 0.0319803,0.032723,915166, SelfUp,
11-28-2022-16-08-33.199,1, 0.0883816,0.031836,56171, SelfDown,
11-28-2022-16-08-33.297,1, 0.0261857,0.027204,1037025, SelfUp,
11-28-2022-16-08-33.297,1, 0.0271869,0.021414,58850, SelfDown,
11-28-2022-16-08-33.398,1, 0.0227756,0.023483,62613, SelfDown,
11-28-2022-16-08-33.398,1, 0.0227756,0.023586,1170432, SelfUp,
11-28-2022-16-08-33.501,1, 0.031657,0.032964,1170432, SelfUp,
11-28-2022-16-08-33.501,1, 0.0344113,0.029605,65792, SelfDown,
11-28-2022-16-08-33.603,1, 0.0280438,0.030925,1170432, SelfUp,
11-28-2022-16-08-33.603,1, 0.0287718,0.030594,69178, SelfDown,
11-28-2022-16-08-33.712,1, 0.0873113,0.03659,1170432, SelfUp,
11-28-2022-16-08-33.716,1, 0.1009979,0.032395,74541, SelfDown,
11-28-2022-16-08-33.813,1, 0.0223446,0.033369,1170432, SelfUp,
11-28-2022-16-08-33.816,1, 0.0189915,0.025164,74873, SelfDown,
11-28-2022-16-08-33.915,1, 0.0340323,0.033932,1170432, SelfUp,
11-28-2022-16-08-33.915,1, 0.0428552,0.035542,78104, SelfDown,
11-28-2022-16-08-34.015,1, 0.0403493,0.031389,1170432, SelfUp,
11-28-2022-16-08-34.015,1, 0.0839606,0.033748,81195, SelfDown,
11-28-2022-16-08-34.122,1, 0.0218971,0.027229,1170432, SelfUp,
11-28-2022-16-08-34.122,1, 0.0238982,0.019304,84074, SelfDown,
11-28-2022-16-08-34.223,1, 0.0357148,0.034595,1170432, SelfUp,
11-28-2022-16-08-34.325,1, 0.0336009,0.033726,1170432, SelfUp,
11-28-2022-16-08-34.223,1, 0.1373816,0.035129,85691, SelfDown,
11-28-2022-16-08-34.325,1, 0.0396014,0.035129,85691, SelfDown,
11-28-2022-16-08-34.432,1, 0.0386075,0.033474,1170432, SelfUp,
11-28-2022-16-08-34.534,1, 0.0376401,0.035587,1170432, SelfUp,
11-28-2022-16-08-34.432,1, 0.1858461,0.03591,88605, SelfDown,
11-28-2022-16-08-34.534,1, 0.0878844,0.03591,88605, SelfDown,
11-28-2022-16-08-34.634,1, 0.0285916,0.033246,1170432, SelfUp,
11-28-2022-16-08-34.634,1, 0.0300154,0.033709,90316, SelfDown,
11-28-2022-16-08-34.745,1, 0.0800085,0.036594,1170432, SelfUp,
11-28-2022-16-08-34.745,1, 0.0912005,0.020876,94070, SelfDown,
11-28-2022-16-08-34.845,1, 0.0300286,0.027548,1170432, SelfUp,
11-28-2022-16-08-34.845,1, 0.122053,0.034001,112344, SelfDown,
11-28-2022-16-08-34.945,1, 0.0278082,0.033057,112346, SelfDown,
11-28-2022-16-08-34.945,1, 0.0278082,0.029722,1170432, SelfUp,
11-28-2022-16-08-35.048,1, 0.0366023,0.032781,1170432, SelfUp,
11-28-2022-16-08-35.050,1, 0.090806,0.030012,113123, SelfDown,
11-28-2022-16-08-35.150,1, 0.0325977,0.036475,1170432, SelfUp,
11-28-2022-16-08-35.150,1, 0.0643843,0.029376,113769, SelfDown,
