Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-28-2022-16-08-33.594,5.289143753774369e+07, 1, 
11-28-2022-16-08-34.600,5.810421756780748e+07, 2, 
11-28-2022-16-08-35.607,6.437662323400676e+07, 3, 
11-28-2022-16-08-36.607,6.683316000692306e+07, 4, 
11-28-2022-16-08-37.608,7.203365481205763e+07, 5, 
11-28-2022-16-08-38.610,6.628189755502478e+07, 6, 
11-28-2022-16-08-39.610,6.3446401465956494e+07, 7, 
11-28-2022-16-08-40.613,6.540702596218213e+07, 8, 
11-28-2022-16-08-41.613,7.097482203493372e+07, 9, 
11-28-2022-16-08-42.615,6.771070891860656e+07, 10, 
11-28-2022-16-08-43.615,6.495525507481742e+07, 11, 
11-28-2022-16-08-44.615,6.867110015822853e+07, 12, 
11-28-2022-16-08-45.620,7.321427035978441e+07, 13, 
11-28-2022-16-08-46.623,5.548449009098841e+07, 14, 
11-28-2022-16-08-47.636,7.003332416752611e+07, 15, 
11-28-2022-16-08-48.638,6.765391017221634e+07, 16, 
11-28-2022-16-08-49.639,6.997496583617583e+07, 17, 
11-28-2022-16-08-50.640,7.262986215464614e+07, 18, 
11-28-2022-16-08-51.642,6.5625069784242295e+07, 19, 
11-28-2022-16-08-52.641,6.0303022657830186e+07, 20, 
11-28-2022-16-08-53.642,7.63592235242223e+07, 21, 
11-28-2022-16-08-54.643,6.812378869195509e+07, 22, 
11-28-2022-16-08-55.645,6.267515943910015e+07, 23, 
11-28-2022-16-08-56.646,6.696132775484149e+07, 24, 
11-28-2022-16-08-57.646,6.3922802059182405e+07, 25, 
11-28-2022-16-08-58.647,7.124682539563711e+07, 26, 
11-28-2022-16-08-59.652,6.643351500656326e+07, 27, 
11-28-2022-16-09-00.656,6.945792249762739e+07, 28, 
11-28-2022-16-09-01.657,6.5739963267250285e+07, 29, 
11-28-2022-16-09-02.658,6.4193045642589904e+07, 30, 
11-28-2022-16-09-03.659,6.979286486427316e+07, 31, 
11-28-2022-16-09-04.660,6.848017027825618e+07, 32, 
11-28-2022-16-09-05.661,6.901130271253686e+07, 33, 
11-28-2022-16-09-06.661,6.357904152913234e+07, 34, 
11-28-2022-16-09-07.663,6.244299071807353e+07, 35, 
11-28-2022-16-09-08.664,7.189883366186444e+07, 36, 
11-28-2022-16-09-09.664,6.490104304484386e+07, 37, 
11-28-2022-16-09-10.665,6.655907795850714e+07, 38, 
11-28-2022-16-09-11.664,6.864852089718525e+07, 39, 
11-28-2022-16-09-12.665,6.53916329622374e+07, 40, 
11-28-2022-16-09-13.665,7.075605394812533e+07, 41, 
11-28-2022-16-09-14.665,6.757098009438714e+07, 42, 
11-28-2022-16-09-15.666,6.830163568304822e+07, 43, 
11-28-2022-16-09-16.666,6.46897332422999e+07, 44, 
11-28-2022-16-09-17.666,7.081165153846891e+07, 45, 
11-28-2022-16-09-18.667,6.4336564079270676e+07, 46, 
