Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-28-2022-16-08-33.594,5.289143753774369e+07, 0, Download, 
11-28-2022-16-08-33.594,1.70759296809023e+06, 0, Upload, 
11-28-2022-16-08-34.600,1.4825495081748127e+06, 0, Upload, 
11-28-2022-16-08-34.600,1.2077153303910522e+06, 1, Upload, 
11-28-2022-16-08-34.600,3.9594098296624854e+07, 0, Download, 
11-28-2022-16-08-34.600,1.851011927118263e+07, 1, Download, 
11-28-2022-16-08-35.607,2.4439504508818883e+07, 0, Download, 
11-28-2022-16-08-35.607,3.723721479435371e+07, 1, Download, 
11-28-2022-16-08-35.607,2.6999039308341714e+06, 2, Download, 
11-28-2022-16-08-35.607,1.2684066060859005e+06, 0, Upload, 
11-28-2022-16-08-35.607,845797.8203209763, 1, Upload, 
11-28-2022-16-08-35.607,1.0247165900042598e+06, 2, Upload, 
11-28-2022-16-08-36.607,3.030418760006763e+07, 0, Download, 
11-28-2022-16-08-36.607,2.797819216804593e+07, 1, Download, 
11-28-2022-16-08-36.607,7.469583389700662e+06, 2, Download, 
11-28-2022-16-08-36.607,1.0811968491088364e+06, 3, Download, 
11-28-2022-16-08-36.607,1.343305176165524e+06, 0, Upload, 
11-28-2022-16-08-36.607,606125.50631859, 1, Upload, 
11-28-2022-16-08-36.607,1.359686946606567e+06, 2, Upload, 
11-28-2022-16-08-36.607,917379.1446984066, 3, Upload, 
11-28-2022-16-08-37.608,1.1795740407076476e+06, 0, Upload, 
11-28-2022-16-08-37.608,982466.8288520477, 1, Upload, 
11-28-2022-16-08-37.608,1.4409359399580709e+06, 2, Upload, 
11-28-2022-16-08-37.608,1.0643276829235752e+06, 3, Upload, 
11-28-2022-16-08-37.608,376608.25703449576, 4, Upload, 
11-28-2022-16-08-37.608,2.7851063689443577e+07, 0, Download, 
11-28-2022-16-08-37.608,3.0167149696365386e+07, 1, Download, 
11-28-2022-16-08-37.608,9.103447641756032e+06, 2, Download, 
11-28-2022-16-08-37.608,3.945911733838926e+06, 3, Download, 
11-28-2022-16-08-37.608,966082.0506537065, 4, Download, 
11-28-2022-16-08-38.609,1.1447184281920448e+06, 0, Upload, 
11-28-2022-16-08-38.609,343362.57892377453, 1, Upload, 
11-28-2022-16-08-38.609,1.0791510571367922e+06, 2, Upload, 
11-28-2022-16-08-38.609,817538.679649085, 3, Upload, 
11-28-2022-16-08-38.609,752135.5852771582, 4, Upload, 
11-28-2022-16-08-38.609,65403.0943719268, 5, Upload, 
11-28-2022-16-08-38.610,2.4205696602979437e+07, 0, Download, 
11-28-2022-16-08-38.610,3.100715835350983e+07, 1, Download, 
11-28-2022-16-08-38.610,6.768789143581328e+06, 2, Download, 
11-28-2022-16-08-38.610,2.632474548470054e+06, 3, Download, 
11-28-2022-16-08-38.610,1.0137479627648654e+06, 4, Download, 
11-28-2022-16-08-38.610,654030.943719268, 5, Download, 
11-28-2022-16-08-39.610,2.4642946054233115e+07, 0, Download, 
11-28-2022-16-08-39.610,2.622391229536208e+07, 1, Download, 
11-28-2022-16-08-39.610,5.372480962181915e+06, 2, Download, 
11-28-2022-16-08-39.610,2.636954013093868e+06, 3, Download, 
11-28-2022-16-08-39.610,1.1630390682442016e+06, 4, Download, 
11-28-2022-16-08-39.610,1.212181564085506e+06, 5, Download, 
11-28-2022-16-08-39.610,2.194887508755807e+06, 6, Download, 
11-28-2022-16-08-39.610,147357.9185694002, 0, Upload, 
11-28-2022-16-08-39.610,1.1138965724028973e+06, 1, Upload, 
11-28-2022-16-08-39.610,1.4578940432920274e+06, 2, Upload, 
11-28-2022-16-08-39.610,1.1138965724028973e+06, 3, Upload, 
11-28-2022-16-08-39.610,524186.62230724585, 4, Upload, 
11-28-2022-16-08-39.610,0, 5, Upload, 
11-28-2022-16-08-39.610,376759.13478333293, 6, Upload, 
11-28-2022-16-08-40.613,914886.1447853113, 0, Upload, 
11-28-2022-16-08-40.613,1.5523532241888163e+06, 1, Upload, 
11-28-2022-16-08-40.613,817028.012730956, 2, Upload, 
11-28-2022-16-08-40.613,1.1274986575687192e+06, 3, Upload, 
11-28-2022-16-08-40.613,996774.1755317663, 4, Upload, 
11-28-2022-16-08-40.613,686303.530694003, 5, Upload, 
11-28-2022-16-08-40.613,800687.4524763369, 6, Upload, 
11-28-2022-16-08-40.613,0, 7, Upload, 
11-28-2022-16-08-40.613,2.421534592439459e+07, 0, Download, 
