Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-28-2022-16-08-33.596,1.70759296809023e+06, 1, 
11-28-2022-16-08-34.600,2.6902648385658646e+06, 2, 
11-28-2022-16-08-35.607,3.1389210164111364e+06, 3, 
11-28-2022-16-08-36.607,4.226496773789087e+06, 4, 
11-28-2022-16-08-37.608,5.043912749475837e+06, 5, 
11-28-2022-16-08-38.610,4.202309423550782e+06, 6, 
11-28-2022-16-08-39.610,4.733990863757801e+06, 7, 
11-28-2022-16-08-40.613,6.895531197975909e+06, 8, 
11-28-2022-16-08-41.613,6.962028986724433e+06, 9, 
11-28-2022-16-08-42.615,8.1264540651813615e+06, 10, 
11-28-2022-16-08-43.615,1.0488753898193827e+07, 11, 
11-28-2022-16-08-44.615,8.369502237872244e+06, 12, 
11-28-2022-16-08-45.620,9.751150738230435e+06, 13, 
11-28-2022-16-08-46.623,8.625419040322492e+06, 14, 
11-28-2022-16-08-47.636,8.55791165451861e+06, 15, 
11-28-2022-16-08-48.638,1.0201555137016203e+07, 16, 
11-28-2022-16-08-49.639,8.884503704792602e+06, 17, 
11-28-2022-16-08-50.640,9.312521358373046e+06, 18, 
11-28-2022-16-08-51.642,1.2777624330632595e+07, 19, 
11-28-2022-16-08-52.642,1.1515694923794935e+07, 20, 
11-28-2022-16-08-53.642,1.35627069413081e+07, 21, 
11-28-2022-16-08-54.643,1.2049619080505058e+07, 22, 
11-28-2022-16-08-55.645,1.131479931566869e+07, 23, 
11-28-2022-16-08-56.646,1.12755561153536e+07, 24, 
11-28-2022-16-08-57.646,1.3548925780917987e+07, 25, 
11-28-2022-16-08-58.646,1.1238908134116646e+07, 26, 
11-28-2022-16-08-59.652,1.1985127602006214e+07, 27, 
11-28-2022-16-09-00.656,1.341588548901772e+07, 28, 
11-28-2022-16-09-01.657,1.2491045380563457e+07, 29, 
11-28-2022-16-09-02.658,1.1503986160800787e+07, 30, 
11-28-2022-16-09-03.659,1.2686521569434714e+07, 31, 
11-28-2022-16-09-04.660,1.0788678084666299e+07, 32, 
11-28-2022-16-09-05.661,1.2914315357055213e+07, 33, 
11-28-2022-16-09-06.661,1.0920525638749348e+07, 34, 
11-28-2022-16-09-07.663,1.2082372054656956e+07, 35, 
11-28-2022-16-09-08.663,1.2164513487482382e+07, 36, 
11-28-2022-16-09-09.664,1.0316450301732764e+07, 37, 
11-28-2022-16-09-10.666,1.2709430549026987e+07, 38, 
11-28-2022-16-09-11.664,1.2072615538952887e+07, 39, 
11-28-2022-16-09-12.665,1.3930493125915004e+07, 40, 
11-28-2022-16-09-13.665,1.2546824110340403e+07, 41, 
11-28-2022-16-09-14.665,1.39575642758647e+07, 42, 
11-28-2022-16-09-15.666,1.37511918581464e+07, 43, 
11-28-2022-16-09-16.666,1.1714847586276567e+07, 44, 
11-28-2022-16-09-17.666,1.3186967886840865e+07, 45, 
11-28-2022-16-09-18.667,1.381696472146173e+07, 46, 
